"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node4.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_3.dstat.csv 1",,,,"Date:","11 Apr 2022 09:55:30 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:55:30,1649692530.691,1.549,0.407,97.986,0.059,0,20815.877,289877.238,0,0,462036992,13960450048,123346944,2078822400,1.790,4.197
11-04 09:55:31,1649692531.692,0.063,0,99.937,0,0,0,0,24028,17068,462929920,13959553024,123346944,2078826496,0,0
11-04 09:55:32,1649692532.692,2.569,2.381,95.050,0,0,0,0,35576,34356,470155264,13952323584,123346944,2078830592,0,0
11-04 09:55:33,1649692533.692,1.565,1.691,96.744,0,0,0,0,240043,213562,471224320,13951254528,123346944,2078830592,0,0
11-04 09:55:34,1649692534.692,2.194,1.881,95.925,0,0,0,0,484038,472948,473309184,13949169664,123346944,2078830592,0,0
11-04 09:55:35,1649692535.692,2.491,2.366,94.770,0.374,0,0,2666496,504105,490868,474050560,13948416000,123359232,2078830592,0,328
11-04 09:55:36,1649692536.692,2.251,2.189,95.560,0,0,0,0,494893,487848,473767936,13948698624,123359232,2078830592,0,0
11-04 09:55:37,1649692537.692,2.297,2.793,94.910,0,0,0,0,505897,489882,474533888,13947932672,123359232,2078830592,0,0
11-04 09:55:38,1649692538.692,2.250,2.250,95.500,0,0,0,0,508123,492655,473645056,13948821504,123359232,2078830592,0,0
11-04 09:55:39,1649692539.692,2.618,2.244,95.137,0,0,0,0,506825,494797,474198016,13948268544,123359232,2078830592,0,0
11-04 09:55:40,1649692540.692,1.947,2.073,95.854,0.126,0,0,53248,513516,510944,474644480,13947822080,123367424,2078822400,0,2
11-04 09:55:41,1649692541.692,3.270,2.591,94.078,0.062,0,0,4096,519255,504925,474206208,13948252160,123367424,2078830592,0,1
11-04 09:55:42,1649692542.692,2.968,2.597,94.434,0,0,0,0,513255,500592,474460160,13947998208,123367424,2078830592,0,0
11-04 09:55:43,1649692543.692,2.617,2.368,95.016,0,0,0,0,523055,508144,474566656,13947891712,123367424,2078830592,0,0
11-04 09:55:44,1649692544.692,2.497,2.247,95.256,0,0,0,0,523386,507181,474750976,13947707392,123367424,2078830592,0,0
11-04 09:55:45,1649692545.692,2.561,2.124,95.315,0,0,0,0,523125,518795,474996736,13947461632,123367424,2078830592,0,0
11-04 09:55:46,1649692546.692,3.092,2.474,94.249,0.186,0,0,45056,520877,512050,474902528,13947547648,123375616,2078830592,0,3
11-04 09:55:47,1649692547.692,2.434,2.310,95.256,0,0,0,0,526062,514725,475299840,13947150336,123375616,2078830592,0,0
11-04 09:55:48,1649692548.692,2.073,2.010,95.917,0,0,0,0,513127,499418,475226112,13947224064,123375616,2078830592,0,0
11-04 09:55:49,1649692549.692,2.495,2.308,95.197,0,0,0,0,519346,506088,474959872,13947490304,123375616,2078830592,0,0
11-04 09:55:50,1649692550.692,2.724,2.848,94.427,0,0,0,0,520344,512629,475095040,13947355136,123375616,2078830592,0,0
11-04 09:55:51,1649692551.692,2.267,1.700,96.033,0,0,0,0,523961,515882,475873280,13946576896,123375616,2078830592,0,0
11-04 09:55:52,1649692552.692,2.497,2.247,95.131,0.125,0,0,45056,516445,502849,474918912,13947523072,123383808,2078830592,0,3
11-04 09:55:53,1649692553.692,2.674,2.363,94.963,0,0,0,0,515631,504607,474918912,13947523072,123383808,2078830592,0,0
11-04 09:55:54,1649692554.692,2.428,2.553,95.019,0,0,0,0,522168,509704,475348992,13947092992,123383808,2078830592,0,0
11-04 09:55:55,1649692555.692,2.129,2.066,95.805,0,0,0,32768,518884,510363,475365376,13947076608,123383808,2078830592,0,8
11-04 09:55:56,1649692556.692,2.868,2.120,95.012,0,0,0,0,527112,514350,476504064,13945937920,123383808,2078830592,0,0
11-04 09:55:57,1649692557.692,2.615,2.366,94.832,0.187,0,0,49152,519961,511903,476098560,13946335232,123392000,2078830592,0,3
11-04 09:55:58,1649692558.692,1.767,1.956,96.278,0,0,0,0,522497,510543,475328512,13947105280,123392000,2078830592,0,0
11-04 09:55:59,1649692559.692,2.382,1.944,95.674,0,0,0,0,516861,505281,475996160,13946437632,123392000,2078830592,0,0
11-04 09:56:00,1649692560.692,3.401,2.226,94.372,0,0,0,4096,521643,512887,474980352,13947449344,123392000,2078834688,0,1
11-04 09:56:01,1649692561.692,2.492,2.430,95.078,0,0,0,0,514316,499008,475369472,13947060224,123392000,2078834688,0,0
11-04 09:56:02,1649692562.692,2.315,2.190,95.369,0.125,0,0,69632,521841,514459,475623424,13946798080,123400192,2078834688,0,4
