"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node7.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_4.dstat.csv 1",,,,"Date:","11 Apr 2022 09:55:33 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:55:33,1649692533.052,1.325,0.127,98.491,0.057,0,20890.992,280280.700,0,0,460353536,14264012800,123588608,1785843712,1.803,4.203
11-04 09:55:34,1649692534.053,0.063,0,99.937,0,0,0,0,37365,52196,460660736,14263697408,123588608,1785851904,0,0
11-04 09:55:35,1649692535.053,0,0.125,99.875,0,0,0,0,37692,52680,460906496,14263451648,123588608,1785851904,0,0
11-04 09:55:36,1649692536.053,0.125,0,99.875,0,0,0,0,37884,53626,461033472,14263324672,123588608,1785851904,0,0
11-04 09:55:37,1649692537.053,0.125,0,99.875,0,0,0,1204224,35838,50868,461099008,14263259136,123588608,1785851904,0,216
11-04 09:55:38,1649692538.053,0.188,0.063,99.750,0,0,0,0,36604,52744,461352960,14263005184,123588608,1785851904,0,0
11-04 09:55:39,1649692539.053,0.125,0.062,99.562,0.250,0,0,81920,36838,53396,461344768,14263005184,123596800,1785851904,0,5
11-04 09:55:40,1649692540.053,0.125,0.063,99.812,0,0,0,0,35870,51236,461344768,14263005184,123596800,1785851904,0,0
11-04 09:55:41,1649692541.053,0.063,0,99.937,0,0,0,0,36802,52486,461344768,14263005184,123596800,1785851904,0,0
11-04 09:55:42,1649692542.053,0.125,0.063,99.812,0,0,0,0,32985,52736,461344768,14263005184,123596800,1785851904,0,0
11-04 09:55:43,1649692543.053,1.126,0.626,98.248,0,0,0,0,41072,55829,464273408,14260072448,123596800,1785856000,0,0
11-04 09:55:44,1649692544.053,0.125,0.063,99.687,0.125,0,0,49152,37547,53864,464011264,14260326400,123604992,1785856000,0,3
11-04 09:55:45,1649692545.053,0.063,0.063,99.875,0,0,0,0,37160,52252,464003072,14260334592,123604992,1785856000,0,0
11-04 09:55:46,1649692546.053,0.063,0,99.937,0,0,0,0,37404,52680,464003072,14260334592,123604992,1785856000,0,0
11-04 09:55:47,1649692547.053,0.125,0.063,99.812,0,0,0,0,35964,52638,463998976,14260334592,123604992,1785860096,0,0
11-04 09:55:48,1649692548.053,0.125,0.063,99.812,0,0,0,0,36395,52380,463998976,14260334592,123604992,1785860096,0,0
11-04 09:55:49,1649692549.053,0.250,0.125,99.438,0.187,0,0,28672,36481,52538,463990784,14260334592,123613184,1785860096,0,3
11-04 09:55:50,1649692550.053,0.063,0,99.937,0,0,0,0,36150,52722,463990784,14260334592,123613184,1785860096,0,0
11-04 09:55:51,1649692551.053,0.063,0,99.937,0,0,0,0,36550,52754,463990784,14260334592,123613184,1785860096,0,0
11-04 09:55:52,1649692552.053,0,0.063,99.937,0,0,0,0,36598,52408,463990784,14260334592,123613184,1785860096,0,0
11-04 09:55:53,1649692553.053,0.250,0.063,99.687,0,0,0,0,37412,52943,464379904,14259945472,123613184,1785860096,0,0
11-04 09:55:54,1649692554.053,1.127,0.501,98.247,0.125,0,0,36864,38836,55579,464908288,14259408896,123621376,1785860096,0,2
11-04 09:55:55,1649692555.053,0.063,0,99.937,0,0,0,0,36826,53445,464908288,14259408896,123621376,1785860096,0,0
11-04 09:55:56,1649692556.053,0.125,0.125,99.750,0,0,0,0,36371,52708,464900096,14259417088,123621376,1785860096,0,0
11-04 09:55:57,1649692557.053,0.125,0,99.875,0,0,0,65536,37197,53326,464900096,14259417088,123621376,1785860096,0,13
11-04 09:55:58,1649692558.053,0.125,0.125,99.750,0,0,0,0,36804,52810,464900096,14259417088,123621376,1785860096,0,0
11-04 09:55:59,1649692559.053,0,0,99.875,0.125,0,0,16384,36076,52380,464900096,14259417088,123625472,1785856000,0,2
11-04 09:56:00,1649692560.053,0.063,0.125,99.812,0,0,0,0,35666,52122,464896000,14259417088,123625472,1785860096,0,0
11-04 09:56:01,1649692561.053,0.063,0,99.937,0,0,0,0,35018,51850,464891904,14259417088,123625472,1785864192,0,0
11-04 09:56:02,1649692562.053,0.188,0.063,99.750,0,0,0,0,35731,52666,464891904,14259417088,123625472,1785864192,0,0
11-04 09:56:03,1649692563.053,0.063,0.063,99.875,0,0,0,0,37136,53368,464891904,14259417088,123625472,1785864192,0,0
11-04 09:56:04,1649692564.053,1.504,0.501,97.744,0.251,0,0,69632,41604,56958,465530880,14258765824,123629568,1785872384,0,5
11-04 09:56:05,1649692565.053,0.125,0.125,99.750,0,0,0,0,37224,52795,465522688,14258774016,123629568,1785872384,0,0
11-04 09:56:06,1649692566.053,0.063,0,99.937,0,0,0,0,40469,53210,465555456,14258741248,123629568,1785872384,0,0
11-04 09:56:07,1649692567.053,0.125,0.125,99.750,0,0,0,20480,35441,52108,465555456,14258741248,123629568,1785872384,0,2
11-04 09:56:08,1649692568.053,0.125,0.250,99.625,0,0,0,0,35510,52224,465555456,14258741248,123629568,1785872384,0,0
11-04 09:56:09,1649692569.053,0.125,0.063,99.812,0,0,0,0,37198,51468,465588224,14258708480,123629568,1785872384,0,0
11-04 09:56:10,1649692570.053,0.063,0.063,99.750,0.125,0,0,28672,40660,53266,465580032,14258708480,123637760,1785872384,0,2
11-04 09:56:11,1649692571.053,0.125,0.063,99.812,0,0,0,0,38182,52652,465580032,14258708480,123637760,1785872384,0,0
11-04 09:56:12,1649692572.053,0.188,0,99.812,0,0,0,0,37264,54096,465580032,14258708480,123637760,1785872384,0,0
11-04 09:56:13,1649692573.053,0.125,0.063,99.812,0,0,0,0,38246,53054,465580032,14258708480,123637760,1785872384,0,0
