"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node6.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_4.dstat.csv 1",,,,"Date:","11 Apr 2022 09:55:30 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:55:30,1649692530.661,1.526,0.375,98.039,0.060,0,19696.823,303065.776,0,0,460361728,13730308096,124452864,2303406080,1.749,4.419
11-04 09:55:31,1649692531.662,0,0,99.562,0.438,0,0,2441216,11008,6848,460591104,13730070528,124452864,2303414272,0,314
11-04 09:55:32,1649692532.662,2.445,2.445,95.110,0,0,0,0,53238,48347,469258240,13721399296,124452864,2303426560,0,0
11-04 09:55:33,1649692533.662,1.137,1.327,97.536,0,0,0,0,282984,312556,469987328,13720670208,124452864,2303418368,0,0
11-04 09:55:34,1649692534.662,1.587,1.397,97.016,0,0,0,0,506226,581263,472092672,13718564864,124452864,2303418368,0,0
11-04 09:55:35,1649692535.661,2.562,2.125,95.062,0.250,0,0,110592,535325,602874,472576000,13718073344,124461056,2303418368,0,7
11-04 09:55:36,1649692536.662,2.070,2.133,95.797,0,0,0,0,536464,589021,472408064,13718241280,124461056,2303418368,0,0
11-04 09:55:37,1649692537.661,1.893,1.956,96.151,0,0,0,0,525571,598098,473346048,13717303296,124461056,2303418368,0,0
11-04 09:55:38,1649692538.662,1.828,1.892,96.280,0,0,0,0,537689,605227,472772608,13717876736,124461056,2303418368,0,0
11-04 09:55:39,1649692539.661,2.562,2.125,95.312,0,0,0,0,539485,592734,472891392,13717757952,124461056,2303418368,0,0
11-04 09:55:40,1649692540.662,2.138,1.887,95.975,0,0,0,0,532625,606329,472764416,13717884928,124461056,2303418368,0,0
11-04 09:55:41,1649692541.662,1.828,2.018,95.902,0.252,0,0,45056,550423,606467,473288704,13717352448,124469248,2303418368,0,3
11-04 09:55:42,1649692542.662,2.140,1.888,95.972,0,0,0,0,541374,601042,473600000,13717041152,124469248,2303418368,0,0
11-04 09:55:43,1649692543.662,2.194,2.320,95.486,0,0,0,0,550076,613707,473157632,13717483520,124469248,2303418368,0,0
11-04 09:55:44,1649692544.662,2.140,1.951,95.909,0,0,0,0,548076,615097,473636864,13717004288,124469248,2303418368,0,0
11-04 09:55:45,1649692545.662,2.321,2.008,95.671,0,0,0,0,554842,614705,473128960,13717512192,124469248,2303418368,0,0
11-04 09:55:46,1649692546.662,2.013,2.138,95.849,0,0,0,0,552464,619272,473665536,13716975616,124469248,2303418368,0,0
11-04 09:55:47,1649692547.662,2.021,1.769,96.020,0.190,0,0,45056,553155,617599,474144768,13716488192,124477440,2303418368,0,3
11-04 09:55:48,1649692548.662,1.960,1.643,96.397,0,0,0,0,538427,601472,473989120,13716643840,124477440,2303418368,0,0
11-04 09:55:49,1649692549.662,2.506,1.942,95.551,0,0,0,0,548371,612173,473518080,13717114880,124477440,2303418368,0,0
11-04 09:55:50,1649692550.662,2.921,2.362,94.717,0,0,0,0,550298,612390,474140672,13716492288,124477440,2303418368,0,0
11-04 09:55:51,1649692551.662,1.710,1.773,96.517,0,0,0,0,552346,618200,473640960,13716992000,124477440,2303418368,0,0
11-04 09:55:52,1649692552.662,2.330,1.637,95.844,0.189,0,0,45056,543536,605727,474869760,13715755008,124485632,2303418368,0,3
11-04 09:55:53,1649692553.662,1.956,1.893,96.151,0,0,0,0,544924,605769,474288128,13716336640,124485632,2303418368,0,0
11-04 09:55:54,1649692554.662,1.895,1.832,96.273,0,0,0,0,548345,613007,474222592,13716402176,124485632,2303418368,0,0
11-04 09:55:55,1649692555.662,2.014,2.014,95.972,0,0,0,0,545553,613709,474615808,13716008960,124485632,2303418368,0,0
11-04 09:55:56,1649692556.662,1.956,1.956,96.088,0,0,0,0,559058,622048,473935872,13716688896,124485632,2303418368,0,0
11-04 09:55:57,1649692557.662,2.632,1.942,95.238,0.188,0,0,90112,551854,616955,474103808,13716512768,124493824,2303418368,0,13
11-04 09:55:58,1649692558.662,2.201,1.887,95.912,0,0,0,0,545216,611743,474251264,13716365312,124493824,2303418368,0,0
11-04 09:55:59,1649692559.662,1.702,2.207,96.091,0,0,0,0,543332,608098,474808320,13715808256,124493824,2303418368,0,0
11-04 09:56:00,1649692560.662,2.144,1.765,96.091,0,0,0,0,549648,607553,474718208,13715894272,124493824,2303422464,0,0
11-04 09:56:01,1649692561.662,1.883,2.385,95.731,0,0,0,0,543221,609614,474681344,13715931136,124493824,2303422464,0,0
11-04 09:56:02,1649692562.662,2.442,2.066,95.241,0.250,0,0,57344,549669,618202,474460160,13716144128,124502016,2303422464,0,6
11-04 09:56:03,1649692563.662,1.892,2.018,96.091,0,0,0,0,547231,609104,475385856,13715218432,124502016,2303422464,0,0
11-04 09:56:04,1649692564.662,1.892,1.955,96.154,0,0,0,0,555221,616572,474472448,13716131840,124502016,2303422464,0,0
11-04 09:56:05,1649692565.662,1.705,2.083,96.212,0,0,0,0,546241,613289,475561984,13715042304,124502016,2303422464,0,0
11-04 09:56:06,1649692566.662,2.261,1.947,95.791,0,0,0,0,543513,606032,475123712,13715480576,124502016,2303422464,0,0
11-04 09:56:07,1649692567.662,1.767,2.082,95.899,0.252,0,0,430080,543630,610075,475557888,13715034112,124510208,2303426560,0,79
11-04 09:56:08,1649692568.662,1.895,1.769,96.336,0,0,0,0,544794,601106,475512832,13715079168,124510208,2303426560,0,0
11-04 09:56:09,1649692569.662,2.142,1.827,96.030,0,0,0,0,548156,611797,475320320,13715271680,124510208,2303426560,0,0
11-04 09:56:10,1649692570.662,1.827,2.142,96.030,0,0,0,0,554146,617954,475230208,13715361792,124510208,2303426560,0,0
11-04 09:56:11,1649692571.662,2.019,1.830,96.151,0,0,0,0,555885,619209,475443200,13715148800,124510208,2303426560,0,0
11-04 09:56:12,1649692572.662,2.506,2.005,95.301,0.188,0,0,45056,547817,615216,476557312,13714026496,124518400,2303426560,0,3
11-04 09:56:13,1649692573.662,1.642,2.021,96.336,0,0,0,0,549260,610577,475693056,13714890752,124518400,2303426560,0,0
11-04 09:56:14,1649692574.662,1.899,1.582,96.519,0,0,0,0,557095,617664,475496448,13715087360,124518400,2303426560,0,0
11-04 09:56:15,1649692575.662,1.957,1.831,96.212,0,0,0,0,548730,614697,475119616,13715464192,124518400,2303426560,0,0
11-04 09:56:16,1649692576.662,2.083,1.641,96.275,0,0,0,0,535381,587531,475115520,13715468288,124518400,2303426560,0,0
11-04 09:56:17,1649692577.662,1.635,1.761,96.415,0.189,0,0,45056,359331,235678,474775552,13715804160,124522496,2303426560,0,3
11-04 09:56:18,1649692578.662,1.391,1.391,97.219,0,0,0,0,326806,185432,473878528,13716701184,124522496,2303426560,0,0
11-04 09:56:19,1649692579.662,1.447,1.698,96.855,0,0,0,0,316494,184145,474394624,13716185088,124522496,2303426560,0,0
11-04 09:56:20,1649692580.662,1.326,1.578,97.096,0,0,0,0,327982,189028,474611712,13715968000,124522496,2303426560,0,0
11-04 09:56:21,1649692581.662,1.263,1.516,97.220,0,0,0,0,327551,186226,474288128,13716291584,124522496,2303426560,0,0
11-04 09:56:22,1649692582.662,1.506,2.008,96.299,0.188,0,0,49152,325511,188241,474214400,13716361216,124526592,2303426560,0,3
11-04 09:56:23,1649692583.662,1.755,1.755,96.489,0,0,0,0,324724,184403,473485312,13717090304,124526592,2303426560,0,0
11-04 09:56:24,1649692584.662,1.942,1.629,96.429,0,0,0,0,328202,188459,473890816,13716684800,124526592,2303426560,0,0
11-04 09:56:25,1649692585.662,1.572,1.635,96.792,0,0,0,0,321267,184453,474312704,13716262912,124526592,2303426560,0,0
11-04 09:56:26,1649692586.662,1.201,1.580,97.219,0,0,0,0,327401,186051,474189824,13716385792,124526592,2303426560,0,0
11-04 09:56:27,1649692587.662,1.514,1.451,96.782,0.252,0,0,45056,328350,188336,475406336,13715165184,124530688,2303426560,0,3
11-04 09:56:28,1649692588.662,1.327,1.453,97.220,0,0,0,0,330596,189780,475062272,13715517440,124530688,2303426560,0,0
11-04 09:56:29,1649692589.662,1.388,1.577,97.035,0,0,0,0,327503,188437,474304512,13716275200,124530688,2303426560,0,0
11-04 09:56:30,1649692590.662,1.635,1.572,96.792,0,0,0,0,328284,188884,473600000,13716979712,124530688,2303426560,0,0
11-04 09:56:31,1649692591.662,1.387,1.639,96.974,0,0,0,0,326902,188925,474460160,13716119552,124530688,2303426560,0,0
11-04 09:56:32,1649692592.662,1.511,1.637,96.662,0.189,0,0,49152,330630,189701,475594752,13714980864,124534784,2303426560,0,3
11-04 09:56:33,1649692593.662,1.073,1.830,97.098,0,0,0,4096,329076,187571,474361856,13716213760,124534784,2303426560,0,1
