"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_1.dstat.csv 1",,,,"Date:","11 Apr 2022 09:55:30 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:55:30,1649692530.568,11.616,0.477,87.706,0.200,0,112818.354,1700878.471,0,0,580890624,14907260928,15855616,1170833408,4.287,16.335
11-04 09:55:31,1649692531.569,0.559,2.112,97.329,0,0,0,0,37390,41558,591036416,14897139712,15855616,1170808832,0,0
11-04 09:55:32,1649692532.569,3.846,2.207,93.947,0,0,0,0,72724,75182,598044672,14890094592,15855616,1170812928,0,0
11-04 09:55:33,1649692533.569,1.074,1.579,97.347,0,0,0,16384,350966,307957,600293376,14887845888,15855616,1170812928,0,2
11-04 09:55:34,1649692534.569,1.700,1.763,96.285,0.252,0,0,176128,470908,392397,601018368,14887108608,15867904,1170812928,0,8
11-04 09:55:35,1649692535.569,2.066,2.129,95.805,0,0,0,0,490140,418061,601915392,14886211584,15867904,1170812928,0,0
11-04 09:55:36,1649692536.569,1.887,1.887,96.226,0,0,0,0,490788,425859,601858048,14886268928,15867904,1170812928,0,0
11-04 09:55:37,1649692537.569,2.008,1.945,96.048,0,0,0,0,482680,410928,601759744,14886367232,15867904,1170812928,0,0
11-04 09:55:38,1649692538.569,1.706,1.642,96.652,0,0,0,0,499397,429892,602181632,14885945344,15867904,1170812928,0,0
11-04 09:55:39,1649692539.569,1.830,1.640,96.530,0,0,0,0,497532,432934,601600000,14886526976,15867904,1170812928,0,0
11-04 09:55:40,1649692540.569,2.308,2.308,95.197,0.187,0,0,49152,505559,435054,603332608,14884786176,15876096,1170812928,0,3
11-04 09:55:41,1649692541.569,2.126,2.314,95.560,0,0,0,0,506943,437852,603156480,14884962304,15876096,1170812928,0,0
11-04 09:55:42,1649692542.569,2.752,2.376,94.872,0,0,0,0,518260,453392,606973952,14881144832,15876096,1170812928,0,0
11-04 09:55:43,1649692543.569,1.647,1.647,96.707,0,0,0,4096,517127,450899,603275264,14884843520,15876096,1170812928,0,1
11-04 09:55:44,1649692544.569,1.632,2.385,95.982,0,0,0,0,505594,432303,602546176,14885572608,15876096,1170812928,0,0
11-04 09:55:45,1649692545.569,1.751,2.689,95.560,0,0,0,0,512682,437806,603267072,14884851712,15876096,1170812928,0,0
11-04 09:55:46,1649692546.569,1.887,2.013,95.912,0.189,0,0,49152,509545,445459,602836992,14885273600,15884288,1170812928,0,3
11-04 09:55:47,1649692547.569,1.945,2.008,96.048,0,0,0,0,510161,437430,602865664,14885244928,15884288,1170812928,0,0
11-04 09:55:48,1649692548.569,2.009,2.072,95.920,0,0,0,0,503122,435633,602415104,14885695488,15884288,1170812928,0,0
11-04 09:55:49,1649692549.569,1.938,2.500,95.562,0,0,0,0,504606,437213,603430912,14884679680,15884288,1170812928,0,0
