"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node5.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_3.dstat.csv 1",,,,"Date:","11 Apr 2022 09:57:28 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:57:28,1649692648.238,1.324,0.128,98.487,0.060,0,41218.830,299038.704,0,0,450981888,14882680832,22863872,1314357248,2.237,4.265
11-04 09:57:29,1649692649.239,0,0.062,99.938,0,0,0,0,16226,18388,451551232,14882095104,22863872,1314390016,0,0
11-04 09:57:30,1649692650.239,0,0,100,0,0,0,0,15752,18304,451543040,14882103296,22863872,1314390016,0,0
11-04 09:57:31,1649692651.239,0.063,0,99.937,0,0,0,0,17208,22350,451670016,14881976320,22863872,1314390016,0,0
11-04 09:57:32,1649692652.239,0,0,99.750,0.250,0,0,73728,15011,18318,451661824,14881976320,22872064,1314390016,0,5
11-04 09:57:33,1649692653.239,0,0.125,99.875,0,0,0,0,12014,19190,451661824,14881976320,22872064,1314390016,0,0
11-04 09:57:34,1649692654.239,0.125,0.125,99.750,0,0,0,0,16422,21450,451661824,14881976320,22872064,1314390016,0,0
11-04 09:57:35,1649692655.239,0,0,100,0,0,0,0,15173,18304,451661824,14881976320,22872064,1314390016,0,0
11-04 09:57:36,1649692656.239,0,0.063,99.937,0,0,0,0,17310,22036,451661824,14881976320,22872064,1314390016,0,0
11-04 09:57:37,1649692657.239,0.063,0,99.937,0,0,0,12288,16144,18890,451661824,14881976320,22872064,1314390016,0,3
11-04 09:57:38,1649692658.239,1.377,0.313,98.248,0.063,0,0,16384,20493,23227,454582272,14879047680,22880256,1314385920,0,2
11-04 09:57:39,1649692659.239,0,0.063,99.937,0,0,0,0,17115,22786,454090752,14879539200,22880256,1314390016,0,0
11-04 09:57:40,1649692660.239,0.063,0,99.937,0,0,0,0,15468,18304,454090752,14879539200,22880256,1314390016,0,0
11-04 09:57:41,1649692661.239,0.063,0,99.937,0,0,0,0,15023,19884,454090752,14879539200,22880256,1314390016,0,0
11-04 09:57:42,1649692662.239,0.062,0.062,99.875,0,0,0,0,16789,20306,454090752,14879539200,22880256,1314390016,0,0
11-04 09:57:43,1649692663.239,0.062,0.062,99.750,0.125,0,0,32768,14739,18346,454082560,14879539200,22888448,1314390016,0,2
11-04 09:57:44,1649692664.239,0.062,0.062,99.875,0,0,0,0,16395,21192,454082560,14879539200,22888448,1314390016,0,0
11-04 09:57:45,1649692665.239,0,0,100,0,0,0,0,15937,19448,454082560,14879539200,22888448,1314390016,0,0
11-04 09:57:46,1649692666.239,0.125,0,99.875,0,0,0,0,13972,18318,454082560,14879539200,22888448,1314390016,0,0
11-04 09:57:47,1649692667.239,0,0.063,99.937,0,0,0,0,16628,21478,454082560,14879539200,22888448,1314390016,0,0
11-04 09:57:48,1649692668.239,0.125,0,99.875,0,0,0,0,16760,20311,454852608,14878769152,22888448,1314390016,0,0
11-04 09:57:49,1649692669.239,1.373,0.437,98.002,0.187,0,0,16384,18371,23370,454893568,14878720000,22896640,1314390016,0,2
11-04 09:57:50,1649692670.239,0,0.125,99.875,0,0,0,0,16467,20878,454893568,14878720000,22896640,1314390016,0,0
11-04 09:57:51,1649692671.239,0.063,0,99.937,0,0,0,0,14880,18876,454893568,14878720000,22896640,1314390016,0,0
11-04 09:57:52,1649692672.239,0.063,0,99.937,0,0,0,40960,15558,21178,454893568,14878720000,22896640,1314390016,0,9
11-04 09:57:53,1649692673.239,0.063,0,99.937,0,0,0,0,15390,19734,454893568,14878720000,22896640,1314390016,0,0
11-04 09:57:54,1649692674.239,0.063,0.063,99.812,0.063,0,0,32768,15152,18940,454885376,14878720000,22904832,1314390016,0,2
11-04 09:57:55,1649692675.239,0.125,0.062,99.813,0,0,0,0,16892,21242,454885376,14878720000,22904832,1314390016,0,0
11-04 09:57:56,1649692676.239,0,0.125,99.875,0,0,0,0,15036,18904,454885376,14878720000,22904832,1314390016,0,0
11-04 09:57:57,1649692677.239,0.062,0.062,99.875,0,0,0,0,15932,19490,454885376,14878720000,22904832,1314390016,0,0
11-04 09:57:58,1649692678.239,0,0.125,99.875,0,0,0,0,16340,20620,454885376,14878720000,22904832,1314390016,0,0
11-04 09:57:59,1649692679.239,1.126,0.501,98.310,0.063,0,0,16384,18899,23196,455598080,14877999104,22913024,1314381824,0,2
11-04 09:58:00,1649692680.239,0,0.063,99.937,0,0,0,0,16150,20749,455618560,14877974528,22913024,1314394112,0,0
11-04 09:58:01,1649692681.239,0.063,0,99.937,0,0,0,0,15927,18918,455618560,14877974528,22913024,1314394112,0,0
11-04 09:58:02,1649692682.239,0,0.063,99.937,0,0,0,0,15994,19598,455618560,14877974528,22913024,1314394112,0,0
11-04 09:58:03,1649692683.239,0,0.063,99.937,0,0,0,684032,15397,19574,455647232,14877941760,22913024,1314398208,0,134
11-04 09:58:04,1649692684.239,0.063,0,99.750,0.188,0,0,49152,15320,20334,455639040,14877941760,22921216,1314398208,0,4
11-04 09:58:05,1649692685.239,0.125,0,99.875,0,0,0,0,15465,19748,455639040,14877941760,22921216,1314398208,0,0
11-04 09:58:06,1649692686.239,0.063,0,99.937,0,0,0,0,16226,19448,455639040,14877941760,22921216,1314398208,0,0
11-04 09:58:07,1649692687.239,0.063,0,99.937,0,0,0,0,15616,20048,455639040,14877941760,22921216,1314398208,0,0
11-04 09:58:08,1649692688.239,0.063,0.063,99.875,0,0,0,0,16194,19742,455639040,14877941760,22921216,1314398208,0,0
11-04 09:58:09,1649692689.239,1.188,0.500,98.186,0.125,0,0,24576,20277,24584,456314880,14877261824,22929408,1314398208,0,2
11-04 09:58:10,1649692690.239,0.062,0.062,99.875,0,0,0,0,15469,19891,455409664,14878158848,22929408,1314402304,0,0
11-04 09:58:11,1649692691.239,0.063,0,99.937,0,0,0,0,15007,19462,455409664,14878158848,22929408,1314402304,0,0
11-04 09:58:12,1649692692.239,0.187,0.062,99.750,0,0,0,0,16509,20712,455409664,14878158848,22929408,1314402304,0,0
11-04 09:58:13,1649692693.239,0.063,0,99.937,0,0,0,12288,16223,19162,455442432,14878126080,22929408,1314402304,0,2
11-04 09:58:14,1649692694.239,0.062,0.062,99.750,0.125,0,0,45056,15355,19790,455442432,14878126080,22937600,1314394112,0,2
11-04 09:58:15,1649692695.239,0.062,0.062,99.875,0,0,0,0,12028,19176,455434240,14878126080,22937600,1314402304,0,0
11-04 09:58:16,1649692696.239,0.063,0,99.937,0,0,0,0,16115,19840,455434240,14878126080,22937600,1314402304,0,0
11-04 09:58:17,1649692697.239,0.062,0.062,99.875,0,0,0,0,15468,20034,455434240,14878126080,22937600,1314402304,0,0
11-04 09:58:18,1649692698.239,0,0,100,0,0,0,0,15967,19734,455434240,14878126080,22937600,1314402304,0,0
11-04 09:58:19,1649692699.239,0.063,0.063,99.875,0,0,0,0,15773,19888,455434240,14878126080,22937600,1314402304,0,0
11-04 09:58:20,1649692700.239,1.252,0.313,98.309,0.125,0,0,16384,19522,24772,455614464,14877937664,22945792,1314402304,0,2
11-04 09:58:21,1649692701.239,0.125,0.062,99.812,0,0,0,0,15850,20163,455614464,14877937664,22945792,1314402304,0,0
11-04 09:58:22,1649692702.239,0.125,0.062,99.813,0,0,0,0,15855,20048,455614464,14877937664,22945792,1314402304,0,0
11-04 09:58:23,1649692703.239,0,0,100,0,0,0,0,15761,20370,455614464,14877937664,22945792,1314402304,0,0
11-04 09:58:24,1649692704.239,0,0,100,0,0,0,0,15461,20034,455614464,14877937664,22945792,1314402304,0,0
11-04 09:58:25,1649692705.239,0.063,0,99.812,0.125,0,0,32768,15506,18998,455606272,14877937664,22953984,1314402304,0,2
11-04 09:58:26,1649692706.239,0,0,100,0,0,0,0,15233,19790,455606272,14877937664,22953984,1314402304,0,0
11-04 09:58:27,1649692707.239,0.063,0,99.937,0,0,0,0,15264,19512,455606272,14877937664,22953984,1314402304,0,0
11-04 09:58:28,1649692708.239,0.062,0.062,99.875,0,0,0,36864,15454,20084,455606272,14877937664,22953984,1314402304,0,8
11-04 09:58:29,1649692709.239,0.062,0.062,99.875,0,0,0,0,16517,20606,455606272,14877937664,22953984,1314402304,0,0
11-04 09:58:30,1649692710.239,1.378,0.376,98.184,0.063,0,4096,16384,19335,23705,456671232,14876864512,22962176,1314406400,1,2
11-04 09:58:31,1649692711.239,0,0.125,99.875,0,0,0,0,17177,21342,456003584,14877532160,22962176,1314402304,0,0
11-04 09:58:32,1649692712.239,0,0,100,0,0,0,0,14738,19748,456003584,14877532160,22962176,1314402304,0,0
11-04 09:58:33,1649692713.239,0.125,0,99.875,0,0,0,8192,15409,19490,456003584,14877532160,22962176,1314402304,0,2
11-04 09:58:34,1649692714.239,0.062,0.062,99.875,0,0,0,0,17462,20606,456003584,14877532160,22962176,1314402304,0,0
11-04 09:58:35,1649692715.239,0.125,0,99.750,0.125,0,0,32768,16435,19462,456003584,14877532160,22970368,1314394112,0,2
11-04 09:58:36,1649692716.239,0.125,0,99.875,0,0,0,0,15511,19462,455991296,14877532160,22970368,1314406400,0,0
11-04 09:58:37,1649692717.239,0,0.063,99.937,0,0,0,0,15932,20634,455991296,14877532160,22970368,1314406400,0,0
