"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_1.dstat.csv 1",,,,"Date:","11 Apr 2022 09:57:28 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:57:28,1649692648.231,1.320,0.127,98.490,0.063,0,23328.327,309162.258,0,0,459280384,14420570112,104185856,1654530048,1.922,4.655
11-04 09:57:29,1649692649.232,0,0,100,0,0,0,0,18771,23162,458059776,14421778432,104185856,1654558720,0,0
11-04 09:57:30,1649692650.232,0.062,0.125,99.813,0,0,0,0,17713,22400,458059776,14421778432,104185856,1654558720,0,0
11-04 09:57:31,1649692651.232,0.187,0.125,99.688,0,0,0,0,18788,22852,458186752,14421651456,104185856,1654558720,0,0
11-04 09:57:32,1649692652.232,0,0.125,99.875,0,0,0,0,19135,25388,458313728,14421524480,104185856,1654558720,0,0
11-04 09:57:33,1649692653.232,0,0.125,99.875,0,0,0,0,17520,22822,458313728,14421524480,104185856,1654558720,0,0
11-04 09:57:34,1649692654.232,0.063,0,99.625,0.313,0,0,90112,18077,23402,458305536,14421524480,104194048,1654558720,0,6
11-04 09:57:35,1649692655.232,0,0.063,99.937,0,0,0,0,19424,25196,458432512,14421397504,104194048,1654558720,0,0
11-04 09:57:36,1649692656.232,0.062,0.062,99.875,0,0,0,0,18537,23114,458432512,14421397504,104194048,1654558720,0,0
11-04 09:57:37,1649692657.232,0,0.125,99.875,0,0,0,0,18097,22806,458432512,14421397504,104194048,1654558720,0,0
11-04 09:57:38,1649692658.232,1.436,0.499,98.065,0,0,0,0,22703,27931,460603392,14419226624,104194048,1654562816,0,0
11-04 09:57:39,1649692659.232,0.062,0.125,99.812,0,0,0,0,18944,25238,461262848,14418567168,104194048,1654558720,0,0
11-04 09:57:40,1649692660.232,0.062,0.125,99.625,0.187,0,0,36864,18506,23400,461254656,14418567168,104202240,1654558720,0,2
11-04 09:57:41,1649692661.232,0,0.063,99.937,0,0,0,0,17194,22792,461254656,14418567168,104202240,1654558720,0,0
11-04 09:57:42,1649692662.232,0,0.063,99.937,0,0,0,1314816,19377,24514,461254656,14418567168,104202240,1654558720,0,229
11-04 09:57:43,1649692663.232,0,0,100,0,0,0,0,17584,23672,461254656,14418567168,104202240,1654558720,0,0
11-04 09:57:44,1649692664.232,0.125,0.125,99.750,0,0,0,0,17784,23102,461254656,14418567168,104202240,1654558720,0,0
11-04 09:57:45,1649692665.232,0,0.063,99.937,0,0,0,0,18458,23666,461254656,14418567168,104202240,1654558720,0,0
11-04 09:57:46,1649692666.232,0.063,0,99.750,0.188,0,0,16384,17386,23120,461246464,14418567168,104210432,1654558720,0,2
11-04 09:57:47,1649692667.232,0.062,0.062,99.875,0,0,0,4096,17832,23396,461246464,14418567168,104210432,1654558720,0,1
11-04 09:57:48,1649692668.232,0.063,0.125,99.812,0,0,0,0,17992,23526,462438400,14417375232,104210432,1654558720,0,0
11-04 09:57:49,1649692669.232,1.439,0.626,97.935,0,0,0,0,23589,30630,462839808,14416973824,104210432,1654558720,0,0
11-04 09:57:50,1649692670.232,0,0,100,0,0,0,0,18487,23935,462839808,14416973824,104210432,1654558720,0,0
11-04 09:57:51,1649692671.232,0,0.125,99.687,0.188,0,0,36864,17813,23988,462831616,14416973824,104218624,1654558720,0,2
11-04 09:57:52,1649692672.232,0,0,100,0,0,0,61440,16851,23094,462831616,14416973824,104218624,1654558720,0,12
11-04 09:57:53,1649692673.232,0,0,100,0,0,0,0,18537,24260,462823424,14416982016,104218624,1654558720,0,0
11-04 09:57:54,1649692674.232,0.125,0.062,99.813,0,0,0,0,18397,23958,462823424,14416982016,104218624,1654558720,0,0
11-04 09:57:55,1649692675.232,0.062,0.062,99.875,0,0,0,0,18858,23972,462823424,14416982016,104218624,1654558720,0,0
11-04 09:57:56,1649692676.232,0,0,100,0,0,0,0,17343,22556,462823424,14416982016,104218624,1654558720,0,0
11-04 09:57:57,1649692677.232,0.063,0,99.750,0.188,0,0,16384,18639,24514,462815232,14416982016,104226816,1654558720,0,2
11-04 09:57:58,1649692678.232,0,0.063,99.937,0,0,0,0,17487,23390,462815232,14416982016,104226816,1654558720,0,0
11-04 09:57:59,1649692679.232,1.249,0.625,98.126,0,0,0,0,23089,29191,463675392,14416121856,104226816,1654558720,0,0
11-04 09:58:00,1649692680.232,0.063,0,99.937,0,0,0,0,18060,23662,462872576,14416916480,104226816,1654566912,0,0
11-04 09:58:01,1649692681.232,0,0,100,0,0,0,0,18747,23686,462872576,14416916480,104226816,1654566912,0,0
11-04 09:58:02,1649692682.232,0.063,0.063,99.625,0.250,0,0,69632,18567,22662,462864384,14416916480,104235008,1654566912,0,7
11-04 09:58:03,1649692683.232,0,0.063,99.937,0,0,0,0,15181,24242,462864384,14416916480,104235008,1654566912,0,0
11-04 09:58:04,1649692684.232,0.125,0.062,99.813,0,0,0,0,18291,25220,462864384,14416916480,104235008,1654566912,0,0
11-04 09:58:05,1649692685.232,0.063,0.063,99.875,0,0,0,0,17488,23156,462864384,14416916480,104235008,1654566912,0,0
