"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node9.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_5.dstat.csv 1",,,,"Date:","11 Apr 2022 09:57:28 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:57:28,1649692648.236,1.321,0.127,98.490,0.062,0,41756.121,306773.233,0,0,452493312,15053651968,23265280,1166876672,2.285,4.351
11-04 09:57:29,1649692649.237,0,0,100,0,0,0,0,18682,22978,452067328,15054069760,23265280,1166901248,0,0
11-04 09:57:30,1649692650.237,0.063,0,99.937,0,0,0,0,16875,21656,452067328,15054069760,23265280,1166901248,0,0
11-04 09:57:31,1649692651.237,0.062,0.062,99.875,0,0,0,0,19224,22908,452067328,15054069760,23265280,1166901248,0,0
11-04 09:57:32,1649692652.237,0.063,0.063,99.625,0.250,0,0,81920,17316,22594,452059136,15054069760,23273472,1166901248,0,5
11-04 09:57:33,1649692653.237,0.125,0,99.875,0,0,0,0,17505,22622,452059136,15054069760,23273472,1166901248,0,0
11-04 09:57:34,1649692654.237,0.062,0.062,99.875,0,0,0,0,17655,22622,452059136,15054069760,23273472,1166901248,0,0
11-04 09:57:35,1649692655.237,0.063,0,99.937,0,0,0,0,17489,22322,452186112,15053942784,23273472,1166901248,0,0
11-04 09:57:36,1649692656.237,0.125,0.062,99.812,0,0,0,0,18076,22608,452313088,15053815808,23273472,1166901248,0,0
11-04 09:57:37,1649692657.237,0,0,100,0,0,0,0,17955,22608,452313088,15053815808,23273472,1166901248,0,0
11-04 09:57:38,1649692658.237,1.312,0.500,98,0.188,0,0,16384,22205,27123,455151616,15050969088,23281664,1166901248,0,2
11-04 09:57:39,1649692659.237,0.125,0,99.875,0,0,0,0,18080,23696,454729728,15051390976,23281664,1166901248,0,0
11-04 09:57:40,1649692660.237,0.063,0,99.937,0,0,0,0,18024,22622,454729728,15051390976,23281664,1166901248,0,0
11-04 09:57:41,1649692661.237,0.062,0.125,99.812,0,0,0,0,16700,22078,454729728,15051390976,23281664,1166901248,0,0
11-04 09:57:42,1649692662.237,0.063,0,99.937,0,0,0,0,17939,22322,454721536,15051399168,23281664,1166901248,0,0
