"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node8.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_5.dstat.csv 1",,,,"Date:","11 Apr 2022 09:57:25 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:57:25,1649692645.835,1.530,0.405,98.005,0.060,0,41090.089,293020.297,0,0,456486912,14836719616,24039424,1348366336,2.211,4.278
11-04 09:57:26,1649692646.836,0,0.062,99.938,0,0,0,0,10362,8212,456769536,14836432896,24039424,1348370432,0,0
11-04 09:57:27,1649692647.836,2.511,2.260,95.229,0,0,0,0,54013,48291,465936384,14827261952,24039424,1348382720,0,0
11-04 09:57:28,1649692648.836,1.255,1.444,97.301,0,0,0,0,173718,161868,466345984,14826819584,24039424,1348374528,0,0
11-04 09:57:29,1649692649.836,1.513,1.450,97.037,0,0,0,0,348479,330639,467816448,14825349120,24039424,1348374528,0,0
11-04 09:57:30,1649692650.836,1.267,1.457,97.023,0.253,0,0,81920,361565,346995,468942848,14824214528,24047616,1348374528,0,6
11-04 09:57:31,1649692651.836,1.762,1.510,96.728,0,0,0,0,362093,350563,468500480,14824656896,24047616,1348374528,0,0
11-04 09:57:32,1649692652.836,2.009,1.632,96.359,0,0,0,0,367121,359521,468770816,14824386560,24047616,1348374528,0,0
11-04 09:57:33,1649692653.836,1.329,1.582,97.089,0,0,0,0,377653,361502,469024768,14824132608,24047616,1348374528,0,0
11-04 09:57:34,1649692654.836,2.140,1.510,96.350,0,0,0,0,374717,359526,469835776,14823321600,24047616,1348374528,0,0
11-04 09:57:35,1649692655.836,1.452,1.641,96.907,0,0,0,0,374810,370581,469741568,14823415808,24047616,1348374528,0,0
11-04 09:57:36,1649692656.836,1.576,1.639,96.595,0.189,0,0,65536,370973,360057,468992000,14824157184,24055808,1348374528,0,3
11-04 09:57:37,1649692657.836,2.434,1.873,95.693,0,0,0,0,392590,369687,469770240,14823378944,24055808,1348374528,0,0
11-04 09:57:38,1649692658.835,1.208,1.271,97.521,0,0,0,0,371441,370051,470065152,14823084032,24055808,1348374528,0,0
11-04 09:57:39,1649692659.836,1.509,1.950,96.541,0,0,0,0,381764,368195,469614592,14823534592,24055808,1348374528,0,0
11-04 09:57:40,1649692660.836,1.882,1.945,96.173,0,0,0,0,385988,365003,470740992,14822408192,24055808,1348374528,0,0
