"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_2.dstat.csv 1",,,,"Date:","11 Apr 2022 09:57:28 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 09:57:28,1649692648.289,1.321,0.127,98.493,0.059,0,20723.130,293091.016,0,0,458498048,14255882240,123584512,1795182592,1.783,4.282
11-04 09:57:29,1649692649.290,0.062,0.062,99.875,0,0,0,0,19570,23536,458571776,14255800320,123584512,1795194880,0,0
11-04 09:57:30,1649692650.290,0,0.063,99.937,0,0,0,0,17617,22692,458571776,14255800320,123584512,1795194880,0,0
11-04 09:57:31,1649692651.290,0.063,0,99.937,0,0,0,0,20851,26598,458571776,14255800320,123584512,1795194880,0,0
11-04 09:57:32,1649692652.290,0,0.063,99.937,0,0,0,0,17767,22908,458825728,14255546368,123584512,1795194880,0,0
11-04 09:57:33,1649692653.290,0.188,0.125,99.688,0,0,0,0,18850,24383,460226560,14254145536,123584512,1795194880,0,0
11-04 09:57:34,1649692654.290,0.125,0.125,99.688,0.062,0,0,77824,19276,25815,459522048,14254833664,123592704,1795203072,0,5
11-04 09:57:35,1649692655.290,0.125,0,99.875,0,0,0,0,20011,26382,459522048,14254833664,123592704,1795203072,0,0
11-04 09:57:36,1649692656.290,0,0.063,99.937,0,0,0,0,18806,22894,459522048,14254833664,123592704,1795203072,0,0
11-04 09:57:37,1649692657.290,0,0.063,99.937,0,0,0,0,18251,23272,459522048,14254833664,123592704,1795203072,0,0
11-04 09:57:38,1649692658.290,1.315,0.438,98.247,0,0,0,0,24809,30855,462344192,14252011520,123592704,1795203072,0,0
11-04 09:57:39,1649692659.290,0.063,0,99.687,0.250,0,0,61440,17914,24174,462704640,14251642880,123600896,1795203072,0,4
11-04 09:57:40,1649692660.290,0,0.063,99.937,0,0,0,0,18092,22608,462704640,14251642880,123600896,1795203072,0,0
11-04 09:57:41,1649692661.290,0,0,100,0,0,0,0,19163,25782,462704640,14251642880,123600896,1795203072,0,0
11-04 09:57:42,1649692662.290,0.063,0,99.937,0,0,0,0,18720,24024,462704640,14251642880,123600896,1795203072,0,0
11-04 09:57:43,1649692663.290,0.062,0.062,99.875,0,0,0,0,16915,22636,462704640,14251642880,123600896,1795203072,0,0
11-04 09:57:44,1649692664.290,0,0.063,99.937,0,0,0,0,19012,24610,462704640,14251642880,123600896,1795203072,0,0
11-04 09:57:45,1649692665.290,0,0,99.937,0.063,0,0,16384,19238,25182,462700544,14251642880,123604992,1795203072,0,2
11-04 09:57:46,1649692666.290,0,0.125,99.875,0,0,0,0,17054,22908,462700544,14251642880,123604992,1795203072,0,0
