"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_2.dstat.csv 1",,,,"Date:","11 Apr 2022 12:21:16 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 12:21:16,1649701276.030,0.873,0.085,99.000,0.042,0,13640.292,200773.552,0,0,460845056,14247481344,126664704,1797992448,1.175,3.113
11-04 12:21:17,1649701277.031,0.125,0.063,99.812,0,0,0,0,48101,68267,460107776,14248214528,126664704,1797996544,0,0
11-04 12:21:18,1649701278.031,0.063,0,99.937,0,0,0,0,45218,66980,460234752,14248087552,126664704,1797996544,0,0
11-04 12:21:19,1649701279.031,0,0.125,99.875,0,0,0,0,46255,68424,460361728,14247960576,126664704,1797996544,0,0
11-04 12:21:20,1649701280.031,0.063,0.125,99.812,0,0,0,0,46524,66994,460615680,14247706624,126664704,1797996544,0,0
11-04 12:21:21,1649701281.031,0.063,0.188,99.437,0.313,0,0,81920,46639,67838,460611584,14247706624,126668800,1797996544,0,5
11-04 12:21:22,1649701282.031,0,0.063,99.937,0,0,0,0,45800,67336,460611584,14247706624,126668800,1797996544,0,0
11-04 12:21:23,1649701283.031,0.125,0.188,99.688,0,0,0,0,45007,67838,460611584,14247706624,126668800,1797996544,0,0
11-04 12:21:24,1649701284.031,0.125,0.063,99.812,0,0,0,0,45228,67280,460611584,14247706624,126668800,1797996544,0,0
11-04 12:21:25,1649701285.031,0.063,0,99.937,0,0,0,0,46908,68452,460611584,14247706624,126668800,1797996544,0,0
11-04 12:21:26,1649701286.031,1.251,0.625,97.999,0.125,0,0,24576,49933,72388,463147008,14245167104,126672896,1798004736,0,2
11-04 12:21:27,1649701287.031,0.125,0.063,99.812,0,0,0,32768,45809,69083,462716928,14245593088,126672896,1798000640,0,7
11-04 12:21:28,1649701288.031,0,0.125,99.875,0,0,0,0,45198,68138,462716928,14245593088,126672896,1798000640,0,0
11-04 12:21:29,1649701289.031,0.188,0.125,99.687,0,0,0,0,42689,68396,462716928,14245593088,126672896,1798000640,0,0
11-04 12:21:30,1649701290.031,0.125,0.125,99.750,0,0,0,0,45366,67958,462716928,14245593088,126672896,1798000640,0,0
