"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_2.dstat.csv 1",,,,"Date:","11 Apr 2022 12:21:13 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 12:21:13,1649701273.650,1.869,0.306,97.769,0.057,0,23968.483,342090.602,0,0,470429696,14617866240,38850560,1528479744,1.550,4.641
11-04 12:21:14,1649701274.651,0.062,0.062,99.875,0,0,0,0,11412,8788,470155264,14617858048,38850560,1528762368,0,0
11-04 12:21:15,1649701275.651,1.947,1.193,96.168,0.691,0,147456,114688,28320,24189,475992064,14611988480,38858752,1528791040,4,7
11-04 12:21:16,1649701276.651,0.758,0.884,98.358,0,0,0,0,276484,245379,475967488,14611881984,38858752,1528918016,0,0
11-04 12:21:17,1649701277.651,1.014,0.887,98.099,0,0,0,0,451361,412568,476463104,14611386368,38858752,1528918016,0,0
11-04 12:21:18,1649701278.651,0.891,0.573,98.537,0,0,0,0,452406,421004,476971008,14610878464,38858752,1528918016,0,0
11-04 12:21:19,1649701279.651,0.887,1.013,98.100,0,0,0,0,465962,420183,477020160,14610829312,38858752,1528918016,0,0
11-04 12:21:20,1649701280.651,1.077,0.887,97.847,0.190,0,0,69632,453028,421677,477167616,14610673664,38866944,1528918016,0,4
11-04 12:21:21,1649701281.651,1.013,1.013,97.975,0,0,0,0,464158,422333,477732864,14610108416,38866944,1528918016,0,0
11-04 12:21:22,1649701282.651,1.011,1.138,97.851,0,0,0,0,458823,423485,477937664,14609903616,38866944,1528918016,0,0
11-04 12:21:23,1649701283.651,1.263,0.948,97.789,0,0,0,0,462510,419155,478146560,14609694720,38866944,1528918016,0,0
11-04 12:21:24,1649701284.651,1.141,0.634,98.224,0,0,0,0,463428,428439,477392896,14610448384,38866944,1528918016,0,0
11-04 12:21:25,1649701285.651,0.886,1.139,97.785,0.190,0,0,45056,467433,428674,477966336,14609866752,38875136,1528918016,0,3
11-04 12:21:26,1649701286.651,1.389,0.884,97.727,0,0,0,0,461282,426385,477941760,14609891328,38875136,1528918016,0,0
11-04 12:21:27,1649701287.651,1.508,1.257,97.234,0,0,0,0,470958,432655,478490624,14609342464,38875136,1528918016,0,0
11-04 12:21:28,1649701288.651,1.637,0.882,97.481,0,0,0,0,457511,424012,478642176,14609190912,38875136,1528918016,0,0
11-04 12:21:29,1649701289.651,1.013,1.013,97.975,0,0,0,0,469420,429644,478556160,14609276928,38875136,1528918016,0,0
11-04 12:21:30,1649701290.651,1.330,0.760,97.783,0.127,0,0,45056,470113,432348,478277632,14609547264,38883328,1528918016,0,3
11-04 12:21:31,1649701291.651,1.385,1.196,97.418,0,0,0,0,465502,426598,478580736,14609244160,38883328,1528918016,0,0
11-04 12:21:32,1649701292.651,1.263,0.948,97.789,0,0,0,0,465677,427134,478564352,14609260544,38883328,1528918016,0,0
11-04 12:21:33,1649701293.651,1.329,0.759,97.911,0,0,0,0,466191,426054,478404608,14609420288,38883328,1528918016,0,0
11-04 12:21:34,1649701294.651,0.889,0.825,98.286,0,0,0,0,460944,426557,477601792,14610223104,38883328,1528918016,0,0
11-04 12:21:35,1649701295.651,1.200,1.074,97.536,0.190,0,0,45056,462795,422126,478687232,14609129472,38891520,1528918016,0,3
11-04 12:21:36,1649701296.651,0.951,0.951,98.098,0,0,0,0,466089,429506,478388224,14609428480,38891520,1528918016,0,0
11-04 12:21:37,1649701297.651,1.512,1.071,97.417,0,0,0,0,472633,432821,478466048,14609350656,38891520,1528918016,0,0
11-04 12:21:38,1649701298.651,1.075,1.012,97.913,0,0,0,0,466040,426438,478752768,14609063936,38891520,1528918016,0,0
11-04 12:21:39,1649701299.651,1.387,1.072,97.541,0,0,0,0,457465,423467,479363072,14608453632,38891520,1528918016,0,0
11-04 12:21:40,1649701300.651,0.824,1.078,97.590,0.507,0,0,2695168,468211,424069,478552064,14609256448,38899712,1528918016,0,332
11-04 12:21:41,1649701301.651,1.013,1.013,97.973,0,0,0,0,461940,425713,479010816,14608797696,38899712,1528918016,0,0
11-04 12:21:42,1649701302.651,1.515,0.821,97.664,0,0,0,0,463571,422688,479121408,14608687104,38899712,1528918016,0,0
11-04 12:21:43,1649701303.651,1.262,1.073,97.666,0,0,0,0,462352,429775,479035392,14608773120,38899712,1528918016,0,0
11-04 12:21:44,1649701304.651,1.205,0.698,98.098,0,0,0,0,463538,424045,478208000,14609596416,38899712,1528922112,0,0
11-04 12:21:45,1649701305.651,1.073,1.199,97.538,0.189,0,0,98304,456057,421126,479064064,14608732160,38907904,1528922112,0,16
11-04 12:21:46,1649701306.651,1.326,1.010,97.664,0,0,0,0,468099,428601,478572544,14609223680,38907904,1528922112,0,0
11-04 12:21:47,1649701307.651,0.828,0.701,98.471,0,0,0,0,468525,432144,479334400,14608461824,38907904,1528922112,0,0
11-04 12:21:48,1649701308.651,0.823,1.140,98.037,0,0,0,0,2898644,428388,478248960,14609547264,38907904,1528922112,0,0
11-04 12:21:49,1649701309.651,0.824,1.077,98.099,0,0,0,0,25077125,412588,479637504,14608158720,38907904,1528922112,0,0
11-04 12:21:50,1649701310.651,0.939,1.064,97.808,0.188,0,0,49152,24803324,101294,479408128,14608379904,38916096,1528922112,0,4
11-04 12:21:51,1649701311.651,0.692,0.755,98.553,0,0,0,0,24790318,74142,479399936,14608388096,38916096,1528922112,0,0
11-04 12:21:52,1649701312.651,0.879,0.817,98.304,0,0,0,0,24793456,74137,479322112,14608465920,38916096,1528922112,0,0
11-04 12:21:53,1649701313.651,0.564,1.253,98.183,0,0,0,0,24790662,73839,479154176,14608633856,38916096,1528922112,0,0
11-04 12:21:54,1649701314.651,0.757,0.631,98.613,0,0,0,0,24790742,74343,480702464,14607085568,38916096,1528922112,0,0
11-04 12:21:55,1649701315.651,1.069,0.691,98.114,0.126,0,0,45056,24785741,74256,479526912,14608252928,38924288,1528922112,0,3
11-04 12:21:56,1649701316.651,0.126,0.819,99.055,0,0,0,0,24732281,44850,479567872,14608211968,38924288,1528922112,0,0
