"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.fantoch-testing.hyflowtm-pg0.apt.emulab.net",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_1.dstat.csv 1",,,,"Date:","11 Apr 2022 12:21:13 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
11-04 12:21:13,1649701273.618,8.522,0.355,90.956,0.167,0,97610.460,1273239.855,0,0,572329984,14888296448,14352384,1191997440,3.560,12.971
11-04 12:21:14,1649701274.614,0.377,0.691,98.430,0.503,0,442368,0,22184,15712,578273280,14881763328,14368768,1192570880,15,0
11-04 12:21:15,1649701275.614,2.830,1.384,95.786,0,0,0,0,36418,40493,582385664,14877732864,14368768,1192488960,0,0
11-04 12:21:16,1649701276.614,1.009,0.946,98.045,0,0,0,0,340386,323119,584478720,14875639808,14368768,1192488960,0,0
11-04 12:21:17,1649701277.614,1.197,1.197,97.227,0.378,0,0,139264,436476,417904,584949760,14875160576,14376960,1192488960,0,7
11-04 12:21:18,1649701278.614,1.444,1.318,97.238,0,0,0,0,448842,428635,585650176,14874460160,14376960,1192488960,0,0
11-04 12:21:19,1649701279.614,1.259,1.259,97.483,0,0,0,0,448826,429060,585388032,14874722304,14376960,1192488960,0,0
11-04 12:21:20,1649701280.614,1.695,1.130,97.175,0,0,0,0,447468,427755,585908224,14874202112,14376960,1192488960,0,0
11-04 12:21:21,1649701281.614,1.202,0.822,97.976,0,0,0,0,450310,428863,586559488,14873550848,14376960,1192488960,0,0
11-04 12:21:22,1649701282.614,1.507,1.381,97.112,0,0,0,0,455916,436279,586051584,14874058752,14376960,1192488960,0,0
11-04 12:21:23,1649701283.614,1.564,1.439,96.558,0.438,0,0,49152,449401,431683,585981952,14874120192,14385152,1192488960,0,3
11-04 12:21:24,1649701284.614,1.935,1.498,96.567,0,0,0,0,456966,435938,586575872,14873526272,14385152,1192488960,0,0
11-04 12:21:25,1649701285.614,2.072,1.255,96.673,0,0,0,0,463476,444359,589832192,14870269952,14385152,1192488960,0,0
11-04 12:21:26,1649701286.614,1.447,1.258,97.296,0,0,0,0,459004,438997,586928128,14873174016,14385152,1192488960,0,0
11-04 12:21:27,1649701287.614,2.003,1.189,96.809,0,0,0,0,453532,435273,586895360,14873206784,14385152,1192488960,0,0
11-04 12:21:28,1649701288.614,1.385,1.134,97.481,0,0,0,0,451134,435058,586289152,14873812992,14385152,1192488960,0,0
11-04 12:21:29,1649701289.614,1.759,1.068,97.048,0.126,0,0,49152,455880,438041,587853824,14872240128,14393344,1192488960,0,3
11-04 12:21:30,1649701290.614,1.386,1.197,97.417,0,0,0,0,458463,439576,587554816,14872539136,14393344,1192488960,0,0
11-04 12:21:31,1649701291.614,1.629,1.378,96.992,0,0,0,0,458121,438888,587481088,14872612864,14393344,1192488960,0,0
11-04 12:21:32,1649701292.614,1.387,1.009,97.604,0,0,0,0,453275,435059,587509760,14872584192,14393344,1192488960,0,0
11-04 12:21:33,1649701293.614,1.199,1.199,97.603,0,0,0,0,458744,438864,587751424,14872342528,14393344,1192488960,0,0
11-04 12:21:34,1649701294.614,1.816,1.252,96.493,0.438,0,0,2801664,453772,437112,587169792,14872915968,14401536,1192488960,0,347
11-04 12:21:35,1649701295.614,1.514,0.883,97.603,0,0,0,0,451763,432957,588029952,14872055808,14401536,1192488960,0,0
11-04 12:21:36,1649701296.614,1.893,1.009,97.098,0,0,0,0,463910,443911,587354112,14872731648,14401536,1192488960,0,0
11-04 12:21:37,1649701297.614,1.880,1.190,96.930,0,0,0,0,460007,441830,587542528,14872543232,14401536,1192488960,0,0
11-04 12:21:38,1649701298.614,2.246,1.185,96.569,0,0,0,0,452519,436627,587599872,14872485888,14401536,1192488960,0,0
11-04 12:21:39,1649701299.614,1.508,1.194,97.172,0.126,0,0,53248,450665,430654,587665408,14872412160,14409728,1192488960,0,4
11-04 12:21:40,1649701300.614,1.262,1.073,97.666,0,0,0,0,454452,435800,587534336,14872543232,14409728,1192488960,0,0
11-04 12:21:41,1649701301.614,1.694,1.192,97.114,0,0,0,0,456025,438148,586428416,14873649152,14409728,1192488960,0,0
11-04 12:21:42,1649701302.614,1.758,1.067,97.175,0,0,0,0,447318,432352,586985472,14873092096,14409728,1192488960,0,0
11-04 12:21:43,1649701303.614,1.568,1.255,97.177,0,0,0,0,451175,431732,587431936,14872645632,14409728,1192488960,0,0
11-04 12:21:44,1649701304.613,1.444,1.444,96.987,0.126,0,0,61440,452336,435504,586350592,14873718784,14417920,1192488960,0,5
11-04 12:21:45,1649701305.614,1.073,1.262,97.666,0,0,0,0,450943,429910,587431936,14872633344,14417920,1192493056,0,0
11-04 12:21:46,1649701306.614,2.256,1.441,96.303,0,0,0,0,466466,450145,587161600,14872903680,14417920,1192493056,0,0
11-04 12:21:47,1649701307.614,1.499,1.874,96.627,0,0,0,0,460917,442457,588201984,14871863296,14417920,1192493056,0,0
11-04 12:21:48,1649701308.614,1.507,1.318,97.175,0,0,0,0,18268428,437646,587370496,14872694784,14417920,1192493056,0,0
11-04 12:21:49,1649701309.614,1.571,0.880,97.360,0.189,0,0,110592,25021637,315664,587276288,14872780800,14426112,1192493056,0,18
11-04 12:21:50,1649701310.614,0.505,0.632,98.863,0,0,0,0,24787981,82600,586190848,14873866240,14426112,1192493056,0,0
11-04 12:21:51,1649701311.614,0.877,0.940,98.183,0,0,0,0,24780214,81453,584798208,14875258880,14426112,1192493056,0,0
11-04 12:21:52,1649701312.614,0.690,1.004,98.306,0,0,0,0,24781526,81705,585928704,14874128384,14426112,1192493056,0,0
