"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node5.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_3.dstat.csv 1",,,,"Date:","12 Apr 2022 14:11:10 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 14:11:10,1649794270.753,1.392,0.071,98.530,0.007,0,39809.027,2908728.626,0,0,581701632,64134258688,68071424,2501840896,2.876,6.483
12-04 14:11:11,1649794271.754,0,0,100,0,0,0,0,29607,31040,580128768,64135815168,68071424,2501877760,0,0
12-04 14:11:12,1649794272.754,0,0.125,99.875,0,0,0,0,30741,31304,580128768,64135815168,68071424,2501877760,0,0
12-04 14:11:13,1649794273.754,0.125,0.063,99.812,0,0,0,0,31398,31900,580128768,64135815168,68071424,2501877760,0,0
12-04 14:11:14,1649794274.754,0.063,0.063,99.875,0,0,0,0,31553,32856,580382720,64135561216,68071424,2501877760,0,0
12-04 14:11:15,1649794275.754,0,0.063,99.937,0,0,0,147456,29948,31304,580378624,64135561216,68079616,2501873664,0,10
12-04 14:11:16,1649794276.754,0.125,0.125,99.750,0,0,0,0,30107,31068,580374528,64135561216,68079616,2501877760,0,0
12-04 14:11:17,1649794277.754,0.063,0.063,99.875,0,0,0,0,31661,31952,580374528,64135561216,68079616,2501877760,0,0
12-04 14:11:18,1649794278.754,0.125,0.063,99.812,0,0,0,0,30002,31152,580374528,64135561216,68079616,2501877760,0,0
12-04 14:11:19,1649794279.754,0.063,0.125,99.812,0,0,0,0,30355,31096,580374528,64135561216,68079616,2501877760,0,0
12-04 14:11:20,1649794280.754,1.562,0.750,97.626,0.062,0,0,827392,34984,37095,583020544,64132902912,68087808,2501881856,0,162
12-04 14:11:21,1649794281.754,0.125,0.063,99.812,0,0,0,0,31293,31734,583348224,64132575232,68087808,2501881856,0,0
12-04 14:11:22,1649794282.754,0.188,0.062,99.750,0,0,0,0,30493,31456,583348224,64132575232,68087808,2501881856,0,0
12-04 14:11:23,1649794283.754,0,0,100,0,0,0,0,30747,31262,583348224,64132575232,68087808,2501881856,0,0
12-04 14:11:24,1649794284.754,0.125,0.063,99.812,0,0,0,0,30623,31830,583348224,64132575232,68087808,2501881856,0,0
12-04 14:11:25,1649794285.754,0,0.125,99.875,0,0,0,679936,30295,31152,583340032,64132583424,68087808,2501881856,0,132
12-04 14:11:26,1649794286.754,0.125,0.125,99.750,0,0,0,106496,31010,32052,583327744,64132583424,68096000,2501885952,0,6
12-04 14:11:27,1649794287.754,0.188,0.062,99.750,0,0,0,0,30129,31248,583327744,64132583424,68096000,2501885952,0,0
12-04 14:11:28,1649794288.754,0.063,0.063,99.875,0,0,0,0,30579,31456,583327744,64132583424,68096000,2501885952,0,0
12-04 14:11:29,1649794289.754,0.063,0.125,99.812,0,0,0,0,30705,31692,583327744,64132583424,68096000,2501885952,0,0
12-04 14:11:30,1649794290.754,0.188,0.125,99.687,0,0,0,0,31767,32821,583835648,64132075520,68096000,2501885952,0,0
12-04 14:11:31,1649794291.754,1.313,0.750,97.936,0,0,0,65536,33368,34594,584646656,64131256320,68104192,2501885952,0,4
12-04 14:11:32,1649794292.754,0.063,0.063,99.875,0,0,0,0,30855,32010,584638464,64131264512,68104192,2501885952,0,0
12-04 14:11:33,1649794293.754,0.063,0.063,99.875,0,0,0,0,30704,31872,584638464,64131264512,68104192,2501885952,0,0
12-04 14:11:34,1649794294.754,0.125,0.063,99.812,0,0,0,0,30696,31550,584638464,64131264512,68104192,2501885952,0,0
12-04 14:11:35,1649794295.754,0.063,0.063,99.875,0,0,0,0,29875,31110,584638464,64131264512,68104192,2501885952,0,0
12-04 14:11:36,1649794296.754,0.063,0.063,99.812,0.063,0,0,32768,30704,31932,584630272,64131264512,68112384,2501885952,0,4
12-04 14:11:37,1649794297.754,0.125,0.063,99.812,0,0,0,0,30518,31664,584630272,64131264512,68112384,2501885952,0,0
12-04 14:11:38,1649794298.754,0.125,0.063,99.812,0,0,0,0,30704,31618,584630272,64131264512,68112384,2501885952,0,0
12-04 14:11:39,1649794299.754,0.063,0.063,99.875,0,0,0,0,31208,31738,584630272,64131264512,68112384,2501885952,0,0
12-04 14:11:40,1649794300.754,0.062,0.188,99.750,0,0,0,0,29951,30750,584630272,64131264512,68112384,2501885952,0,0
12-04 14:11:41,1649794301.754,1.504,0.564,97.932,0,0,0,794624,35618,36901,585064448,64130826240,68120576,2501877760,0,146
12-04 14:11:42,1649794302.754,0.063,0.125,99.812,0,0,0,0,31093,31872,584916992,64130961408,68120576,2501894144,0,0
12-04 14:11:43,1649794303.754,0.187,0.125,99.688,0,0,0,0,30141,31304,584916992,64130961408,68120576,2501894144,0,0
12-04 14:11:44,1649794304.754,0.125,0.063,99.812,0,0,0,0,30512,31544,584916992,64130961408,68120576,2501894144,0,0
12-04 14:11:45,1649794305.754,0.063,0.063,99.875,0,0,0,0,30114,31290,584916992,64130961408,68120576,2501894144,0,0
12-04 14:11:46,1649794306.754,0.125,0.063,99.812,0,0,0,753664,30785,31664,584916992,64130961408,68120576,2501894144,0,138
12-04 14:11:47,1649794307.754,0.063,0.063,99.812,0.063,0,0,65536,29660,31040,584908800,64130961408,68128768,2501894144,0,4
12-04 14:11:48,1649794308.754,0.062,0.188,99.750,0,0,0,0,31018,31710,584908800,64130961408,68128768,2501894144,0,0
12-04 14:11:49,1649794309.754,0.125,0,99.875,0,0,0,0,30579,31498,584908800,64130961408,68128768,2501894144,0,0
12-04 14:11:50,1649794310.754,0.063,0.125,99.812,0,0,0,0,30598,31886,584908800,64130961408,68128768,2501894144,0,0
12-04 14:11:51,1649794311.754,1.251,0.313,98.437,0,0,0,0,34038,34708,590585856,64125284352,68128768,2501898240,0,0
12-04 14:11:52,1649794312.754,0.815,0.313,98.872,0,0,0,65536,31415,33335,584810496,64131035136,68136960,2501894144,0,4
12-04 14:11:53,1649794313.754,0.125,0.125,99.750,0,0,0,0,31161,31550,584810496,64131035136,68136960,2501894144,0,0
12-04 14:11:54,1649794314.754,0.125,0.125,99.750,0,0,0,0,31952,31664,584810496,64131035136,68136960,2501894144,0,0
12-04 14:11:55,1649794315.754,0.063,0.063,99.875,0,0,0,0,31521,32218,584810496,64131035136,68136960,2501894144,0,0
12-04 14:11:56,1649794316.754,0.250,0.125,99.625,0,0,0,671744,30338,31664,584810496,64131035136,68136960,2501894144,0,126
