"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node4.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_3.dstat.csv 1",,,,"Date:","12 Apr 2022 14:11:08 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 14:11:08,1649794268.354,1.778,0.440,97.775,0.007,0,39839.419,2882321.019,0,0,582701056,64131489792,68968448,2502037504,2.866,6.611
12-04 14:11:09,1649794269.355,0,0,100,0,0,0,0,5627,4124,582479872,64131702784,68968448,2502045696,0,0
12-04 14:11:10,1649794270.356,2.693,1.628,95.617,0.063,0,0,237568,26996,27707,587649024,64126521344,68976640,2502053888,0,18
12-04 14:11:11,1649794271.355,1.314,1.252,97.434,0,0,0,0,160583,153500,588152832,64126017536,68976640,2502049792,0,0
12-04 14:11:12,1649794272.355,2.188,1.250,96.562,0,0,0,0,296467,301273,588812288,64125358080,68976640,2502049792,0,0
12-04 14:11:13,1649794273.355,2.244,1.559,96.197,0,0,0,4587520,311589,309811,588517376,64125652992,68976640,2502049792,0,590
12-04 14:11:14,1649794274.355,1.815,1.564,96.621,0,0,0,0,298782,303150,589025280,64125145088,68976640,2502049792,0,0
12-04 14:11:15,1649794275.355,1.694,1.568,96.738,0,0,0,122880,314786,312681,590536704,64123621376,68988928,2502049792,0,6
12-04 14:11:16,1649794276.355,1.578,1.073,97.348,0,0,0,0,310046,312276,589774848,64124383232,68988928,2502049792,0,0
12-04 14:11:17,1649794277.355,2.305,1.620,96.075,0,0,0,0,316799,313885,589815808,64124342272,68988928,2502049792,0,0
12-04 14:11:18,1649794278.355,1.822,1.382,96.796,0,0,0,147456,308992,311037,589721600,64124436480,68988928,2502049792,0,28
12-04 14:11:19,1649794279.356,1.817,1.566,96.617,0,0,0,0,311445,309365,589762560,64124395520,68988928,2502049792,0,0
12-04 14:11:20,1649794280.355,1.999,1.686,96.315,0,0,0,0,308337,308949,590659584,64123498496,68988928,2502049792,0,0
12-04 14:11:21,1649794281.355,1.388,1.388,97.224,0,0,0,98304,308386,306915,590442496,64123711488,68993024,2502049792,0,6
12-04 14:11:22,1649794282.355,2,1.625,96.375,0,0,0,0,314733,315054,590413824,64123740160,68993024,2502049792,0,0
12-04 14:11:23,1649794283.355,2.369,1.621,96.010,0,0,0,0,313289,313405,590626816,64123527168,68993024,2502049792,0,0
12-04 14:11:24,1649794284.355,1.879,1.503,96.619,0,0,0,0,309909,309769,590888960,64123265024,68993024,2502049792,0,0
12-04 14:11:25,1649794285.355,2.304,1.743,95.953,0,0,0,0,310751,311537,591007744,64123146240,68993024,2502049792,0,0
12-04 14:11:26,1649794286.355,2.428,1.557,96.015,0,0,0,0,309522,309194,591142912,64123011072,68993024,2502049792,0,0
12-04 14:11:27,1649794287.355,2.422,1.801,95.714,0.062,0,0,90112,310394,313563,590655488,64123494400,68997120,2502049792,0,6
12-04 14:11:28,1649794288.355,2.249,1.437,96.315,0,0,0,0,313015,311176,590680064,64123469824,68997120,2502049792,0,0
12-04 14:11:29,1649794289.355,2.136,1.068,96.796,0,0,0,0,310263,313336,591052800,64123097088,68997120,2502049792,0,0
12-04 14:11:30,1649794290.355,2.190,1.314,96.496,0,0,0,0,308784,304539,590929920,64123219968,68997120,2502049792,0,0
12-04 14:11:31,1649794291.355,1.939,1.626,96.435,0,0,0,0,305350,305612,591048704,64123101184,68997120,2502049792,0,0
12-04 14:11:32,1649794292.355,1.876,1.689,96.435,0,0,0,0,307525,305016,590794752,64123355136,68997120,2502049792,0,0
12-04 14:11:33,1649794293.355,2.008,1.317,96.675,0,0,0,98304,308315,309091,590405632,64123736064,69005312,2502049792,0,6
12-04 14:11:34,1649794294.355,1.573,1.447,96.979,0,0,0,0,310280,305893,590974976,64123166720,69005312,2502049792,0,0
12-04 14:11:35,1649794295.355,2.065,1.502,96.433,0,0,0,0,305014,304213,590594048,64123547648,69005312,2502049792,0,0
12-04 14:11:36,1649794296.356,1.816,1.691,96.493,0,0,0,0,314163,313094,591228928,64122912768,69005312,2502049792,0,0
12-04 14:11:37,1649794297.355,2.251,1.438,96.310,0,0,0,0,313824,315328,590942208,64123199488,69005312,2502049792,0,0
12-04 14:11:38,1649794298.355,2.060,1.810,96.130,0,0,0,0,318237,318895,591609856,64122531840,69005312,2502049792,0,0
12-04 14:11:39,1649794299.355,2.492,1.433,96.012,0.062,0,0,131072,312881,313104,592273408,64121856000,69013504,2502053888,0,16
12-04 14:11:40,1649794300.355,2.134,1.130,96.736,0,0,0,0,313050,311865,591511552,64122617856,69013504,2502053888,0,0
12-04 14:11:41,1649794301.355,2.113,1.989,95.898,0,0,0,0,304566,305928,592162816,64121966592,69013504,2502053888,0,0
12-04 14:11:42,1649794302.355,1.996,1.809,96.195,0,0,0,0,313831,312749,591409152,64122720256,69013504,2502053888,0,0
12-04 14:11:43,1649794303.355,2.307,1.559,96.135,0,0,0,0,308126,310394,591052800,64123076608,69013504,2502053888,0,0
