"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_2.dstat.csv 1",,,,"Date:","12 Apr 2022 14:11:10 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 14:11:10,1649794270.733,1.399,0.071,98.523,0.007,0,39819.680,2842763.626,0,0,576737280,64138866688,68415488,2501894144,2.877,6.493
12-04 14:11:11,1649794271.734,0.188,0.125,99.687,0,0,0,0,37861,42350,582348800,64133242880,68415488,2501918720,0,0
12-04 14:11:12,1649794272.734,0.125,0.063,99.812,0,0,0,0,38761,39964,582475776,64133115904,68415488,2501918720,0,0
12-04 14:11:13,1649794273.734,0.188,0.063,99.750,0,0,0,0,36740,37650,582729728,64132861952,68415488,2501918720,0,0
12-04 14:11:14,1649794274.734,0.063,0.063,99.875,0,0,0,0,37632,39452,582856704,64132734976,68415488,2501918720,0,0
12-04 14:11:15,1649794275.734,0.063,0.063,99.812,0.063,0,0,139264,36325,38112,582975488,64132608000,68423680,2501918720,0,10
12-04 14:11:16,1649794276.734,0.188,0.063,99.750,0,0,0,0,37936,39560,582975488,64132608000,68423680,2501918720,0,0
12-04 14:11:17,1649794277.734,0,0,100,0,0,0,0,37205,38052,582975488,64132608000,68423680,2501918720,0,0
12-04 14:11:18,1649794278.734,0,0.125,99.875,0,0,0,0,37513,39300,582975488,64132608000,68423680,2501918720,0,0
12-04 14:11:19,1649794279.734,0.125,0.125,99.750,0,0,0,0,37150,38440,582975488,64132608000,68423680,2501918720,0,0
12-04 14:11:20,1649794280.734,1.690,0.563,97.747,0,0,0,835584,41614,44273,586338304,64129245184,68431872,2501910528,0,158
12-04 14:11:21,1649794281.734,0.063,0.125,99.812,0,0,0,0,37516,38426,586018816,64129556480,68431872,2501918720,0,0
12-04 14:11:22,1649794282.734,0.125,0.063,99.812,0,0,0,0,37474,39050,586010624,64129564672,68431872,2501918720,0,0
12-04 14:11:23,1649794283.734,0.374,0.187,99.439,0,0,0,0,37019,38066,586006528,64129564672,68431872,2501922816,0,0
12-04 14:11:24,1649794284.734,0.063,0.063,99.875,0,0,0,0,37639,39466,586133504,64129437696,68431872,2501922816,0,0
12-04 14:11:25,1649794285.734,0.375,0.062,99.563,0,0,0,663552,36897,38246,586133504,64129437696,68431872,2501922816,0,128
12-04 14:11:26,1649794286.734,0.250,0.125,99.625,0,0,0,81920,37812,39452,586125312,64129437696,68440064,2501922816,0,4
12-04 14:11:27,1649794287.734,0.125,0.063,99.812,0,0,0,0,36079,38094,586125312,64129437696,68440064,2501922816,0,0
12-04 14:11:28,1649794288.734,0.125,0.125,99.750,0,0,0,0,38463,39674,586125312,64129437696,68440064,2501922816,0,0
12-04 14:11:29,1649794289.734,0.187,0.125,99.688,0,0,0,0,36433,37872,586252288,64129310720,68440064,2501922816,0,0
12-04 14:11:30,1649794290.734,0.188,0.125,99.687,0,0,0,0,39278,40451,586723328,64128839680,68440064,2501922816,0,0
12-04 14:11:31,1649794291.734,1.565,0.626,97.746,0.063,0,0,655360,39818,42096,587030528,64128524288,68448256,2501922816,0,120
12-04 14:11:32,1649794292.734,0.125,0.187,99.688,0,0,0,0,36871,38510,587014144,64128540672,68448256,2501922816,0,0
12-04 14:11:33,1649794293.734,0.063,0.063,99.875,0,0,0,0,36967,38548,587014144,64128540672,68448256,2501922816,0,0
12-04 14:11:34,1649794294.734,0.250,0.062,99.688,0,0,0,0,37314,38842,587014144,64128540672,68448256,2501922816,0,0
12-04 14:11:35,1649794295.734,0.188,0.063,99.750,0,0,0,0,37035,38870,587014144,64128540672,68448256,2501922816,0,0
12-04 14:11:36,1649794296.734,0.125,0.063,99.812,0,0,0,507904,36730,38454,587001856,64128540672,68456448,2501926912,0,90
12-04 14:11:37,1649794297.734,0.188,0.063,99.750,0,0,0,0,37260,39036,587001856,64128540672,68456448,2501926912,0,0
12-04 14:11:38,1649794298.734,0.125,0.125,99.750,0,0,0,0,37076,38454,587001856,64128540672,68456448,2501926912,0,0
12-04 14:11:39,1649794299.734,0.125,0.125,99.750,0,0,0,0,38212,39276,587001856,64128540672,68456448,2501926912,0,0
12-04 14:11:40,1649794300.734,0.188,0.063,99.750,0,0,0,0,36679,38080,587001856,64128540672,68456448,2501926912,0,0
12-04 14:11:41,1649794301.734,1.564,0.563,97.810,0.063,0,0,671744,42467,44333,587259904,64128270336,68464640,2501931008,0,120
12-04 14:11:42,1649794302.734,0.063,0.125,99.812,0,0,0,0,37239,38454,587411456,64128118784,68464640,2501931008,0,0
12-04 14:11:43,1649794303.734,0.125,0.125,99.750,0,0,0,0,37101,38828,587411456,64128118784,68464640,2501931008,0,0
12-04 14:11:44,1649794304.734,0.063,0.125,99.812,0,0,0,0,37255,38694,587411456,64128118784,68464640,2501931008,0,0
12-04 14:11:45,1649794305.734,0.188,0.125,99.688,0,0,0,0,36723,38528,587411456,64128118784,68464640,2501931008,0,0
12-04 14:11:46,1649794306.734,0.063,0.125,99.812,0,0,0,475136,37289,38708,587411456,64128118784,68464640,2501931008,0,88
12-04 14:11:47,1649794307.734,0.063,0.063,99.875,0,0,0,65536,37034,39064,587403264,64128118784,68472832,2501931008,0,4
12-04 14:11:48,1649794308.734,0.125,0,99.875,0,0,0,0,36857,38482,587399168,64128118784,68472832,2501935104,0,0
12-04 14:11:49,1649794309.734,0.125,0.125,99.750,0,0,0,0,38126,39230,587399168,64128118784,68472832,2501935104,0,0
12-04 14:11:50,1649794310.734,0.125,0.063,99.812,0,0,0,0,36677,38482,587399168,64128118784,68472832,2501935104,0,0
12-04 14:11:51,1649794311.734,1.188,0.562,98.250,0,0,0,0,13545,11857,578146304,64137322496,68472832,2501988352,0,0
12-04 14:11:52,1649794312.734,0.626,0.313,99.061,0,0,0,1015808,2456,1879,573673472,64141770752,68481024,2501976064,0,152
12-04 14:11:53,1649794313.734,0,0.062,99.938,0,0,0,0,2135,66,573665280,64141778944,68481024,2501976064,0,0
12-04 14:11:54,1649794314.734,0.062,0,99.938,0,0,0,0,2754,0,573665280,64141778944,68481024,2501976064,0,0
