"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_2.dstat.csv 1",,,,"Date:","12 Apr 2022 14:11:08 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 14:11:08,1649794268.342,1.900,0.541,97.552,0.007,0,39868.106,2893017.596,0,0,583888896,64118169600,70492160,2510987264,2.882,7.082
12-04 14:11:09,1649794269.343,0,0,100,0,0,0,0,9839,6720,583913472,64118108160,70492160,2510991360,0,0
12-04 14:11:10,1649794270.342,2.323,1.820,95.857,0,0,0,0,23959,24407,589631488,64112386048,70492160,2510995456,0,0
12-04 14:11:11,1649794271.343,1.379,0.940,97.680,0,0,0,0,180803,166888,590106624,64111910912,70492160,2510995456,0,0
12-04 14:11:12,1649794272.343,1.447,1.385,97.105,0.063,0,0,278528,325306,307703,590819328,64111194112,70504448,2510987264,0,16
12-04 14:11:13,1649794273.343,1.633,1.319,97.048,0,0,0,5046272,323654,314341,590405632,64111599616,70504448,2510995456,0,692
12-04 14:11:14,1649794274.343,1.199,1.388,97.413,0,0,0,0,327196,311678,591081472,64110923776,70504448,2510995456,0,0
12-04 14:11:15,1649794275.343,1.142,1.015,97.843,0,0,0,0,335001,325153,591179776,64110825472,70504448,2510995456,0,0
12-04 14:11:16,1649794276.343,1.332,0.951,97.717,0,0,0,0,340276,321994,591458304,64110546944,70504448,2510995456,0,0
12-04 14:11:17,1649794277.343,1.392,1.012,97.596,0,0,0,0,337315,326311,590569472,64111435776,70504448,2510995456,0,0
12-04 14:11:18,1649794278.343,1.700,1.196,97.103,0,0,0,90112,340627,323888,591196160,64110800896,70512640,2510995456,0,6
12-04 14:11:19,1649794279.343,1.762,1.196,97.042,0,0,0,0,331060,321918,590958592,64111038464,70512640,2510995456,0,0
12-04 14:11:20,1649794280.343,1.694,1.568,96.738,0,0,0,0,337764,322399,592125952,64109871104,70512640,2510995456,0,0
12-04 14:11:21,1649794281.343,1.879,1.503,96.619,0,0,0,0,330849,321933,591032320,64110964736,70512640,2510995456,0,0
12-04 14:11:22,1649794282.343,1.573,1.447,96.979,0,0,0,0,342683,325847,592207872,64109789184,70512640,2510995456,0,0
12-04 14:11:23,1649794283.343,1.812,1.750,96.438,0,0,0,0,334114,323284,591581184,64110415872,70512640,2510995456,0,0
12-04 14:11:24,1649794284.343,1.636,1.322,96.979,0.063,0,0,98304,339232,322201,592207872,64109780992,70520832,2510995456,0,6
12-04 14:11:25,1649794285.343,1.510,1.447,97.042,0,0,0,0,334147,323450,592359424,64109629440,70520832,2510995456,0,0
12-04 14:11:26,1649794286.343,2.008,1.255,96.738,0,0,0,0,336074,319206,592228352,64109760512,70520832,2510995456,0,0
12-04 14:11:27,1649794287.343,1.941,1.440,96.619,0,0,0,0,331355,321971,592101376,64109887488,70520832,2510995456,0,0
12-04 14:11:28,1649794288.343,1.514,1.199,97.287,0,0,0,0,339328,321953,592228352,64109760512,70520832,2510995456,0,0
12-04 14:11:29,1649794289.343,1.639,1.135,97.226,0,0,0,0,334861,325225,592101376,64109887488,70520832,2510995456,0,0
12-04 14:11:30,1649794290.343,1.390,1.263,97.347,0,0,0,90112,334411,318965,592347136,64109633536,70529024,2510995456,0,6
12-04 14:11:31,1649794291.343,1.884,1.256,96.859,0,0,0,0,338071,324582,593076224,64108904448,70529024,2510995456,0,0
12-04 14:11:32,1649794292.343,1.264,1.264,97.472,0,0,0,0,333021,321798,592822272,64109158400,70529024,2510995456,0,0
12-04 14:11:33,1649794293.342,1.391,1.201,97.408,0,0,0,0,334861,321298,592441344,64109539328,70529024,2510995456,0,0
12-04 14:11:34,1649794294.343,1.325,1.325,97.350,0,0,0,0,333496,323598,592982016,64108998656,70529024,2510995456,0,0
12-04 14:11:35,1649794295.343,1.639,1.198,97.163,0,0,0,98304,337455,322471,592605184,64109367296,70537216,2510995456,0,6
12-04 14:11:36,1649794296.343,1.515,1.136,97.348,0,0,0,0,338755,327461,592138240,64109834240,70537216,2510995456,0,0
12-04 14:11:37,1649794297.343,1.942,1.504,96.554,0,0,0,0,342785,327016,592830464,64109142016,70537216,2510995456,0,0
12-04 14:11:38,1649794298.343,2.003,1.564,96.433,0,0,0,0,342011,331039,592076800,64109895680,70537216,2510995456,0,0
12-04 14:11:39,1649794299.343,1.882,1.443,96.675,0,0,0,40960,340628,324608,592089088,64109879296,70537216,2510999552,0,10
12-04 14:11:40,1649794300.343,1.448,1.385,97.103,0.063,0,0,106496,336731,325279,591945728,64110014464,70545408,2510999552,0,8
