"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_1.dstat.csv 1",,,,"Date:","12 Apr 2022 14:11:10 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 14:11:10,1649794270.828,1.390,0.068,98.535,0.007,0,39941.536,2860883.132,0,0,588304384,64117821440,68399104,2510962688,2.885,5.929
12-04 14:11:11,1649794271.829,0.250,0.125,99.626,0,0,0,0,37936,40062,588050432,64118071296,68399104,2510966784,0,0
12-04 14:11:12,1649794272.829,0.063,0,99.937,0,0,0,0,36045,36872,588050432,64118071296,68399104,2510966784,0,0
12-04 14:11:13,1649794273.829,0,0.125,99.875,0,0,0,0,38527,39616,588177408,64117944320,68399104,2510966784,0,0
12-04 14:11:14,1649794274.829,0.125,0.063,99.812,0,0,0,0,35976,37480,588177408,64117944320,68399104,2510966784,0,0
12-04 14:11:15,1649794275.829,0.063,0.063,99.875,0,0,0,147456,36998,38818,588423168,64117690368,68407296,2510966784,0,10
12-04 14:11:16,1649794276.829,0.188,0.125,99.688,0,0,0,0,37192,38474,588423168,64117690368,68407296,2510966784,0,0
12-04 14:11:17,1649794277.829,0.063,0.063,99.875,0,0,0,0,38043,38680,588423168,64117690368,68407296,2510966784,0,0
12-04 14:11:18,1649794278.829,0.063,0.063,99.875,0,0,0,0,36027,37870,588423168,64117690368,68407296,2510966784,0,0
12-04 14:11:19,1649794279.829,0.250,0,99.750,0,0,0,0,38055,39218,588423168,64117690368,68407296,2510966784,0,0
12-04 14:11:20,1649794280.829,1.689,0.750,97.498,0.063,0,0,835584,39683,42303,591708160,64114405376,68415488,2510954496,0,166
12-04 14:11:21,1649794281.829,0.125,0,99.875,0,0,0,0,37419,37894,590901248,64115204096,68415488,2510966784,0,0
12-04 14:11:22,1649794282.829,0.063,0.125,99.812,0,0,0,0,37291,39098,590901248,64115204096,68415488,2510966784,0,0
12-04 14:11:23,1649794283.829,0.188,0.125,99.688,0,0,0,0,36174,37152,590893056,64115212288,68415488,2510966784,0,0
12-04 14:11:24,1649794284.829,0.063,0.063,99.875,0,0,0,0,37935,39610,590880768,64115220480,68415488,2510970880,0,0
12-04 14:11:25,1649794285.829,0.063,0.125,99.812,0,0,0,663552,36151,37290,590880768,64115220480,68415488,2510970880,0,134
12-04 14:11:26,1649794286.829,0.063,0.063,99.875,0,0,0,81920,37921,39582,590872576,64115220480,68423680,2510970880,0,4
12-04 14:11:27,1649794287.829,0.063,0.063,99.875,0,0,0,0,35944,37628,590872576,64115220480,68423680,2510970880,0,0
12-04 14:11:28,1649794288.829,0.188,0.063,99.750,0,0,0,0,37996,39250,590872576,64115220480,68423680,2510970880,0,0
12-04 14:11:29,1649794289.829,0,0.063,99.937,0,0,0,0,36491,37838,590872576,64115220480,68423680,2510970880,0,0
12-04 14:11:30,1649794290.829,0.250,0.063,99.687,0,0,0,0,39016,40383,591380480,64114712576,68423680,2510970880,0,0
12-04 14:11:31,1649794291.829,1.564,0.626,97.810,0,0,0,114688,38993,40632,591949824,64114102272,68431872,2510970880,0,16
12-04 14:11:32,1649794292.829,0.063,0.063,99.875,0,0,0,0,36890,38474,591949824,64114102272,68431872,2510970880,0,0
12-04 14:11:33,1649794293.829,0.250,0.187,99.563,0,0,0,0,36797,38452,591949824,64114102272,68431872,2510970880,0,0
12-04 14:11:34,1649794294.829,0.125,0.063,99.812,0,0,0,0,36883,38294,591949824,64114102272,68431872,2510970880,0,0
12-04 14:11:35,1649794295.829,0.188,0.125,99.688,0,0,0,0,36959,38474,591949824,64114102272,68431872,2510970880,0,0
12-04 14:11:36,1649794296.829,0.063,0.063,99.812,0.063,0,0,704512,37015,38590,591941632,64114102272,68440064,2510970880,0,134
12-04 14:11:37,1649794297.829,0.188,0,99.812,0,0,0,0,36810,38314,591937536,64114102272,68440064,2510974976,0,0
12-04 14:11:38,1649794298.829,0.125,0.063,99.812,0,0,0,0,37329,38814,591937536,64114102272,68440064,2510974976,0,0
12-04 14:11:39,1649794299.829,0.188,0.063,99.750,0,0,0,0,37145,38036,591937536,64114102272,68440064,2510974976,0,0
12-04 14:11:40,1649794300.829,0.187,0.250,99.563,0,0,0,0,37042,38238,591937536,64114102272,68440064,2510974976,0,0
12-04 14:11:41,1649794301.829,1.500,0.812,97.688,0,0,0,712704,42085,43645,592834560,64113188864,68448256,2510987264,0,126
12-04 14:11:42,1649794302.829,0.188,0.063,99.750,0,0,0,0,36980,38474,592818176,64113205248,68448256,2510987264,0,0
12-04 14:11:43,1649794303.829,0.374,0.125,99.501,0,0,0,0,36368,37868,592809984,64113213440,68448256,2510987264,0,0
12-04 14:11:44,1649794304.829,0.125,0.125,99.750,0,0,0,0,37412,38860,592809984,64113213440,68448256,2510983168,0,0
12-04 14:11:45,1649794305.829,0.250,0.187,99.563,0,0,0,0,36821,38578,592809984,64113213440,68448256,2510983168,0,0
12-04 14:11:46,1649794306.829,0.188,0.063,99.750,0,0,0,475136,36693,38024,592809984,64113213440,68448256,2510983168,0,96
12-04 14:11:47,1649794307.829,0.187,0.187,99.563,0.062,0,0,65536,36970,38816,592801792,64113213440,68456448,2510983168,0,4
12-04 14:11:48,1649794308.829,0.063,0.188,99.750,0,0,0,0,37237,38228,592801792,64113213440,68456448,2510983168,0,0
12-04 14:11:49,1649794309.829,0.250,0.062,99.688,0,0,0,0,36973,38430,592801792,64113213440,68456448,2510983168,0,0
12-04 14:11:50,1649794310.829,0.063,0.125,99.812,0,0,0,0,37164,38844,592797696,64113213440,68456448,2510987264,0,0
12-04 14:11:51,1649794311.829,1.376,0.500,98.124,0,0,0,638976,15066,13561,586690560,64119267328,68456448,2511044608,0,108
12-04 14:11:52,1649794312.829,0.500,0.313,99.187,0,0,0,114688,2456,1879,580038656,64125911040,68464640,2511032320,0,4
12-04 14:11:53,1649794313.829,0.062,0,99.938,0,0,0,0,2195,66,580030464,64125919232,68464640,2511032320,0,0
12-04 14:11:54,1649794314.829,0,0,100,0,0,0,0,2754,60,580030464,64125919232,68464640,2511032320,0,0
12-04 14:11:55,1649794315.829,0.062,0,99.938,0,0,0,0,1740,0,580030464,64125919232,68464640,2511032320,0,0
12-04 14:11:56,1649794316.829,0,0,100,0,0,0,720896,1140,0,580030464,64125919232,68464640,2511032320,0,140
12-04 14:11:57,1649794317.829,0,0,100,0,0,0,65536,1440,0,580026368,64125919232,68472832,2511028224,0,4
12-04 14:11:58,1649794318.829,0.062,0,99.938,0,0,0,0,1905,0,580022272,64125919232,68472832,2511032320,0,0
12-04 14:11:59,1649794319.829,0,0,100,0,0,0,0,1800,60,580014080,64125927424,68472832,2511032320,0,0
12-04 14:12:00,1649794320.829,0.062,0,99.938,0,0,0,0,1914,0,580014080,64125927424,68472832,2511032320,0,0
12-04 14:12:01,1649794321.829,0,0,100,0,0,0,0,1920,0,580014080,64125927424,68472832,2511032320,0,0
12-04 14:12:02,1649794322.829,1.690,0.626,97.685,0,0,0,49152,5694,4074,580145152,64125796352,68472832,2511040512,0,10
