"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_1.dstat.csv 1",,,,"Date:","12 Apr 2022 14:11:08 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 14:11:08,1649794268.296,6.341,0.548,93.101,0.011,0,41215.373,4556114.313,0,0,623964160,60653117440,113086464,5728956416,3.146,17.465
12-04 14:11:09,1649794269.297,0.062,0.125,99.812,0,0,0,4956160,8615,6914,628838400,60648230912,113086464,5728968704,0,586
12-04 14:11:10,1649794270.297,3.440,2.126,94.434,0,0,0,0,39100,41565,637378560,60639678464,113086464,5728980992,0,0
12-04 14:11:11,1649794271.297,1.327,0.759,97.914,0,0,0,294912,183593,181051,640622592,60636426240,113094656,5728972800,0,18
12-04 14:11:12,1649794272.297,1.574,1.259,97.166,0,0,0,0,310613,315157,641671168,60635377664,113094656,5728972800,0,0
12-04 14:11:13,1649794273.297,1.702,1.135,97.163,0,0,0,0,327598,322405,640802816,60636246016,113094656,5728972800,0,0
12-04 14:11:14,1649794274.297,2.011,1.131,96.857,0,0,0,0,315064,317159,641294336,60635754496,113094656,5728972800,0,0
12-04 14:11:15,1649794275.297,1.759,1.570,96.671,0,0,0,0,334350,332894,642056192,60634992640,113094656,5728972800,0,0
12-04 14:11:16,1649794276.297,1.516,1.200,97.284,0,0,0,0,323489,327418,641945600,60635103232,113094656,5728972800,0,0
12-04 14:11:17,1649794277.297,1.941,1.628,96.431,0,0,0,98304,335167,333660,642945024,60634095616,113102848,5728972800,0,6
12-04 14:11:18,1649794278.297,2.068,1.441,96.491,0,0,0,0,322722,325018,642183168,60634857472,113102848,5728972800,0,0
12-04 14:11:19,1649794279.297,2.008,1.443,96.550,0,0,0,0,328696,327477,642437120,60634603520,113102848,5728972800,0,0
12-04 14:11:20,1649794280.297,2.078,1.259,96.662,0,0,0,0,326569,330093,644612096,60632428544,113102848,5728972800,0,0
12-04 14:11:21,1649794281.297,2.133,1.506,96.361,0,0,0,0,334103,330996,642871296,60634169344,113102848,5728972800,0,0
12-04 14:11:22,1649794282.297,2.129,1.440,96.431,0,0,0,0,326881,327646,642469888,60634570752,113102848,5728972800,0,0
12-04 14:11:23,1649794283.297,2.494,1.496,95.948,0.062,0,0,98304,329478,329013,642367488,60634664960,113111040,5728972800,0,6
12-04 14:11:24,1649794284.297,1.635,1.509,96.855,0,0,0,1212416,322770,324352,643010560,60634021888,113111040,5728972800,0,188
12-04 14:11:25,1649794285.297,2.186,1.562,96.252,0,0,0,0,327345,326383,642703360,60634329088,113111040,5728972800,0,0
12-04 14:11:26,1649794286.297,2.550,1.617,95.833,0,0,0,0,319472,321394,642641920,60634390528,113111040,5728972800,0,0
12-04 14:11:27,1649794287.297,1.516,1.200,97.284,0,0,0,0,325299,325091,642539520,60634492928,113111040,5728972800,0,0
12-04 14:11:28,1649794288.297,1.640,1.136,97.224,0,0,0,0,325949,328436,642457600,60634574848,113111040,5728972800,0,0
12-04 14:11:29,1649794289.297,1.578,1.263,97.159,0,0,0,90112,329047,327108,642449408,60634574848,113119232,5728972800,0,6
12-04 14:11:30,1649794290.297,1.888,1.196,96.916,0,0,0,0,322383,324289,643457024,60633567232,113119232,5728972800,0,0
12-04 14:11:31,1649794291.297,2.382,1.755,95.862,0,0,0,0,337287,338360,643244032,60633780224,113119232,5728972800,0,0
12-04 14:11:32,1649794292.297,1.759,1.508,96.734,0,0,0,0,327074,325578,643530752,60633493504,113119232,5728972800,0,0
12-04 14:11:33,1649794293.297,1.822,1.445,96.734,0,0,0,0,323267,326647,643149824,60633874432,113119232,5728972800,0,0
12-04 14:11:34,1649794294.297,1.883,1.507,96.610,0,0,0,0,327303,327884,643072000,60633952256,113119232,5728972800,0,0
12-04 14:11:35,1649794295.297,2.008,1.380,96.612,0,0,0,98304,321226,325084,643993600,60633022464,113127424,5728972800,0,6
12-04 14:11:36,1649794296.297,2.134,1.318,96.547,0,0,0,0,335476,334206,643403776,60633612288,113127424,5728972800,0,0
12-04 14:11:37,1649794297.297,1.882,1.568,96.550,0,0,0,0,329183,332105,643284992,60633731072,113127424,5728972800,0,0
12-04 14:11:38,1649794298.297,1.449,1.638,96.912,0,0,0,0,336379,335514,644026368,60632985600,113127424,5728976896,0,0
12-04 14:11:39,1649794299.297,1.513,1.387,97.100,0,0,0,0,329048,330567,643518464,60633493504,113127424,5728976896,0,0
12-04 14:11:40,1649794300.297,1.945,1.443,96.550,0.063,0,0,147456,330493,329564,644272128,60632731648,113135616,5728976896,0,14
12-04 14:11:41,1649794301.297,1.584,1.394,97.022,0,0,0,0,329387,331942,645189632,60631814144,113135616,5728976896,0,0
12-04 14:11:42,1649794302.297,1.579,1.200,97.220,0,0,0,0,336307,331969,644923392,60632080384,113135616,5728976896,0,0
12-04 14:11:43,1649794303.297,1.945,1.443,96.612,0,0,0,0,324153,325666,644567040,60632436736,113135616,5728976896,0,0
12-04 14:11:44,1649794304.297,1.574,1.448,96.977,0,0,0,0,330224,328745,644567040,60632436736,113135616,5728976896,0,0
12-04 14:11:45,1649794305.297,1.759,1.508,96.734,0,0,0,770048,327067,329874,644591616,60632403968,113143808,5728976896,0,136
12-04 14:11:46,1649794306.297,1.577,1.199,97.224,0,0,0,0,326711,326196,644866048,60632129536,113143808,5728976896,0,0
12-04 14:11:47,1649794307.297,1.823,1.383,96.794,0,0,0,0,328051,330191,644272128,60632723456,113143808,5728976896,0,0
12-04 14:11:48,1649794308.297,1.702,1.198,97.100,0,0,0,0,333757,333940,644169728,60632825856,113143808,5728976896,0,0
12-04 14:11:49,1649794309.297,1.455,1.202,97.343,0,0,0,0,335241,335476,644218880,60632776704,113143808,5728976896,0,0
12-04 14:11:50,1649794310.297,1.513,1.387,97.037,0.063,0,0,106496,330241,331149,644997120,60631990272,113152000,5728976896,0,8
12-04 14:11:51,1649794311.297,1.512,1.260,97.227,0,0,0,0,266170,264195,643629056,60633358336,113152000,5728976896,0,0
12-04 14:11:52,1649794312.297,1.446,1.069,97.486,0,0,0,0,107895,84258,643747840,60633239552,113152000,5728976896,0,0
12-04 14:11:53,1649794313.297,1.004,1.004,97.992,0,0,0,0,94328,68826,642859008,60634128384,113152000,5728976896,0,0
