"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node19.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_10.dstat.csv 1",,,,"Date:","12 Apr 2022 16:45:47 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:45:47,1649803547.706,0.798,0.038,99.160,0.003,0,22658.491,1604825.309,0,0,576843776,64144740352,63475712,2502414336,1.663,3.882
12-04 16:45:48,1649803548.707,0,0.062,99.938,0,0,0,0,10386,9420,576405504,64145108992,63475712,2502483968,0,0
12-04 16:45:49,1649803549.707,0,0,100,0,0,0,0,13358,12544,576405504,64145108992,63475712,2502483968,0,0
12-04 16:45:50,1649803550.707,0.063,0,99.937,0,0,0,0,10020,9420,576405504,64145108992,63475712,2502483968,0,0
12-04 16:45:51,1649803551.707,0.062,0,99.938,0,0,0,0,13593,12556,576405504,64145108992,63475712,2502483968,0,0
12-04 16:45:52,1649803552.707,0,0,100,0,0,0,0,10566,9408,576532480,64144982016,63475712,2502483968,0,0
12-04 16:45:53,1649803553.707,0,0,100,0,0,0,131072,12852,12384,576524288,64144982016,63483904,2502483968,0,10
12-04 16:45:54,1649803554.707,0.062,0,99.938,0,0,0,0,9606,9604,576524288,64144982016,63483904,2502483968,0,0
12-04 16:45:55,1649803555.707,0,0,100,0,0,0,966656,13353,12360,576524288,64144982016,63483904,2502483968,0,128
12-04 16:45:56,1649803556.707,0,0.063,99.937,0,0,0,0,10647,9616,576651264,64144855040,63483904,2502483968,0,0
12-04 16:45:57,1649803557.707,1.438,0.688,97.874,0,0,0,0,17319,17401,579055616,64142446592,63483904,2502492160,0,0
12-04 16:45:58,1649803558.707,0,0,100,0,0,0,90112,10206,9664,579031040,64142462976,63492096,2502488064,0,6
12-04 16:45:59,1649803559.707,0,0.125,99.875,0,0,0,0,12726,12360,579031040,64142462976,63492096,2502488064,0,0
12-04 16:46:00,1649803560.707,0.063,0,99.937,0,0,0,0,11291,9844,578785280,64142708736,63492096,2502488064,0,0
12-04 16:46:01,1649803561.707,0,0.063,99.937,0,0,0,0,12492,12176,578777088,64142716928,63492096,2502488064,0,0
12-04 16:46:02,1649803562.707,0,0,100,0,0,0,0,10743,9824,578777088,64142716928,63492096,2502488064,0,0
12-04 16:46:03,1649803563.707,0.063,0,99.937,0,0,0,0,12338,11760,578777088,64142716928,63492096,2502488064,0,0
12-04 16:46:04,1649803564.707,0,0,99.937,0.063,0,0,24576,11913,10988,578768896,64142716928,63500288,2502488064,0,4
12-04 16:46:05,1649803565.707,0.125,0,99.875,0,0,0,0,11487,10976,578768896,64142716928,63500288,2502488064,0,0
12-04 16:46:06,1649803566.707,0,0,100,0,0,0,0,11346,11184,578768896,64142716928,63500288,2502488064,0,0
12-04 16:46:07,1649803567.707,0.250,0.313,99.437,0,0,0,0,15604,13820,579682304,64141803520,63500288,2502488064,0,0
12-04 16:46:08,1649803568.707,1.377,0.501,98.123,0,0,0,0,13181,13313,579665920,64141819904,63500288,2502488064,0,0
12-04 16:46:09,1649803569.707,0,0,100,0,0,0,0,11814,10780,579657728,64141828096,63500288,2502488064,0,0
12-04 16:46:10,1649803570.707,0,0.063,99.937,0,0,0,57344,11958,10816,579649536,64141828096,63508480,2502488064,0,4
12-04 16:46:11,1649803571.707,0.062,0.062,99.875,0,0,0,0,12027,10792,579649536,64141828096,63508480,2502488064,0,0
12-04 16:46:12,1649803572.707,0,0,100,0,0,0,0,12467,10976,579649536,64141828096,63508480,2502488064,0,0
12-04 16:46:13,1649803573.707,0.063,0,99.937,0,0,0,0,11586,11048,579649536,64141828096,63508480,2502488064,0,0
12-04 16:46:14,1649803574.707,0,0.063,99.937,0,0,0,0,11574,11184,579649536,64141828096,63508480,2502488064,0,0
12-04 16:46:15,1649803575.707,0,0,99.937,0.063,0,0,24576,11424,10608,579649536,64141828096,63516672,2502479872,0,4
12-04 16:46:16,1649803576.707,0,0.063,99.937,0,0,0,3219456,11880,11442,579313664,64142155776,63516672,2502488064,0,476
12-04 16:46:17,1649803577.707,0.063,0,99.937,0,0,0,0,10986,10670,579313664,64142155776,63516672,2502488064,0,0
12-04 16:46:18,1649803578.707,1.441,0.564,97.995,0,0,0,0,16113,16273,579284992,64142176256,63516672,2502488064,0,0
12-04 16:46:19,1649803579.707,0,0,100,0,0,0,0,11787,10854,579268608,64142192640,63516672,2502488064,0,0
12-04 16:46:20,1649803580.707,0,0,100,0,0,0,0,11232,11000,579264512,64142192640,63516672,2502492160,0,0
12-04 16:46:21,1649803581.707,0,0,100,0,0,0,98304,11526,10596,579256320,64142192640,63524864,2502492160,0,10
12-04 16:46:22,1649803582.707,0.062,0.062,99.875,0,0,0,0,12600,11588,579256320,64142192640,63524864,2502492160,0,0
12-04 16:46:23,1649803583.707,0,0,100,0,0,0,0,11265,10008,579256320,64142192640,63524864,2502492160,0,0
12-04 16:46:24,1649803584.707,0.062,0,99.938,0,0,0,0,12540,11846,579256320,64142192640,63524864,2502492160,0,0
12-04 16:46:25,1649803585.707,0,0,100,0,0,0,0,10206,10008,579256320,64142192640,63524864,2502492160,0,0
12-04 16:46:26,1649803586.707,0,0,100,0,0,0,24576,12093,11380,579248128,64142200832,63533056,2502483968,0,4
12-04 16:46:27,1649803587.707,0,0,100,0,0,0,0,10566,10204,579239936,64142200832,63533056,2502492160,0,0
12-04 16:46:28,1649803588.707,1.189,0.375,98.436,0,0,0,0,16320,14714,584343552,64137093120,63533056,2502500352,0,0
12-04 16:46:29,1649803589.707,0.313,0.125,99.562,0,0,0,0,12122,12279,580276224,64141144064,63533056,2502496256,0,0
12-04 16:46:30,1649803590.707,0,0,100,0,0,0,0,11940,11564,580259840,64141160448,63533056,2502496256,0,0
12-04 16:46:31,1649803591.707,0,0.063,99.937,0,0,0,24576,11100,10584,580259840,64141160448,63533056,2502496256,0,6
12-04 16:46:32,1649803592.707,0,0.062,99.875,0.062,0,0,81920,12477,11282,580251648,64141160448,63541248,2502496256,0,6
12-04 16:46:33,1649803593.707,0,0,100,0,0,0,0,12006,10852,580251648,64141160448,63541248,2502496256,0,0
12-04 16:46:34,1649803594.707,0,0,100,0,0,0,0,11706,11380,580251648,64141160448,63541248,2502496256,0,0
12-04 16:46:35,1649803595.707,0,0,100,0,0,0,0,11820,10388,580251648,64141160448,63541248,2502496256,0,0
12-04 16:46:36,1649803596.707,0.063,0,99.937,0,0,0,0,11859,11380,580251648,64141160448,63541248,2502496256,0,0
12-04 16:46:37,1649803597.707,0,0,100,0,0,0,0,11580,10976,580251648,64141160448,63541248,2502496256,0,0
12-04 16:46:38,1649803598.707,0,0,100,0,0,0,24576,11526,10988,580243456,64141160448,63549440,2502496256,0,4
12-04 16:46:39,1649803599.707,1.565,0.501,97.934,0,0,0,0,16223,15809,580403200,64140992512,63549440,2502496256,0,0
12-04 16:46:40,1649803600.707,0,0,100,0,0,0,0,11760,11172,580395008,64141000704,63549440,2502496256,0,0
