"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node18.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_10.dstat.csv 1",,,,"Date:","12 Apr 2022 16:45:45 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:45:45,1649803545.200,0.803,0.038,99.156,0.003,0,22694.729,1620241.039,0,0,577368064,64134012928,62894080,2511261696,1.668,3.725
12-04 16:45:46,1649803546.201,0.125,0.063,99.812,0,0,0,0,23891,19418,578908160,64132321280,62894080,2511331328,0,0
12-04 16:45:47,1649803547.201,5.091,5.845,89.063,0,0,286720,0,113826,111996,594251776,64116772864,62902272,2511470592,14,0
12-04 16:45:48,1649803548.201,3.533,4.164,92.303,0,0,0,0,439020,423906,596623360,64114401280,62902272,2511470592,0,0
12-04 16:45:49,1649803549.201,7.329,5.093,87.578,0,0,0,0,1203622,1316738,598749184,64112275456,62902272,2511470592,0,0
12-04 16:45:50,1649803550.201,6.211,5.521,88.269,0,0,0,212992,1244813,1360844,599367680,64111648768,62910464,2511470592,0,14
12-04 16:45:51,1649803551.201,7.040,5.607,87.352,0,0,0,0,1256735,1385203,599433216,64111583232,62910464,2511470592,0,0
12-04 16:45:52,1649803552.201,8.677,6.129,85.194,0,0,0,0,1280791,1379513,600350720,64110665728,62910464,2511470592,0,0
12-04 16:45:53,1649803553.201,8.037,5.767,86.196,0,0,0,0,1246405,1355529,600350720,64110665728,62910464,2511470592,0,0
12-04 16:45:54,1649803554.201,7.492,5.697,86.811,0,0,0,0,1275947,1391110,600469504,64110538752,62910464,2511470592,0,0
12-04 16:45:55,1649803555.201,6.621,5.934,87.445,0,0,0,0,1303351,1411005,600629248,64110379008,62910464,2511470592,0,0
12-04 16:45:56,1649803556.201,6.274,5.897,87.829,0,0,0,90112,1286692,1395244,600641536,64110358528,62918656,2511470592,0,6
12-04 16:45:57,1649803557.201,6.821,5.569,87.610,0,0,0,0,1300759,1424025,600903680,64110092288,62918656,2511474688,0,0
12-04 16:45:58,1649803558.201,6.654,6.032,87.313,0,0,0,0,1284524,1398375,601268224,64109727744,62918656,2511474688,0,0
12-04 16:45:59,1649803559.201,7.006,6.076,86.919,0,0,0,0,1294939,1407360,601321472,64109674496,62918656,2511474688,0,0
12-04 16:46:00,1649803560.201,6.916,5.794,87.290,0,0,0,0,1286466,1394030,600739840,64110256128,62918656,2511474688,0,0
12-04 16:46:01,1649803561.201,7.072,5.893,86.973,0.062,0,0,98304,1295293,1405859,601378816,64109608960,62926848,2511474688,0,8
12-04 16:46:02,1649803562.201,6.026,6.026,87.947,0,0,0,0,1270578,1375148,602001408,64108986368,62926848,2511474688,0,0
12-04 16:46:03,1649803563.201,6.804,5.743,87.453,0,0,0,0,1279792,1402320,602124288,64108863488,62926848,2511474688,0,0
12-04 16:46:04,1649803564.201,6.961,6.029,87.011,0,0,0,860160,1291009,1391078,602603520,64108384256,62926848,2511474688,0,92
12-04 16:46:05,1649803565.201,7.014,6.207,86.778,0,0,0,0,1320974,1446350,601985024,64109002752,62926848,2511474688,0,0
12-04 16:46:06,1649803566.201,6.097,5.971,87.932,0,0,0,0,1312968,1412615,602460160,64108527616,62926848,2511474688,0,0
12-04 16:46:07,1649803567.201,6.692,5.879,87.430,0,0,0,106496,1300444,1430603,602841088,64108138496,62935040,2511474688,0,6
12-04 16:46:08,1649803568.201,7.125,6.134,86.741,0,0,0,0,1324880,1422559,603099136,64107880448,62935040,2511474688,0,0
12-04 16:46:09,1649803569.201,7.240,6.064,86.696,0,0,0,0,1304555,1433575,602783744,64108195840,62935040,2511474688,0,0
12-04 16:46:10,1649803570.201,7.134,6.017,86.849,0,0,0,5365760,1293211,1386853,602284032,64108695552,62935040,2511474688,0,608
12-04 16:46:11,1649803571.201,6.482,5.412,88.106,0,0,0,0,1295678,1414137,602632192,64108347392,62935040,2511474688,0,0
12-04 16:46:12,1649803572.201,6.470,5.339,88.128,0.063,0,0,81920,1290819,1385317,602902528,64108068864,62943232,2511474688,0,4
12-04 16:46:13,1649803573.201,6.696,6.634,86.671,0,0,0,0,1324203,1451188,602370048,64108601344,62943232,2511474688,0,0
12-04 16:46:14,1649803574.201,6.970,5.912,87.119,0,0,0,0,1289722,1385395,601882624,64109088768,62943232,2511474688,0,0
12-04 16:46:15,1649803575.201,8.186,6.353,85.461,0,0,0,0,1302098,1428238,602234880,64108732416,62943232,2511478784,0,0
12-04 16:46:16,1649803576.201,7.192,5.316,87.492,0,0,0,0,1288483,1383754,601894912,64109072384,62943232,2511478784,0,0
12-04 16:46:17,1649803577.201,7.801,6.204,85.995,0,0,0,106496,1309808,1423865,602644480,64108310528,62951424,2511482880,0,8
12-04 16:46:18,1649803578.201,7.170,5.611,87.219,0,0,0,0,1310051,1422828,602726400,64108228608,62951424,2511482880,0,0
12-04 16:46:19,1649803579.201,8.160,6.012,85.828,0,0,0,0,1309968,1426124,602742784,64108212224,62951424,2511482880,0,0
12-04 16:46:20,1649803580.201,6.832,6.273,86.894,0,0,0,0,1295604,1405592,602607616,64108347392,62951424,2511482880,0,0
12-04 16:46:21,1649803581.201,7.664,6.622,85.714,0,0,0,0,1307038,1422300,603033600,64107921408,62951424,2511482880,0,0
12-04 16:46:22,1649803582.201,7.103,6.547,86.288,0.062,0,0,106496,1313253,1416451,602996736,64107950080,62959616,2511482880,0,8
12-04 16:46:23,1649803583.201,7.134,6.017,86.849,0,0,0,0,1308162,1428127,602583040,64108363776,62959616,2511482880,0,0
12-04 16:46:24,1649803584.201,7.266,6.650,86.084,0,0,0,0,1297515,1397997,602603520,64108343296,62959616,2511482880,0,0
12-04 16:46:25,1649803585.201,7.829,6.789,85.382,0,0,0,0,1328853,1447751,602828800,64108118016,62959616,2511482880,0,0
12-04 16:46:26,1649803586.201,7.430,6.006,86.563,0,0,0,0,1292009,1400448,602599424,64108347392,62959616,2511482880,0,0
12-04 16:46:27,1649803587.201,7.587,5.410,87.002,0,0,0,90112,1299772,1416682,602755072,64108183552,62967808,2511482880,0,6
12-04 16:46:28,1649803588.201,8.151,6.752,85.097,0,0,0,0,1291887,1393344,602537984,64108400640,62967808,2511482880,0,0
12-04 16:46:29,1649803589.201,7.373,6.010,86.617,0,0,0,0,1313169,1431420,602656768,64108281856,62967808,2511482880,0,0
12-04 16:46:30,1649803590.201,7.019,6.149,86.832,0,0,0,0,1314581,1432477,602755072,64108183552,62967808,2511482880,0,0
