"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node16.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_9.dstat.csv 1",,,,"Date:","12 Apr 2022 16:45:45 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:45:45,1649803545.164,0.829,0.060,99.108,0.004,0,22664.724,1625603.015,0,0,579514368,64139554816,64032768,2502696960,1.663,3.520
12-04 16:45:46,1649803546.165,0.188,0,99.812,0,0,0,0,32043,30124,580341760,64138657792,64032768,2502701056,0,0
12-04 16:45:47,1649803547.165,5.290,6.234,88.476,0,0,0,4833280,113837,115760,595513344,64123400192,64040960,2502709248,0,628
12-04 16:45:48,1649803548.165,4.511,4.323,91.165,0,0,0,0,546034,570746,597491712,64121389056,64040960,2502705152,0,0
12-04 16:45:49,1649803549.164,6.176,5.365,88.459,0,0,0,0,1085873,1035173,599597056,64119283712,64040960,2502705152,0,0
12-04 16:45:50,1649803550.165,6.935,5.449,87.616,0,0,0,0,1124807,1069148,599998464,64118882304,64040960,2502705152,0,0
12-04 16:45:51,1649803551.165,6.671,5.237,88.092,0,0,0,0,1133882,1087494,600637440,64118243328,64040960,2502705152,0,0
12-04 16:45:52,1649803552.165,7.403,5.429,87.168,0,0,0,98304,1136639,1084822,601894912,64116977664,64049152,2502705152,0,4
12-04 16:45:53,1649803553.165,7.569,5.477,86.954,0,0,0,0,1150559,1096011,601133056,64117739520,64049152,2502705152,0,0
12-04 16:45:54,1649803554.165,6.262,5.322,88.416,0,0,0,0,1151364,1121755,601722880,64117149696,64049152,2502705152,0,0
12-04 16:45:55,1649803555.165,6.831,6.277,86.892,0,0,0,0,1158944,1115818,602558464,64116314112,64049152,2502705152,0,0
12-04 16:45:56,1649803556.165,7.531,5.432,87.037,0,0,0,0,1164566,1127542,602304512,64116568064,64049152,2502705152,0,0
12-04 16:45:57,1649803557.165,5.772,5.834,88.331,0.063,0,0,106496,1160823,1110707,601833472,64117026816,64057344,2502709248,0,8
12-04 16:45:58,1649803558.165,6.658,5.538,87.803,0,0,0,0,1138200,1077202,602492928,64116367360,64057344,2502709248,0,0
12-04 16:45:59,1649803559.165,6.692,4.941,88.368,0,0,0,0,1151888,1101986,602124288,64116736000,64057344,2502709248,0,0
12-04 16:46:00,1649803560.165,7.222,5.741,87.037,0,0,0,0,1155456,1105945,602505216,64116355072,64057344,2502709248,0,0
12-04 16:46:01,1649803561.165,6.301,5.739,87.960,0,0,0,0,1156879,1109767,602628096,64116232192,64057344,2502709248,0,0
12-04 16:46:02,1649803562.165,6.359,5.611,88.030,0,0,0,98304,1125561,1072404,603402240,64115449856,64065536,2502709248,0,8
12-04 16:46:03,1649803563.165,6.074,5.698,88.228,0,0,0,0,1157193,1113114,603381760,64115470336,64065536,2502709248,0,0
12-04 16:46:04,1649803564.165,6.804,5.243,87.953,0,0,0,0,1164532,1128175,601976832,64116875264,64065536,2502709248,0,0
12-04 16:46:05,1649803565.165,6.542,5.670,87.788,0,0,0,0,1173695,1131280,602382336,64116469760,64065536,2502709248,0,0
12-04 16:46:06,1649803566.165,6.576,5.893,87.531,0,0,0,0,1155825,1101286,602361856,64116490240,64065536,2502709248,0,0
12-04 16:46:07,1649803567.165,6.576,6.017,87.407,0,0,0,106496,1159104,1107710,603226112,64115617792,64073728,2502709248,0,6
12-04 16:46:08,1649803568.165,6.980,5.991,87.029,0,0,0,0,1164582,1111586,602759168,64116043776,64073728,2502709248,0,0
12-04 16:46:09,1649803569.165,7.346,5.679,86.975,0,0,0,0,1168531,1117006,603238400,64115564544,64073728,2502709248,0,0
12-04 16:46:10,1649803570.165,7.607,5.828,86.564,0,0,0,0,1163957,1124243,602689536,64116113408,64073728,2502709248,0,0
12-04 16:46:11,1649803571.165,6.242,6.489,87.268,0,0,0,0,1149970,1080474,601149440,64117653504,64073728,2502709248,0,0
12-04 16:46:12,1649803572.165,7.412,5.497,87.091,0,0,0,0,1145264,1094210,602107904,64116695040,64073728,2502709248,0,0
12-04 16:46:13,1649803573.165,6.331,6.083,87.523,0.062,0,0,90112,1186051,1139937,601812992,64116981760,64081920,2502709248,0,6
12-04 16:46:14,1649803574.165,6.914,5.926,87.160,0,0,0,0,1136250,1057650,601858048,64116936704,64081920,2502709248,0,0
12-04 16:46:15,1649803575.165,7.279,5.799,86.922,0,0,0,0,1166575,1118963,601804800,64116985856,64081920,2502713344,0,0
12-04 16:46:16,1649803576.165,6.753,5.824,87.423,0,0,0,0,1145269,1095905,601219072,64117571584,64081920,2502713344,0,0
12-04 16:46:17,1649803577.165,6.894,5.652,87.453,0,0,0,0,1173349,1124998,601280512,64117506048,64081920,2502717440,0,0
12-04 16:46:18,1649803578.165,6.935,5.759,87.307,0,0,0,811008,1160996,1122575,601305088,64117481472,64081920,2502717440,0,150
12-04 16:46:19,1649803579.165,7.178,5.569,87.252,0,0,0,98304,1165051,1117263,601784320,64116994048,64090112,2502717440,0,8
12-04 16:46:20,1649803580.165,6.663,5.417,87.920,0,0,0,0,1158036,1113397,601694208,64117084160,64090112,2502717440,0,0
12-04 16:46:21,1649803581.165,6.879,4.941,88.180,0,0,0,0,1155935,1106237,602202112,64116576256,64090112,2502717440,0,0
12-04 16:46:22,1649803582.165,7.641,6.296,86.064,0,0,0,0,1182288,1133504,602480640,64116297728,64090112,2502717440,0,0
12-04 16:46:23,1649803583.165,6.600,5.604,87.796,0,0,0,40960,1159966,1097456,602247168,64116531200,64090112,2502717440,0,8
12-04 16:46:24,1649803584.165,7.222,5.741,87.037,0,0,0,0,1157602,1120696,601550848,64117227520,64090112,2502717440,0,0
12-04 16:46:25,1649803585.165,6.359,5.798,87.781,0.062,0,0,81920,1182396,1130208,602161152,64116609024,64098304,2502717440,0,6
12-04 16:46:26,1649803586.165,7.033,5.984,86.983,0,0,0,0,1158732,1114613,601583616,64117186560,64098304,2502717440,0,0
12-04 16:46:27,1649803587.165,6.215,5.273,88.512,0,0,0,0,1152750,1109362,602333184,64116436992,64098304,2502717440,0,0
12-04 16:46:28,1649803588.165,5.723,5.346,88.931,0,0,0,0,1139318,1085384,601960448,64116809728,64098304,2502717440,0,0
12-04 16:46:29,1649803589.165,6.663,5.542,87.796,0,0,0,0,1175876,1129764,602222592,64116547584,64098304,2502717440,0,0
12-04 16:46:30,1649803590.165,6.312,5.438,88.250,0,0,0,0,1161481,1100134,602144768,64116625408,64098304,2502717440,0,0
12-04 16:46:31,1649803591.165,6.450,5.260,88.291,0,0,0,81920,1165319,1119671,601939968,64116822016,64106496,2502717440,0,6
12-04 16:46:32,1649803592.165,6.654,6.470,86.876,0,0,0,0,1171291,1119658,602439680,64116322304,64106496,2502717440,0,0
12-04 16:46:33,1649803593.165,7.160,5.802,87.037,0,0,0,0,1162287,1101299,602312704,64116449280,64106496,2502717440,0,0
12-04 16:46:34,1649803594.165,6.600,5.542,87.858,0,0,0,0,1162679,1113843,602034176,64116727808,64106496,2502717440,0,0
