"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node21.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_11.dstat.csv 1",,,,"Date:","12 Apr 2022 16:45:47 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:45:47,1649803547.952,0.805,0.039,99.152,0.003,0,22701.814,1621420.506,0,0,585961472,64127008768,62341120,2511446016,1.660,3.529
12-04 16:45:48,1649803548.953,0.187,0.062,99.750,0,0,0,0,16722,15300,585920512,64126980096,62341120,2511515648,0,0
12-04 16:45:49,1649803549.953,0.125,0,99.875,0,0,0,0,13724,12936,585920512,64126980096,62341120,2511515648,0,0
12-04 16:45:50,1649803550.953,0.062,0.125,99.813,0,0,0,0,15720,15484,586047488,64126853120,62341120,2511515648,0,0
12-04 16:45:51,1649803551.953,0,0.063,99.937,0,0,0,0,16179,15508,586047488,64126853120,62341120,2511515648,0,0
12-04 16:45:52,1649803552.953,0.063,0,99.937,0,0,0,0,16386,15692,586047488,64126853120,62341120,2511515648,0,0
12-04 16:45:53,1649803553.953,0.062,0.062,99.813,0.062,0,0,163840,15300,15104,586039296,64126853120,62349312,2511515648,0,14
12-04 16:45:54,1649803554.953,0,0,100,0,0,0,0,15186,15496,586039296,64126853120,62349312,2511515648,0,0
12-04 16:45:55,1649803555.953,0,0.063,99.937,0,0,0,0,15759,15116,586039296,64126853120,62349312,2511515648,0,0
12-04 16:45:56,1649803556.953,0.063,0.063,99.875,0,0,0,0,16119,15496,586039296,64126853120,62349312,2511515648,0,0
12-04 16:45:57,1649803557.953,1.877,0.438,97.685,0,0,0,0,18997,18900,590000128,64122892288,62349312,2511519744,0,0
12-04 16:45:58,1649803558.953,0.125,0.063,99.812,0,0,0,0,16388,16765,589025280,64123858944,62349312,2511515648,0,0
12-04 16:45:59,1649803559.953,0.063,0.063,99.875,0,0,0,3219456,14292,14184,589017088,64123858944,62357504,2511515648,0,508
12-04 16:46:00,1649803560.953,0.063,0.063,99.875,0,0,0,0,15987,15288,589017088,64123858944,62357504,2511515648,0,0
12-04 16:46:01,1649803561.953,0.063,0,99.937,0,0,0,0,14886,14736,588754944,64124121088,62357504,2511515648,0,0
12-04 16:46:02,1649803562.953,0,0.125,99.875,0,0,0,0,15723,15104,588754944,64124121088,62357504,2511515648,0,0
12-04 16:46:03,1649803563.953,0.063,0,99.937,0,0,0,0,15126,15104,588754944,64124121088,62357504,2511515648,0,0
12-04 16:46:04,1649803564.953,0.062,0.187,99.750,0,0,0,24576,16445,15680,588746752,64124121088,62365696,2511515648,0,4
12-04 16:46:05,1649803565.953,0.062,0.062,99.875,0,0,0,0,15147,15104,588746752,64124121088,62365696,2511515648,0,0
12-04 16:46:06,1649803566.953,0,0,100,0,0,0,0,15372,15496,588746752,64124121088,62365696,2511515648,0,0
12-04 16:46:07,1649803567.953,0.062,0.125,99.812,0,0,0,0,16413,15312,588746752,64124121088,62365696,2511515648,0,0
12-04 16:46:08,1649803568.953,1.438,0.625,97.936,0,0,0,0,20586,20525,589291520,64123576320,62365696,2511515648,0,0
12-04 16:46:09,1649803569.953,0.063,0,99.937,0,0,0,0,15960,15312,589283328,64123584512,62365696,2511515648,0,0
12-04 16:46:10,1649803570.953,0,0,99.937,0.063,0,0,57344,15912,15300,589266944,64123592704,62373888,2511515648,0,4
12-04 16:46:11,1649803571.953,0.062,0.062,99.875,0,0,0,0,15447,14516,589258752,64123600896,62373888,2511515648,0,0
12-04 16:46:12,1649803572.953,0.062,0.062,99.875,0,0,0,0,16557,15170,589258752,64123600896,62373888,2511515648,0,0
12-04 16:46:13,1649803573.953,0,0,100,0,0,0,0,15672,15692,589258752,64123600896,62373888,2511515648,0,0
12-04 16:46:14,1649803574.953,0.062,0.062,99.875,0,0,0,0,15426,15360,589258752,64123600896,62373888,2511515648,0,0
12-04 16:46:15,1649803575.953,0.063,0.063,99.875,0,0,0,24576,16086,15496,589250560,64123600896,62382080,2511515648,0,4
12-04 16:46:16,1649803576.953,0,0.063,99.937,0,0,0,0,15480,15484,589250560,64123600896,62382080,2511515648,0,0
12-04 16:46:17,1649803577.953,0.062,0.187,99.750,0,0,0,0,15498,15396,589246464,64123600896,62382080,2511519744,0,0
12-04 16:46:18,1649803578.953,1.564,0.563,97.872,0,0,0,0,19359,19949,589934592,64122904576,62382080,2511519744,0,0
12-04 16:46:19,1649803579.953,0.063,0,99.937,0,0,0,0,16047,15312,590172160,64122662912,62382080,2511523840,0,0
12-04 16:46:20,1649803580.953,0.062,0.062,99.812,0.062,0,0,958464,14718,14736,590172160,64122662912,62390272,2511515648,0,170
12-04 16:46:21,1649803581.953,0.063,0,99.937,0,0,0,0,14904,14528,590163968,64122662912,62390272,2511523840,0,0
12-04 16:46:22,1649803582.953,0,0.063,99.937,0,0,0,0,16380,15680,590163968,64122662912,62390272,2511523840,0,0
12-04 16:46:23,1649803583.953,0.063,0,99.937,0,0,0,0,16299,15372,590163968,64122662912,62390272,2511523840,0,0
12-04 16:46:24,1649803584.953,0,0.063,99.937,0,0,0,0,16080,15692,590163968,64122662912,62390272,2511523840,0,0
12-04 16:46:25,1649803585.953,0.063,0,99.937,0,0,0,24576,15152,15176,590163968,64122662912,62398464,2511515648,0,4
12-04 16:46:26,1649803586.953,0,0.063,99.937,0,0,0,0,15807,15496,590155776,64122662912,62398464,2511523840,0,0
12-04 16:46:27,1649803587.953,0,0.063,99.937,0,0,0,0,14892,14992,590155776,64122662912,62398464,2511523840,0,0
12-04 16:46:28,1649803588.953,0.625,0.250,99.124,0,0,0,0,19926,18438,596267008,64116551680,62398464,2511527936,0,0
12-04 16:46:29,1649803589.953,1.001,0.188,98.811,0,0,0,0,16616,17043,590172160,64122646528,62398464,2511523840,0,0
12-04 16:46:30,1649803590.953,0.063,0,99.937,0,0,0,696320,15186,15300,590073856,64122744832,62398464,2511523840,0,130
12-04 16:46:31,1649803591.953,0.063,0.063,99.875,0,0,0,57344,15906,15680,590065664,64122744832,62406656,2511523840,0,4
12-04 16:46:32,1649803592.953,0,0,100,0,0,0,0,16431,15496,590057472,64122753024,62406656,2511523840,0,0
12-04 16:46:33,1649803593.953,0,0.063,99.937,0,0,0,0,15672,15116,590057472,64122753024,62406656,2511523840,0,0
12-04 16:46:34,1649803594.953,0,0,100,0,0,0,0,15360,15312,590057472,64122753024,62406656,2511523840,0,0
12-04 16:46:35,1649803595.953,0,0.063,99.937,0,0,0,0,16692,15680,590057472,64122753024,62406656,2511523840,0,0
12-04 16:46:36,1649803596.953,0,0,99.937,0.063,0,0,24576,15153,15128,590049280,64122753024,62414848,2511523840,0,4
12-04 16:46:37,1649803597.953,0,0.063,99.937,0,0,0,0,15792,15300,590049280,64122753024,62414848,2511523840,0,0
12-04 16:46:38,1649803598.953,0,0.063,99.937,0,0,0,0,15672,15508,590049280,64122753024,62414848,2511523840,0,0
12-04 16:46:39,1649803599.953,1.504,0.501,97.995,0,0,0,0,20435,20629,590368768,64122433536,62414848,2511532032,0,0
12-04 16:46:40,1649803600.953,0.125,0,99.875,0,0,0,712704,15812,15505,590360576,64122441728,62414848,2511523840,0,132
12-04 16:46:41,1649803601.953,0,0.063,99.937,0,0,0,90112,15990,15714,589975552,64122822656,62423040,2511519744,0,6
12-04 16:46:42,1649803602.953,0,0,100,0,0,0,0,15726,15496,589967360,64122822656,62423040,2511527936,0,0
12-04 16:46:43,1649803603.953,0,0.063,99.937,0,0,0,0,16194,15496,589959168,64122830848,62423040,2511527936,0,0
12-04 16:46:44,1649803604.953,0,0,100,0,0,0,0,16622,15680,589959168,64122830848,62423040,2511527936,0,0
12-04 16:46:45,1649803605.953,0,0,100,0,0,0,0,15306,15692,589959168,64122830848,62423040,2511527936,0,0
12-04 16:46:46,1649803606.953,0,0.062,99.875,0.062,0,0,376832,16233,15496,589959168,64122830848,62431232,2511519744,0,74
12-04 16:46:47,1649803607.953,0.063,0,99.937,0,0,0,0,15906,15300,589950976,64122830848,62431232,2511527936,0,0
12-04 16:46:48,1649803608.953,0.062,0.062,99.875,0,0,0,0,15540,15680,589946880,64122830848,62431232,2511532032,0,0
12-04 16:46:49,1649803609.953,1.503,0.564,97.934,0,0,0,0,19998,18920,595378176,64117399552,62431232,2511532032,0,0
12-04 16:46:50,1649803610.953,0.438,0.063,99.499,0,0,0,0,15374,16027,590290944,64122486784,62431232,2511532032,0,0
12-04 16:46:51,1649803611.953,0.063,0,99.937,0,0,0,696320,14832,14896,590290944,64122486784,62431232,2511532032,0,130
12-04 16:46:52,1649803612.953,0.062,0.062,99.875,0,0,0,81920,15552,15716,590282752,64122486784,62439424,2511532032,0,6
12-04 16:46:53,1649803613.953,0,0.063,99.937,0,0,0,0,16310,15692,590282752,64122486784,62439424,2511532032,0,0
12-04 16:46:54,1649803614.953,0,0,100,0,0,0,0,15564,15582,590282752,64122486784,62439424,2511532032,0,0
12-04 16:46:55,1649803615.953,0.063,0,99.937,0,0,0,0,16707,15680,590278656,64122486784,62439424,2511536128,0,0
12-04 16:46:56,1649803616.953,0,0.063,99.937,0,0,0,0,15900,15680,590278656,64122486784,62439424,2511536128,0,0
12-04 16:46:57,1649803617.953,0.063,0.063,99.875,0,0,0,49152,15552,15312,590270464,64122486784,62447616,2511536128,0,6
12-04 16:46:58,1649803618.953,0.063,0,99.937,0,0,0,0,15138,14944,590270464,64122486784,62447616,2511536128,0,0
12-04 16:46:59,1649803619.953,0,0.125,99.875,0,0,0,0,15486,15496,590270464,64122486784,62447616,2511536128,0,0
12-04 16:47:00,1649803620.953,1.504,0.501,97.995,0,0,0,0,20100,20341,591040512,64121716736,62447616,2511536128,0,0
12-04 16:47:01,1649803621.953,0,0,100,0,0,0,729088,16673,15570,591040512,64121716736,62447616,2511536128,0,134
12-04 16:47:02,1649803622.953,0.188,0.125,99.625,0.062,0,0,57344,18066,18553,591691776,64121057280,62455808,2511536128,0,4
12-04 16:47:03,1649803623.953,0,0,100,0,0,0,0,16182,16088,591032320,64121716736,62455808,2511536128,0,0
12-04 16:47:04,1649803624.953,0,0.063,99.937,0,0,0,0,15600,15116,591032320,64121716736,62455808,2511536128,0,0
12-04 16:47:05,1649803625.953,0.062,0.062,99.875,0,0,0,0,15651,15116,591032320,64121716736,62455808,2511536128,0,0
12-04 16:47:06,1649803626.953,0,0,100,0,0,0,0,16080,15692,591032320,64121716736,62455808,2511536128,0,0
12-04 16:47:07,1649803627.953,0,0.063,99.937,0,0,0,65536,15584,15692,591032320,64121716736,62464000,2511527936,0,4
12-04 16:47:08,1649803628.953,0,0,100,0,0,0,0,15945,15116,591024128,64121716736,62464000,2511536128,0,0
12-04 16:47:09,1649803629.953,0,0.063,99.937,0,0,0,0,16107,15680,591024128,64121716736,62464000,2511536128,0,0
12-04 16:47:10,1649803630.953,1.625,0.562,97.812,0,0,0,0,19767,20513,591380480,64121360384,62464000,2511532032,0,0
12-04 16:47:11,1649803631.953,0.063,0.063,99.875,0,0,0,827392,16293,15692,591106048,64121626624,62464000,2511536128,0,154
12-04 16:47:12,1649803632.953,0.125,0.062,99.813,0,0,0,57344,15616,15562,591097856,64121626624,62472192,2511536128,0,4
12-04 16:47:13,1649803633.953,0,0.063,99.937,0,0,0,0,17121,15680,591097856,64121626624,62472192,2511536128,0,0
12-04 16:47:14,1649803634.953,0.062,0.125,99.813,0,0,0,0,15807,15300,591097856,64121626624,62472192,2511536128,0,0
12-04 16:47:15,1649803635.953,0,0.125,99.875,0,0,0,0,15912,15300,591097856,64121626624,62472192,2511536128,0,0
12-04 16:47:16,1649803636.953,0.063,0,99.937,0,0,0,0,15846,15496,591097856,64121626624,62472192,2511536128,0,0
12-04 16:47:17,1649803637.953,0.062,0.125,99.813,0,0,0,0,15480,15680,591097856,64121626624,62472192,2511536128,0,0
12-04 16:47:18,1649803638.953,0.062,0.062,99.812,0.062,0,0,24576,15498,15520,591089664,64121626624,62480384,2511536128,0,4
12-04 16:47:19,1649803639.953,0,0,100,0,0,0,0,15738,15532,591085568,64121626624,62480384,2511540224,0,0
12-04 16:47:20,1649803640.953,0.125,0.125,99.750,0,0,0,0,17973,17695,592109568,64120602624,62480384,2511540224,0,0
12-04 16:47:21,1649803641.953,1.439,0.688,97.872,0,0,0,0,18144,18410,591654912,64121040896,62480384,2511540224,0,0
12-04 16:47:22,1649803642.953,0.062,0.062,99.875,0,0,0,696320,16233,15556,591654912,64121040896,62480384,2511540224,0,130
12-04 16:47:23,1649803643.953,0.125,0.125,99.750,0,0,0,81920,15732,15336,591646720,64121040896,62488576,2511540224,0,6
12-04 16:47:24,1649803644.953,0,0.063,99.937,0,0,0,0,14124,13964,591646720,64121040896,62488576,2511540224,0,0
12-04 16:47:25,1649803645.953,0.062,0.125,99.813,0,0,0,0,15270,14944,591638528,64121049088,62488576,2511540224,0,0
12-04 16:47:26,1649803646.953,0,0.063,99.937,0,0,0,0,16359,15508,591638528,64121049088,62488576,2511540224,0,0
