"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node20.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_11.dstat.csv 1",,,,"Date:","12 Apr 2022 16:45:45 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:45:45,1649803545.121,0.793,0.039,99.165,0.003,0,22746.769,1614612.908,0,0,577245184,64134856704,63098880,2511831040,1.664,3.832
12-04 16:45:46,1649803546.121,0,0,100,0,0,0,0,17947,14740,577970176,64134062080,63098880,2511900672,0,0
12-04 16:45:47,1649803547.122,4.915,6.238,88.847,0,0,286720,0,125782,126271,596692992,64115032064,63111168,2512052224,14,0
12-04 16:45:48,1649803548.122,3.350,4.172,92.478,0,0,0,0,394398,416754,596336640,64115355648,63111168,2512039936,0,0
12-04 16:45:49,1649803549.121,4.583,5.538,89.879,0,0,0,0,1181571,1306308,599506944,64112185344,63111168,2512039936,0,0
12-04 16:45:50,1649803550.122,4.990,4.926,90.083,0,0,0,0,1285708,1426806,599732224,64111960064,63111168,2512039936,0,0
12-04 16:45:51,1649803551.122,5.186,4.930,89.885,0,0,0,163840,1282292,1450189,599674880,64112009216,63119360,2512039936,0,12
12-04 16:45:52,1649803552.122,4.741,5.317,89.942,0,0,0,0,1297372,1448441,600682496,64111001600,63119360,2512039936,0,0
12-04 16:45:53,1649803553.122,6.020,5.196,88.783,0,0,0,0,1300272,1470131,601313280,64110370816,63119360,2512039936,0,0
12-04 16:45:54,1649803554.122,4.280,4.734,90.986,0,0,0,0,1279549,1431479,600858624,64110825472,63119360,2512039936,0,0
12-04 16:45:55,1649803555.121,4.903,4.839,90.258,0,0,0,0,1317220,1468498,601858048,64109826048,63119360,2512039936,0,0
12-04 16:45:56,1649803556.121,4.881,4.945,90.173,0,0,0,0,1296991,1439838,601051136,64110632960,63119360,2512039936,0,0
12-04 16:45:57,1649803557.121,4.887,5.016,90.032,0.064,0,0,90112,1313802,1469371,601710592,64109961216,63127552,2512044032,0,6
12-04 16:45:58,1649803558.122,4.639,5.026,90.335,0,0,0,0,1285740,1437203,601587712,64110084096,63127552,2512044032,0,0
12-04 16:45:59,1649803559.122,4.974,4.587,90.439,0,0,0,0,1318119,1468445,601907200,64109764608,63127552,2512044032,0,0
12-04 16:46:00,1649803560.122,5,5.128,89.872,0,0,0,0,1303908,1454285,601370624,64110301184,63127552,2512044032,0,0
12-04 16:46:01,1649803561.122,4.286,4.805,90.909,0,0,0,0,1313441,1478422,601866240,64109805568,63127552,2512044032,0,0
12-04 16:46:02,1649803562.121,4.971,4.584,90.445,0,0,0,106496,1283280,1422842,602845184,64108818432,63135744,2512044032,0,8
12-04 16:46:03,1649803563.122,5.071,5.071,89.859,0,0,0,0,1298488,1459974,602783744,64108879872,63135744,2512044032,0,0
12-04 16:46:04,1649803564.122,5.003,5.324,89.673,0,0,0,999424,1326876,1473640,602857472,64108806144,63135744,2512044032,0,112
12-04 16:46:05,1649803565.122,5.246,5.310,89.443,0,0,0,0,1326272,1492772,603283456,64108380160,63135744,2512044032,0,0
12-04 16:46:06,1649803566.122,4.734,4.410,90.856,0,0,0,0,1325416,1476983,602771456,64108892160,63135744,2512044032,0,0
12-04 16:46:07,1649803567.122,4.367,5.780,89.852,0,0,0,114688,1298133,1455939,603037696,64108617728,63143936,2512044032,0,6
12-04 16:46:08,1649803568.121,5.612,5.230,89.158,0,0,0,0,1325403,1472547,603099136,64108556288,63143936,2512044032,0,0
12-04 16:46:09,1649803569.122,4.613,4.288,91.098,0,0,0,0,1324800,1488659,603099136,64108556288,63143936,2512044032,0,0
12-04 16:46:10,1649803570.122,5.006,5.199,89.795,0,0,0,0,1306271,1442641,603172864,64108482560,63143936,2512044032,0,0
12-04 16:46:11,1649803571.122,4.774,4.968,90.258,0,0,0,0,1313441,1472298,603295744,64108359680,63143936,2512044032,0,0
12-04 16:46:12,1649803572.121,5.071,5.006,89.859,0.064,0,0,98304,1312872,1469621,602624000,64109023232,63152128,2512044032,0,6
