"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node3.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_2.dstat.csv 1",,,,"Date:","12 Apr 2022 15:03:39 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 15:03:39,1649797419.555,1.132,0.059,98.803,0.006,0,32002.689,2313178.236,0,0,582037504,64131620864,69812224,2502332416,2.312,5.826
12-04 15:03:40,1649797420.556,0,0.062,99.938,0,0,0,0,37325,37082,581734400,64131915776,69812224,2502340608,0,0
12-04 15:03:41,1649797421.556,0,0,100,0,0,0,0,38901,40186,581734400,64131915776,69812224,2502340608,0,0
12-04 15:03:42,1649797422.556,0.063,0.063,99.875,0,0,0,0,36362,37276,581861376,64131788800,69812224,2502340608,0,0
12-04 15:03:43,1649797423.556,0.063,0.063,99.875,0,0,0,0,38587,40436,581988352,64131661824,69812224,2502340608,0,0
12-04 15:03:44,1649797424.556,0,0.063,99.937,0,0,0,163840,36494,37276,582488064,64131153920,69820416,2502340608,0,12
12-04 15:03:45,1649797425.556,0.250,0.062,99.688,0,0,0,0,39131,40530,582488064,64131153920,69820416,2502340608,0,0
12-04 15:03:46,1649797426.556,0.125,0.187,99.688,0,0,0,0,35755,37248,582488064,64131153920,69820416,2502340608,0,0
12-04 15:03:47,1649797427.556,0,0,100,0,0,0,0,38209,39812,582488064,64131153920,69820416,2502340608,0,0
12-04 15:03:48,1649797428.556,0.063,0.188,99.750,0,0,0,0,35342,37262,582488064,64131153920,69820416,2502340608,0,0
12-04 15:03:49,1649797429.556,1.753,0.626,97.621,0,0,0,0,42388,42990,592130048,64121511936,69820416,2502352896,0,0
12-04 15:03:50,1649797430.556,0.188,0.125,99.687,0,0,0,40960,37376,39589,585572352,64128061440,69828608,2502340608,0,4
12-04 15:03:51,1649797431.556,0.063,0.063,99.875,0,0,0,0,38621,40006,585572352,64128061440,69828608,2502340608,0,0
12-04 15:03:52,1649797432.556,0,0,100,0,0,0,0,35339,37180,585568256,64128061440,69828608,2502344704,0,0
12-04 15:03:53,1649797433.556,0.063,0.125,99.812,0,0,0,0,38476,40034,585568256,64128061440,69828608,2502344704,0,0
12-04 15:03:54,1649797434.556,0,0,100,0,0,0,0,35896,37304,585568256,64128061440,69828608,2502344704,0,0
12-04 15:03:55,1649797435.556,0,0,99.937,0.063,0,0,81920,38200,40040,585560064,64128061440,69836800,2502344704,0,6
12-04 15:03:56,1649797436.556,0.125,0,99.875,0,0,0,0,36302,37290,585302016,64128315392,69836800,2502348800,0,0
12-04 15:03:57,1649797437.556,0.063,0.063,99.875,0,0,0,0,38931,40006,585293824,64128323584,69836800,2502348800,0,0
12-04 15:03:58,1649797438.556,0,0,100,0,0,0,0,36727,37512,585293824,64128323584,69836800,2502348800,0,0
12-04 15:03:59,1649797439.556,0,0,100,0,0,0,0,38745,39646,585293824,64128323584,69836800,2502348800,0,0
12-04 15:04:00,1649797440.556,1.566,0.627,97.807,0,0,0,65536,41426,43109,586096640,64127512576,69844992,2502348800,0,6
12-04 15:04:01,1649797441.556,0,0,100,0,0,0,0,37752,39438,586096640,64127512576,69844992,2502348800,0,0
12-04 15:04:02,1649797442.556,0.125,0.063,99.812,0,0,0,0,39215,39575,586608640,64127000576,69844992,2502348800,0,0
12-04 15:04:03,1649797443.556,0,0.063,99.937,0,0,0,0,38240,39050,586608640,64127000576,69844992,2502348800,0,0
12-04 15:04:04,1649797444.556,0.125,0.125,99.750,0,0,0,0,36883,38802,586608640,64127000576,69844992,2502348800,0,0
12-04 15:04:05,1649797445.556,0.063,0,99.937,0,0,0,81920,38042,39254,586596352,64127000576,69853184,2502352896,0,6
12-04 15:04:06,1649797446.556,0.125,0.063,99.812,0,0,0,0,37576,38475,586301440,64127295488,69853184,2502352896,0,0
12-04 15:04:07,1649797447.556,0,0.063,99.937,0,0,0,0,38379,39424,586301440,64127295488,69853184,2502352896,0,0
12-04 15:04:08,1649797448.556,0.063,0.063,99.875,0,0,0,0,37116,38486,586293248,64127303680,69853184,2502352896,0,0
12-04 15:04:09,1649797449.556,0.063,0,99.937,0,0,0,1204224,38042,39272,586293248,64127303680,69853184,2502352896,0,242
12-04 15:04:10,1649797450.556,1.504,0.627,97.807,0.063,0,0,57344,40773,43123,586375168,64127213568,69861376,2502356992,0,4
12-04 15:04:11,1649797451.556,0,0.063,99.937,0,0,0,0,36865,38288,586293248,64127291392,69861376,2502356992,0,0
12-04 15:04:12,1649797452.556,0.063,0,99.937,0,0,0,0,37274,39064,586293248,64127291392,69861376,2502356992,0,0
12-04 15:04:13,1649797453.556,0,0.125,99.875,0,0,0,0,38232,39409,586293248,64127291392,69861376,2502356992,0,0
12-04 15:04:14,1649797454.556,0.125,0,99.875,0,0,0,40960,36949,38828,586293248,64127291392,69861376,2502356992,0,8
12-04 15:04:15,1649797455.556,0,0,100,0,0,0,81920,37375,38426,586293248,64127291392,69869568,2502348800,0,6
12-04 15:04:16,1649797456.556,0.125,0,99.875,0,0,0,0,37387,39258,586539008,64127037440,69869568,2502356992,0,0
12-04 15:04:17,1649797457.556,0.063,0.063,99.875,0,0,0,0,36485,37858,586534912,64127037440,69869568,2502361088,0,0
12-04 15:04:18,1649797458.556,0,0.063,99.937,0,0,0,0,38543,39826,586534912,64127037440,69869568,2502361088,0,0
12-04 15:04:19,1649797459.556,0,0,100,0,0,0,0,36670,38392,586534912,64127037440,69869568,2502361088,0,0
12-04 15:04:20,1649797460.556,0.626,0.125,99.249,0,0,0,0,10290,8324,574246912,64139276288,69869568,2502402048,0,0
12-04 15:04:21,1649797461.556,1.501,0.563,97.936,0,0,0,212992,4546,2758,574099456,64139415552,69877760,2502402048,0,8
12-04 15:04:22,1649797462.556,0,0,100,0,0,0,0,2007,0,574091264,64139423744,69877760,2502402048,0,0
12-04 15:04:23,1649797463.556,0.062,0,99.938,0,0,0,0,1020,0,574091264,64139423744,69877760,2502402048,0,0
12-04 15:04:24,1649797464.556,0,0,100,0,0,0,0,2154,0,574091264,64139423744,69877760,2502402048,0,0
12-04 15:04:25,1649797465.556,0,0,100,0,0,0,0,2214,0,574091264,64139423744,69877760,2502402048,0,0
12-04 15:04:26,1649797466.556,0,0,99.938,0.062,0,0,57344,2100,0,574087168,64139423744,69885952,2502397952,0,4
12-04 15:04:27,1649797467.556,0,0,100,0,0,0,0,1680,0,574083072,64139423744,69885952,2502402048,0,0
12-04 15:04:28,1649797468.556,0,0,100,0,0,0,0,2685,0,574083072,64139423744,69885952,2502402048,0,0
12-04 15:04:29,1649797469.556,0,0,100,0,0,0,0,1500,0,574083072,64139423744,69885952,2502402048,0,0
12-04 15:04:30,1649797470.556,0,0,100,0,0,0,8192,2636,0,574083072,64139423744,69885952,2502402048,0,2
12-04 15:04:31,1649797471.556,0.813,0.313,98.874,0,0,0,0,5764,3216,576659456,64136847360,69885952,2502406144,0,0
