"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node9.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_5.dstat.csv 1",,,,"Date:","12 Apr 2022 15:41:08 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 15:41:08,1649799668.205,0.973,0.046,98.978,0.004,0,27447.001,1938716.277,0,0,578420736,64144302080,62267392,2502213632,2.013,4.431
12-04 15:41:09,1649799669.206,0,0,100,0,0,0,0,19695,18532,577581056,64145051648,62267392,2502295552,0,0
12-04 15:41:10,1649799670.206,0.063,0,99.937,0,0,0,0,15601,15548,577581056,64145051648,62267392,2502295552,0,0
12-04 15:41:11,1649799671.206,0.063,0,99.937,0,0,0,0,19671,18624,577581056,64145051648,62267392,2502295552,0,0
12-04 15:41:12,1649799672.206,0,0,100,0,0,0,0,19133,18500,577581056,64145051648,62267392,2502295552,0,0
12-04 15:41:13,1649799673.206,0,0.063,99.937,0,0,0,0,18595,18084,577581056,64145051648,62267392,2502295552,0,0
12-04 15:41:14,1649799674.206,0,0,100,0,0,0,139264,18985,18490,577699840,64144924672,62275584,2502295552,0,10
12-04 15:41:15,1649799675.206,0.062,0.062,99.875,0,0,0,0,18444,18638,577699840,64144924672,62275584,2502295552,0,0
12-04 15:41:16,1649799676.206,0.063,0,99.937,0,0,0,0,18279,18444,577699840,64144924672,62275584,2502295552,0,0
12-04 15:41:17,1649799677.206,0.063,0.063,99.875,0,0,0,0,18091,18726,577953792,64144670720,62275584,2502295552,0,0
12-04 15:41:18,1649799678.206,1.503,0.689,97.808,0,0,0,2826240,22955,23291,580100096,64142516224,62275584,2502295552,0,428
12-04 15:41:19,1649799679.206,0,0,99.937,0.063,0,0,57344,16490,16324,579809280,64142798848,62283776,2502295552,0,4
12-04 15:41:20,1649799680.206,0.063,0,99.937,0,0,0,0,18099,18458,579809280,64142798848,62283776,2502295552,0,0
12-04 15:41:21,1649799681.206,0.063,0,99.937,0,0,0,0,18514,18070,579809280,64142798848,62283776,2502295552,0,0
12-04 15:41:22,1649799682.206,0,0.063,99.937,0,0,0,0,18391,18698,579809280,64142798848,62283776,2502295552,0,0
12-04 15:41:23,1649799683.206,0,0.063,99.937,0,0,0,0,18494,18324,579809280,64142798848,62283776,2502295552,0,0
12-04 15:41:24,1649799684.206,0.063,0,99.937,0,0,0,49152,18804,18624,579809280,64142798848,62291968,2502287360,0,4
12-04 15:41:25,1649799685.206,0.125,0,99.875,0,0,0,0,18513,18320,579801088,64142798848,62291968,2502295552,0,0
12-04 15:41:26,1649799686.206,0.063,0,99.937,0,0,0,0,19048,18458,579801088,64142798848,62291968,2502295552,0,0
12-04 15:41:27,1649799687.206,0,0.063,99.937,0,0,0,0,17680,16892,579801088,64142798848,62291968,2502295552,0,0
12-04 15:41:28,1649799688.206,0,0,100,0,0,0,638976,18444,18444,579801088,64142798848,62291968,2502295552,0,84
12-04 15:41:29,1649799689.206,1.811,0.562,97.626,0,0,0,40960,22853,23471,581206016,64141369344,62300160,2502291456,0,4
12-04 15:41:30,1649799690.206,0,0.063,99.937,0,0,0,0,18341,18070,581296128,64141279232,62300160,2502295552,0,0
12-04 15:41:31,1649799691.206,0.063,0.063,99.875,0,0,0,0,18573,18250,581296128,64141279232,62300160,2502295552,0,0
12-04 15:41:32,1649799692.206,0.063,0,99.937,0,0,0,0,18332,18444,581296128,64141279232,62300160,2502295552,0,0
12-04 15:41:33,1649799693.206,0.125,0.062,99.812,0,0,0,24576,19105,18430,581296128,64141279232,62300160,2502295552,0,2
12-04 15:41:34,1649799694.206,0.187,0.062,99.750,0,0,0,57344,19083,17756,581292032,64141279232,62308352,2502291456,0,4
12-04 15:41:35,1649799695.206,0.125,0.125,99.750,0,0,0,0,18337,17904,581283840,64141279232,62308352,2502299648,0,0
12-04 15:41:36,1649799696.206,0.125,0.062,99.813,0,0,0,0,17227,17280,581283840,64141279232,62308352,2502299648,0,0
12-04 15:41:37,1649799697.206,0.062,0.187,99.750,0,0,0,0,18453,18264,581283840,64141279232,62308352,2502299648,0,0
12-04 15:41:38,1649799698.206,0.062,0.125,99.813,0,0,0,0,17837,17682,581283840,64141279232,62308352,2502299648,0,0
12-04 15:41:39,1649799699.206,1.501,0.500,97.936,0.063,0,0,57344,23334,23291,582262784,64140300288,62316544,2502287360,0,6
12-04 15:41:40,1649799700.206,0.187,0.062,99.750,0,0,0,0,18669,18126,581541888,64140988416,62316544,2502307840,0,0
12-04 15:41:41,1649799701.206,0.125,0.062,99.812,0,0,0,0,17742,17862,581533696,64140996608,62316544,2502307840,0,0
12-04 15:41:42,1649799702.206,0.125,0,99.875,0,0,0,0,19046,18444,581525504,64141004800,62316544,2502307840,0,0
12-04 15:41:43,1649799703.206,0.063,0.063,99.875,0,0,0,32768,18325,18430,581525504,64141004800,62316544,2502307840,0,6
12-04 15:41:44,1649799704.206,0.063,0.063,99.875,0,0,0,106496,18028,17848,581517312,64141004800,62324736,2502307840,0,8
12-04 15:41:45,1649799705.206,0.062,0.125,99.813,0,0,0,0,18579,18458,581517312,64141004800,62324736,2502307840,0,0
12-04 15:41:46,1649799706.206,0.063,0.063,99.875,0,0,0,0,18491,18250,581517312,64141004800,62324736,2502307840,0,0
12-04 15:41:47,1649799707.206,0.125,0.062,99.812,0,0,0,0,18069,17876,581517312,64141004800,62324736,2502307840,0,0
12-04 15:41:48,1649799708.206,0.125,0.062,99.813,0,0,0,974848,18267,18116,581517312,64141004800,62324736,2502307840,0,188
12-04 15:41:49,1649799709.206,0.875,0.312,98.750,0.062,0,0,24576,21792,21413,585494528,64137027584,62332928,2502299648,0,4
12-04 15:41:50,1649799710.206,0.750,0.500,98.751,0,0,0,0,18877,19768,582086656,64140402688,62332928,2502307840,0,0
12-04 15:41:51,1649799711.206,0.063,0.063,99.875,0,0,0,0,19119,18504,582086656,64140402688,62332928,2502307840,0,0
12-04 15:41:52,1649799712.206,0,0.063,99.937,0,0,0,0,18218,17876,582086656,64140402688,62332928,2502307840,0,0
12-04 15:41:53,1649799713.206,0.125,0.062,99.812,0,0,0,0,18361,18158,582078464,64140410880,62332928,2502307840,0,0
12-04 15:41:54,1649799714.206,0.063,0.063,99.875,0,0,0,57344,18007,18330,582070272,64140410880,62341120,2502307840,0,4
12-04 15:41:55,1649799715.206,0.125,0.062,99.812,0,0,0,0,18370,18084,582070272,64140410880,62341120,2502307840,0,0
12-04 15:41:56,1649799716.206,0.125,0.062,99.813,0,0,0,0,18445,18430,582070272,64140410880,62341120,2502307840,0,0
12-04 15:41:57,1649799717.206,0.187,0.187,99.626,0,0,0,0,18813,18250,582070272,64140410880,62341120,2502307840,0,0
12-04 15:41:58,1649799718.206,0.062,0.062,99.875,0,0,0,0,17960,17876,582070272,64140410880,62341120,2502307840,0,0
12-04 15:41:59,1649799719.206,0.063,0.063,99.875,0,0,0,0,18162,17862,582070272,64140410880,62341120,2502307840,0,0
12-04 15:42:00,1649799720.206,1.438,0.812,97.750,0,0,0,24576,23033,23485,582553600,64139911168,62349312,2502307840,0,4
12-04 15:42:01,1649799721.206,0.062,0.125,99.812,0,0,0,0,19415,18084,582246400,64140210176,62349312,2502307840,0,0
12-04 15:42:02,1649799722.206,0.063,0,99.937,0,0,0,0,17694,18264,582234112,64140218368,62349312,2502311936,0,0
12-04 15:42:03,1649799723.206,0.063,0,99.937,0,0,0,0,19020,18250,582234112,64140218368,62349312,2502311936,0,0
12-04 15:42:04,1649799724.206,0,0.063,99.937,0,0,0,24576,18428,18084,582234112,64140218368,62349312,2502311936,0,6
12-04 15:42:05,1649799725.206,0.062,0.125,99.750,0.062,0,0,81920,17404,17724,582234112,64140218368,62357504,2502303744,0,6
12-04 15:42:06,1649799726.206,0.125,0.125,99.750,0,0,0,0,18375,18098,582225920,64140218368,62357504,2502311936,0,0
12-04 15:42:07,1649799727.206,0.063,0.063,99.875,0,0,0,0,18681,18264,582225920,64140218368,62357504,2502311936,0,0
12-04 15:42:08,1649799728.206,0.187,0.125,99.688,0,0,0,0,18479,18444,582225920,64140218368,62357504,2502311936,0,0
12-04 15:42:09,1649799729.206,0.125,0,99.875,0,0,0,892928,18101,18084,582225920,64140218368,62357504,2502311936,0,174
12-04 15:42:10,1649799730.206,1.691,0.626,97.683,0,0,0,24576,22551,21233,589684736,64132751360,62365696,2502311936,0,4
12-04 15:42:11,1649799731.206,0.188,0.125,99.687,0,0,0,0,19109,20114,583163904,64139272192,62365696,2502311936,0,0
12-04 15:42:12,1649799732.206,0.062,0.062,99.875,0,0,0,0,18032,18444,583163904,64139272192,62365696,2502311936,0,0
12-04 15:42:13,1649799733.206,0.063,0.063,99.875,0,0,0,0,17924,17488,583163904,64139272192,62365696,2502311936,0,0
12-04 15:42:14,1649799734.206,0.125,0.062,99.812,0,0,0,0,19887,18652,583163904,64139272192,62365696,2502311936,0,0
12-04 15:42:15,1649799735.206,0.125,0.062,99.750,0.062,0,0,81920,18392,18430,583143424,64139280384,62373888,2502316032,0,6
12-04 15:42:16,1649799736.206,0.063,0,99.937,0,0,0,0,18675,18098,583143424,64139280384,62373888,2502316032,0,0
12-04 15:42:17,1649799737.206,0.062,0.125,99.812,0,0,0,0,18521,18056,583143424,64139280384,62373888,2502316032,0,0
12-04 15:42:18,1649799738.206,0.062,0.062,99.875,0,0,0,0,18152,18504,583143424,64139280384,62373888,2502316032,0,0
12-04 15:42:19,1649799739.206,0,0.063,99.937,0,0,0,0,18086,18250,583143424,64139280384,62373888,2502316032,0,0
12-04 15:42:20,1649799740.206,0.063,0,99.937,0,0,0,24576,18452,18430,583143424,64139280384,62382080,2502307840,0,4
12-04 15:42:21,1649799741.206,1.627,0.626,97.747,0,0,0,0,23030,22695,583417856,64138997760,62382080,2502320128,0,0
12-04 15:42:22,1649799742.206,0.063,0,99.937,0,0,0,0,18500,18472,583012352,64139403264,62382080,2502316032,0,0
12-04 15:42:23,1649799743.206,0.187,0.125,99.688,0,0,0,0,19366,18486,583012352,64139403264,62382080,2502316032,0,0
12-04 15:42:24,1649799744.206,0.125,0,99.875,0,0,0,0,18700,18310,583012352,64139403264,62382080,2502316032,0,0
12-04 15:42:25,1649799745.206,0.125,0.062,99.812,0,0,0,57344,18335,17862,583004160,64139403264,62390272,2502316032,0,4
12-04 15:42:26,1649799746.206,0.063,0.063,99.875,0,0,0,0,18518,18726,583004160,64139403264,62390272,2502316032,0,0
12-04 15:42:27,1649799747.206,0.125,0.062,99.813,0,0,0,0,18968,18056,583004160,64139403264,62390272,2502316032,0,0
12-04 15:42:28,1649799748.206,0,0.063,99.937,0,0,0,0,18567,17734,583004160,64139403264,62390272,2502316032,0,0
12-04 15:42:29,1649799749.206,0.187,0.062,99.750,0,0,0,0,19140,18250,583004160,64139403264,62390272,2502316032,0,0
12-04 15:42:30,1649799750.206,0.125,0.062,99.750,0.062,0,0,49152,18661,18444,583000064,64139403264,62398464,2502311936,0,6
12-04 15:42:31,1649799751.206,1.748,0.624,97.628,0,0,0,0,23145,23651,584093696,64138301440,62398464,2502320128,0,0
12-04 15:42:32,1649799752.206,0,0.063,99.937,0,0,0,0,18752,18444,583606272,64138788864,62398464,2502320128,0,0
12-04 15:42:33,1649799753.206,0.125,0.062,99.812,0,0,0,0,17974,18056,583606272,64138788864,62398464,2502320128,0,0
12-04 15:42:34,1649799754.206,0.063,0,99.937,0,0,0,0,12602,10322,583983104,64138407936,62398464,2502324224,0,0
12-04 15:42:35,1649799755.206,0.626,0.063,99.312,0,0,0,1392640,2165,906,570433536,64151900160,62406656,2502369280,0,232
12-04 15:42:36,1649799756.206,0,0,100,0,0,0,0,1260,0,570433536,64151900160,62406656,2502365184,0,0
12-04 15:42:37,1649799757.206,0,0,100,0,0,0,0,1320,0,570433536,64151900160,62406656,2502365184,0,0
