"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node5.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_3.dstat.csv 1",,,,"Date:","12 Apr 2022 15:41:08 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 15:41:08,1649799668.229,0.993,0.054,98.948,0.005,0,28123.911,2094376.491,0,0,576942080,64135995392,69926912,2502889472,2.029,5.371
12-04 15:41:09,1649799669.231,0.063,0.063,99.875,0,0,0,0,22847,25846,581455872,64131469312,69926912,2502897664,0,0
12-04 15:41:10,1649799670.231,0.063,0,99.937,0,0,0,0,18040,18292,581455872,64131469312,69926912,2502897664,0,0
12-04 15:41:11,1649799671.231,0,0,100,0,0,0,0,19415,18292,581455872,64131469312,69926912,2502897664,0,0
12-04 15:41:12,1649799672.231,0.063,0,99.937,0,0,0,0,20393,19414,581455872,64131469312,69926912,2502897664,0,0
12-04 15:41:13,1649799673.231,0,0,100,0,0,0,147456,20336,20384,581582848,64131342336,69935104,2502889472,0,10
12-04 15:41:14,1649799674.231,0,0.063,99.937,0,0,0,0,18872,18458,581574656,64131342336,69935104,2502897664,0,0
12-04 15:41:15,1649799675.231,0,0,100,0,0,0,0,18816,19026,581701632,64131215360,69935104,2502897664,0,0
12-04 15:41:16,1649799676.231,0,0.063,99.937,0,0,0,0,19374,19026,581701632,64131215360,69935104,2502897664,0,0
12-04 15:41:17,1649799677.231,0.063,0.063,99.875,0,0,0,0,18913,20158,581701632,64131215360,69935104,2502897664,0,0
12-04 15:41:18,1649799678.231,1.441,0.501,97.995,0.063,0,0,794624,23186,23484,584544256,64128364544,69943296,2502905856,0,212
12-04 15:41:19,1649799679.231,0.063,0,99.937,0,0,0,303104,19010,19082,583979008,64128929792,69943296,2502897664,0,0
12-04 15:41:20,1649799680.231,0.063,0,99.937,0,0,0,0,18657,19068,583970816,64128937984,69943296,2502897664,0,0
12-04 15:41:21,1649799681.231,0,0,100,0,0,0,0,19542,19234,583962624,64128946176,69943296,2502897664,0,0
12-04 15:41:22,1649799682.231,0.063,0.063,99.875,0,0,0,0,18749,19026,583962624,64128946176,69943296,2502897664,0,0
12-04 15:41:23,1649799683.231,0,0,100,0,0,0,0,19129,19040,583962624,64128946176,69943296,2502897664,0,0
12-04 15:41:24,1649799684.231,0.063,0.063,99.875,0,0,0,106496,19741,19650,583954432,64128946176,69951488,2502897664,0,14
12-04 15:41:25,1649799685.231,0.063,0,99.937,0,0,0,0,19520,19400,583954432,64128946176,69951488,2502897664,0,0
12-04 15:41:26,1649799686.231,0,0,100,0,0,0,0,19062,18472,583954432,64128946176,69951488,2502897664,0,0
12-04 15:41:27,1649799687.231,0.062,0.062,99.875,0,0,0,0,20365,19830,583954432,64128946176,69951488,2502897664,0,0
12-04 15:41:28,1649799688.231,0.063,0,99.937,0,0,0,0,20852,20663,584462336,64128438272,69951488,2502897664,0,0
12-04 15:41:29,1649799689.231,1.627,0.438,97.935,0,0,0,32768,21373,22291,585043968,64127848448,69959680,2502897664,0,4
12-04 15:41:30,1649799690.231,0,0,100,0,0,0,704512,19236,19026,585003008,64127889408,69959680,2502897664,0,134
12-04 15:41:31,1649799691.231,0.063,0,99.937,0,0,0,0,19833,19622,585003008,64127889408,69959680,2502897664,0,0
12-04 15:41:32,1649799692.231,0.062,0.062,99.875,0,0,0,0,19055,19248,585003008,64127889408,69959680,2502897664,0,0
12-04 15:41:33,1649799693.231,0,0,100,0,0,0,0,19663,19040,584998912,64127889408,69959680,2502901760,0,0
12-04 15:41:34,1649799694.231,0.063,0,99.875,0.063,0,0,81920,19799,18532,584982528,64127897600,69967872,2502901760,0,6
12-04 15:41:35,1649799695.231,0,0.063,99.937,0,0,0,73728,19404,19082,584982528,64127897600,69967872,2502901760,0,14
12-04 15:41:36,1649799696.231,0,0,100,0,0,0,0,18506,18552,584982528,64127897600,69967872,2502901760,0,0
12-04 15:41:37,1649799697.231,0.063,0.063,99.875,0,0,0,0,19018,18916,584982528,64127897600,69967872,2502901760,0,0
12-04 15:41:38,1649799698.231,0.125,0,99.875,0,0,0,0,19455,19442,584982528,64127897600,69967872,2502901760,0,0
12-04 15:41:39,1649799699.231,1.440,0.564,97.996,0,0,0,40960,24342,24426,585039872,64127832064,69976064,2502901760,0,4
12-04 15:41:40,1649799700.231,0.125,0.062,99.812,0,0,0,696320,19648,19234,585035776,64127832064,69976064,2502905856,0,132
12-04 15:41:41,1649799701.231,0.063,0,99.937,0,0,0,0,18883,19054,585035776,64127832064,69976064,2502905856,0,0
12-04 15:41:42,1649799702.231,0.063,0,99.937,0,0,0,0,20478,19982,585035776,64127832064,69976064,2502905856,0,0
12-04 15:41:43,1649799703.231,0,0,100,0,0,0,0,18816,19040,585035776,64127832064,69976064,2502905856,0,0
12-04 15:41:44,1649799704.231,0,0,99.937,0.063,0,0,81920,19355,19248,585035776,64127832064,69984256,2502897664,0,6
12-04 15:41:45,1649799705.231,0,0.125,99.875,0,0,0,65536,19467,19414,585027584,64127832064,69984256,2502905856,0,12
12-04 15:41:46,1649799706.231,0.063,0,99.937,0,0,0,0,19572,19428,585027584,64127832064,69984256,2502905856,0,0
12-04 15:41:47,1649799707.231,0.063,0,99.937,0,0,0,0,18957,18846,585019392,64127840256,69984256,2502905856,0,0
12-04 15:41:48,1649799708.231,0.063,0,99.937,0,0,0,0,19242,19234,585019392,64127840256,69984256,2502905856,0,0
12-04 15:41:49,1649799709.231,0.876,0.313,98.811,0,0,0,32768,22687,22383,591437824,64121421824,69992448,2502897664,0,4
12-04 15:41:50,1649799710.231,0.626,0.313,99.061,0,0,0,0,20057,21083,586543104,64126304256,69992448,2502909952,0,0
12-04 15:41:51,1649799711.231,0.063,0,99.937,0,0,0,712704,20028,19530,586543104,64126304256,69992448,2502909952,0,132
12-04 15:41:52,1649799712.231,0.063,0,99.937,0,0,0,0,19597,19442,586543104,64126304256,69992448,2502909952,0,0
12-04 15:41:53,1649799713.231,0,0,100,0,0,0,0,19369,19220,586534912,64126312448,69992448,2502909952,0,0
12-04 15:41:54,1649799714.231,0.063,0.063,99.875,0,0,0,0,18768,19106,586534912,64126312448,69992448,2502909952,0,0
12-04 15:41:55,1649799715.231,0.063,0,99.937,0,0,0,81920,19587,19442,586526720,64126312448,70000640,2502909952,0,4
12-04 15:41:56,1649799716.231,0.063,0.063,99.875,0,0,0,73728,19196,19248,586526720,64126312448,70000640,2502909952,0,14
12-04 15:41:57,1649799717.231,0.125,0,99.875,0,0,0,0,19887,19414,586526720,64126312448,70000640,2502909952,0,0
12-04 15:41:58,1649799718.231,0.063,0,99.937,0,0,0,0,19271,19280,586526720,64126312448,70000640,2502909952,0,0
12-04 15:41:59,1649799719.231,0.063,0,99.937,0,0,0,0,19415,19234,586522624,64126312448,70000640,2502914048,0,0
12-04 15:42:00,1649799720.231,1.626,0.750,97.561,0.063,0,0,57344,24173,24634,586276864,64126550016,70008832,2502914048,0,6
12-04 15:42:01,1649799721.231,0.063,0,99.937,0,0,0,0,20303,19040,586276864,64126550016,70008832,2502914048,0,0
12-04 15:42:02,1649799722.231,0.062,0.125,99.812,0,0,0,745472,18761,19428,586276864,64126550016,70008832,2502914048,0,136
12-04 15:42:03,1649799723.231,0.063,0,99.937,0,0,0,0,19922,19248,586276864,64126550016,70008832,2502914048,0,0
12-04 15:42:04,1649799724.231,0,0,100,0,0,0,0,19316,19040,586276864,64126550016,70008832,2502914048,0,0
12-04 15:42:05,1649799725.231,0.063,0,99.937,0,0,0,57344,18113,18458,586260480,64126558208,70017024,2502914048,0,4
12-04 15:42:06,1649799726.231,0,0,100,0,0,0,0,20144,19982,586252288,64126566400,70017024,2502914048,0,0
12-04 15:42:07,1649799727.231,0.063,0,99.937,0,0,0,49152,19853,19608,586252288,64126566400,70017024,2502914048,0,8
12-04 15:42:08,1649799728.231,0,0,100,0,0,0,0,18546,18458,586252288,64126566400,70017024,2502914048,0,0
12-04 15:42:09,1649799729.231,0,0,100,0,0,0,0,19161,19206,586252288,64126566400,70017024,2502914048,0,0
12-04 15:42:10,1649799730.231,1.254,0.502,98.245,0,0,0,24576,24506,23961,587866112,64124944384,70025216,2502909952,0,4
12-04 15:42:11,1649799731.231,0.063,0.063,99.875,0,0,0,0,20183,20603,586301440,64126509056,70025216,2502914048,0,0
12-04 15:42:12,1649799732.231,0.063,0.063,99.875,0,0,0,712704,18390,18846,586301440,64126509056,70025216,2502914048,0,132
12-04 15:42:13,1649799733.231,0,0,100,0,0,0,0,20065,19788,586301440,64126509056,70025216,2502914048,0,0
12-04 15:42:14,1649799734.231,0,0,100,0,0,0,0,20663,19474,586301440,64126509056,70025216,2502914048,0,0
12-04 15:42:15,1649799735.231,0.125,0.125,99.688,0.062,0,0,57344,19526,19668,586285056,64126517248,70033408,2502914048,0,4
12-04 15:42:16,1649799736.231,0.063,0.063,99.875,0,0,0,0,19377,18832,586285056,64126517248,70033408,2502914048,0,0
