"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node4.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_3.dstat.csv 1",,,,"Date:","12 Apr 2022 15:41:05 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 15:41:05,1649799665.811,1.277,0.324,98.394,0.005,0,28082.315,2074747.440,0,0,583700480,64127750144,70332416,2502500352,2.021,5.242
12-04 15:41:06,1649799666.812,0.062,0.062,99.875,0,0,0,0,9902,9788,583569408,64127873024,70332416,2502508544,0,0
12-04 15:41:07,1649799667.812,3.129,3.066,93.742,0.063,0,0,237568,48986,48906,591007744,64120393728,70336512,2502516736,0,16
12-04 15:41:08,1649799668.812,1.696,1.696,96.608,0,0,0,0,191195,184357,591847424,64119554048,70336512,2502512640,0,0
12-04 15:41:09,1649799669.812,2.379,2.317,95.304,0,0,0,0,410611,422845,594026496,64117374976,70336512,2502512640,0,0
12-04 15:41:10,1649799670.812,3.250,1.875,94.875,0,0,0,0,417119,432838,594915328,64116486144,70336512,2502512640,0,0
12-04 15:41:11,1649799671.812,2.691,2.566,94.743,0,0,0,0,437224,450198,594558976,64116842496,70336512,2502512640,0,0
12-04 15:41:12,1649799672.812,2.393,2.141,95.466,0,0,0,0,437854,451649,596209664,64115191808,70336512,2502512640,0,0
12-04 15:41:13,1649799673.812,2.752,2.564,94.684,0,0,0,114688,448071,465260,594264064,64117133312,70340608,2502512640,0,6
12-04 15:41:14,1649799674.812,3.117,2.556,94.327,0,0,0,0,442895,459261,595271680,64116125696,70340608,2502512640,0,0
12-04 15:41:15,1649799675.812,3.300,2.428,94.271,0,0,0,0,445925,465010,594526208,64116871168,70340608,2502512640,0,0
12-04 15:41:16,1649799676.812,2.710,2.016,95.274,0,0,0,5079040,445189,461463,595070976,64116326400,70340608,2502512640,0,626
12-04 15:41:17,1649799677.812,2.880,2.379,94.740,0,0,0,0,448647,466022,594821120,64116576256,70340608,2502512640,0,0
12-04 15:41:18,1649799678.812,2.994,2.682,94.323,0,0,0,0,449363,463456,595169280,64116228096,70340608,2502512640,0,0
12-04 15:41:19,1649799679.812,2.650,1.956,95.394,0,0,0,98304,445698,457373,595910656,64115482624,70344704,2502512640,0,6
12-04 15:41:20,1649799680.812,3.135,2.069,94.796,0,0,0,0,448733,464284,596946944,64114446336,70344704,2502512640,0,0
12-04 15:41:21,1649799681.812,2.764,2.450,94.786,0,0,0,139264,457765,476188,595976192,64115417088,70344704,2502512640,0,24
12-04 15:41:22,1649799682.812,3.131,2.254,94.615,0,0,0,0,457585,474053,597114880,64114278400,70344704,2502512640,0,0
12-04 15:41:23,1649799683.812,2.637,2.448,94.915,0,0,0,0,445196,461682,596672512,64114720768,70344704,2502512640,0,0
12-04 15:41:24,1649799684.812,2.886,2.258,94.856,0,0,0,0,455661,469468,597061632,64114331648,70344704,2502512640,0,0
