"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_1.dstat.csv 1",,,,"Date:","12 Apr 2022 15:41:05 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 15:41:05,1649799665.731,6.971,0.457,92.563,0.009,0,29053.974,3942208.567,0,0,647688192,60619935744,118755328,5730525184,2.218,15.225
12-04 15:41:06,1649799666.732,0.062,0,99.938,0,0,0,0,11772,12882,648040448,60619579392,118755328,5730529280,0,0
12-04 15:41:07,1649799667.732,4.375,3.125,92.500,0,0,0,5128192,60883,59678,658567168,60609048576,118755328,5730541568,0,680
12-04 15:41:08,1649799668.732,2.850,1.583,95.567,0,0,0,0,261456,256600,666673152,60600942592,118755328,5730533376,0,0
12-04 15:41:09,1649799669.732,2.517,1.762,95.721,0,0,0,212992,412984,398398,667467776,60600098816,118763520,5730533376,0,8
12-04 15:41:10,1649799670.732,2.444,2.381,95.175,0,0,0,0,422847,408463,667930624,60599635968,118763520,5730533376,0,0
12-04 15:41:11,1649799671.732,2.635,2.321,95.044,0,0,0,0,447906,434571,668860416,60598706176,118763520,5730533376,0,0
12-04 15:41:12,1649799672.732,2.875,2.375,94.750,0,0,0,0,442528,426142,667189248,60600377344,118763520,5730533376,0,0
12-04 15:41:13,1649799673.732,2.757,2.318,94.925,0,0,0,0,448323,430444,668774400,60598792192,118763520,5730533376,0,0
12-04 15:41:14,1649799674.732,2.330,2.330,95.340,0,0,0,0,450907,440557,668160000,60599406592,118763520,5730533376,0,0
12-04 15:41:15,1649799675.732,2.330,2.267,95.403,0,0,0,90112,453362,436612,669462528,60598095872,118771712,5730533376,0,6
12-04 15:41:16,1649799676.732,2.696,2.382,94.922,0,0,0,0,453275,433883,668672000,60598886400,118771712,5730533376,0,0
12-04 15:41:17,1649799677.732,2.575,2.324,95.101,0,0,0,0,450115,437148,669786112,60597772288,118771712,5730533376,0,0
12-04 15:41:18,1649799678.732,2.973,2.087,94.940,0,0,0,0,471022,460438,668581888,60598976512,118771712,5730533376,0,0
12-04 15:41:19,1649799679.732,2.148,2.211,95.641,0,0,0,0,448001,432263,669450240,60598108160,118771712,5730533376,0,0
12-04 15:41:20,1649799680.732,2.270,2.333,95.397,0,0,0,0,450259,438788,669065216,60598493184,118771712,5730533376,0,0
12-04 15:41:21,1649799681.732,2.320,2.696,94.922,0.063,0,0,98304,457780,442843,669294592,60598255616,118779904,5730533376,0,6
12-04 15:41:22,1649799682.732,2.021,2.274,95.704,0,0,0,0,459907,442225,670982144,60596568064,118779904,5730533376,0,0
12-04 15:41:23,1649799683.732,2.454,2.266,95.280,0,0,0,0,451594,438562,668848128,60598702080,118779904,5730533376,0,0
12-04 15:41:24,1649799684.732,2.884,2.257,94.859,0,0,0,0,458867,442021,669831168,60597719040,118779904,5730533376,0,0
12-04 15:41:25,1649799685.732,2.571,2.508,94.922,0,0,0,0,458765,438701,669491200,60598059008,118779904,5730533376,0,0
12-04 15:41:26,1649799686.732,3.129,2.128,94.743,0,0,0,0,450134,439937,670400512,60597149696,118779904,5730533376,0,0
12-04 15:41:27,1649799687.732,2.516,2.201,95.283,0,0,0,98304,449912,436651,670797824,60596744192,118788096,5730533376,0,6
12-04 15:41:28,1649799688.732,3.578,2.511,93.911,0,0,0,0,473977,458204,670482432,60597059584,118788096,5730533376,0,0
12-04 15:41:29,1649799689.732,2.514,2.326,95.160,0,0,0,0,451024,433781,671014912,60596527104,118788096,5730533376,0,0
12-04 15:41:30,1649799690.732,2.814,2.502,94.684,0,0,0,0,453586,438501,670912512,60596629504,118788096,5730533376,0,0
12-04 15:41:31,1649799691.732,2.759,2.320,94.922,0,0,0,0,455175,440157,671694848,60595847168,118788096,5730533376,0,0
12-04 15:41:32,1649799692.732,3.176,2.615,94.147,0.062,0,0,90112,457688,441827,671457280,60596076544,118796288,5730533376,0,6
12-04 15:41:33,1649799693.732,2.516,2.201,95.283,0,0,0,0,453253,437208,671723520,60595810304,118796288,5730533376,0,0
12-04 15:41:34,1649799694.732,2.574,2.385,95.041,0,0,0,0,449552,437721,670371840,60597161984,118796288,5730533376,0,0
12-04 15:41:35,1649799695.732,3.002,2.314,94.684,0,0,0,0,451566,440028,670683136,60596846592,118796288,5730537472,0,0
12-04 15:41:36,1649799696.732,2.399,2.083,95.518,0,0,0,0,458674,443675,671236096,60596293632,118796288,5730537472,0,0
12-04 15:41:37,1649799697.732,3.074,2.008,94.918,0,0,0,106496,452635,438800,670932992,60596592640,118800384,5730537472,0,8
12-04 15:41:38,1649799698.732,2.852,2.281,94.867,0,0,0,802816,473237,460835,673619968,60593905664,118800384,5730537472,0,154
12-04 15:41:39,1649799699.732,2.461,2.208,95.331,0,0,0,0,467548,446999,672161792,60595363840,118800384,5730537472,0,0
12-04 15:41:40,1649799700.732,1.404,1.978,96.618,0,0,0,0,453933,443758,670474240,60597051392,118800384,5730537472,0,0
12-04 15:41:41,1649799701.732,2.210,2.210,95.581,0,0,0,0,452297,434108,669765632,60597760000,118800384,5730537472,0,0
