"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node11.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_6.dstat.csv 1",,,,"Date:","12 Apr 2022 16:04:16 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:04:16,1649801056.339,0.904,0.043,99.050,0.004,0,25509.945,1825753.002,0,0,576700416,64145121280,62652416,2502332416,1.882,4.114
12-04 16:04:17,1649801057.339,0,0,100,0,0,0,0,17031,15534,576548864,64145203200,62652416,2502402048,0,0
12-04 16:04:18,1649801058.339,0.063,0,99.937,0,0,0,0,15975,15340,576548864,64145203200,62652416,2502402048,0,0
12-04 16:04:19,1649801059.339,0,0,100,0,0,0,0,15409,15146,576548864,64145203200,62652416,2502402048,0,0
12-04 16:04:20,1649801060.339,0,0,100,0,0,0,0,14759,14592,576548864,64145203200,62652416,2502402048,0,0
12-04 16:04:21,1649801061.339,0.062,0.062,99.813,0.062,0,0,172032,15242,15340,576540672,64145203200,62660608,2502402048,0,12
12-04 16:04:22,1649801062.339,0.063,0.063,99.875,0,0,0,0,15281,15340,576540672,64145203200,62660608,2502402048,0,0
12-04 16:04:23,1649801063.339,0.063,0,99.937,0,0,0,0,15647,15594,576921600,64144814080,62660608,2502402048,0,0
12-04 16:04:24,1649801064.339,0.063,0,99.937,0,0,0,0,15409,15160,576921600,64144814080,62660608,2502402048,0,0
12-04 16:04:25,1649801065.339,0.063,0,99.937,0,0,0,0,15809,15354,576921600,64144814080,62660608,2502402048,0,0
12-04 16:04:26,1649801066.340,1.379,0.502,98.119,0,0,0,0,20203,20395,579096576,64142639104,62660608,2502414336,0,0
12-04 16:04:27,1649801067.339,0.063,0.063,99.875,0,0,0,57344,15901,15576,578867200,64142860288,62668800,2502402048,0,4
12-04 16:04:28,1649801068.339,0,0,100,0,0,0,0,16062,14772,578867200,64142860288,62668800,2502402048,0,0
12-04 16:04:29,1649801069.339,0.063,0,99.875,0.063,0,0,3424256,16025,15040,578859008,64142868480,62668800,2502402048,0,534
12-04 16:04:30,1649801070.339,0.063,0,99.937,0,0,0,0,16345,15534,578850816,64142876672,62668800,2502402048,0,0
12-04 16:04:31,1649801071.339,0,0,100,0,0,0,0,15820,15594,578850816,64142876672,62668800,2502402048,0,0
12-04 16:04:32,1649801072.339,0.125,0,99.813,0.062,0,0,49152,14971,14966,578842624,64142876672,62676992,2502402048,0,4
12-04 16:04:33,1649801073.339,0,0.063,99.937,0,0,0,0,15761,15326,578842624,64142876672,62676992,2502402048,0,0
12-04 16:04:34,1649801074.339,0.063,0,99.937,0,0,0,0,16407,15174,578969600,64142749696,62676992,2502402048,0,0
12-04 16:04:35,1649801075.339,0.063,0,99.937,0,0,0,0,15881,15340,578969600,64142749696,62676992,2502402048,0,0
12-04 16:04:36,1649801076.339,0.188,0,99.812,0,0,0,0,17506,16921,579477504,64142241792,62676992,2502402048,0,0
12-04 16:04:37,1649801077.339,1.564,0.751,97.685,0,0,0,0,17466,18412,580272128,64141438976,62676992,2502402048,0,0
12-04 16:04:38,1649801078.339,0.063,0.063,99.875,0,0,0,57344,16275,15548,580255744,64141447168,62685184,2502402048,0,4
12-04 16:04:39,1649801079.339,0,0,100,0,0,0,0,15714,15548,580255744,64141447168,62685184,2502402048,0,0
12-04 16:04:40,1649801080.339,0.062,0.062,99.875,0,0,0,647168,15476,15160,580255744,64141447168,62685184,2502402048,0,132
12-04 16:04:41,1649801081.339,0.063,0,99.937,0,0,0,0,16067,15534,580255744,64141447168,62685184,2502402048,0,0
12-04 16:04:42,1649801082.339,0.063,0.063,99.875,0,0,0,0,16447,15520,580255744,64141447168,62685184,2502402048,0,0
12-04 16:04:43,1649801083.339,0.062,0,99.875,0.062,0,0,24576,16267,15520,580247552,64141447168,62693376,2502402048,0,4
12-04 16:04:44,1649801084.339,0,0,100,0,0,0,0,15701,15354,580247552,64141447168,62693376,2502402048,0,0
12-04 16:04:45,1649801085.340,0.125,0,99.875,0,0,0,0,15474,15520,580247552,64141447168,62693376,2502402048,0,0
12-04 16:04:46,1649801086.339,0.063,0,99.937,0,0,0,16384,15005,14890,580247552,64141447168,62693376,2502402048,0,4
12-04 16:04:47,1649801087.339,1.503,0.501,97.996,0,0,0,0,20881,20755,581443584,64140238848,62693376,2502406144,0,0
12-04 16:04:48,1649801088.339,0,0.063,99.937,0,0,0,98304,15582,15146,581423104,64140247040,62701568,2502410240,0,8
12-04 16:04:49,1649801089.339,0.063,0,99.937,0,0,0,0,15963,15174,581423104,64140247040,62701568,2502410240,0,0
12-04 16:04:50,1649801090.339,0.063,0,99.937,0,0,0,0,15236,15160,581423104,64140247040,62701568,2502410240,0,0
12-04 16:04:51,1649801091.339,0,0.063,99.937,0,0,0,655360,14997,14952,581423104,64140247040,62701568,2502410240,0,140
12-04 16:04:52,1649801092.339,0.062,0.062,99.875,0,0,0,0,15617,14966,581324800,64140345344,62701568,2502410240,0,0
12-04 16:04:53,1649801093.339,0.063,0,99.937,0,0,0,49152,16215,15714,581308416,64140353536,62709760,2502410240,0,4
12-04 16:04:54,1649801094.339,0.062,0.062,99.875,0,0,0,0,15110,14966,581308416,64140353536,62709760,2502410240,0,0
12-04 16:04:55,1649801095.339,0,0,100,0,0,0,0,15548,15562,581308416,64140353536,62709760,2502410240,0,0
12-04 16:04:56,1649801096.340,0.063,0,99.937,0,0,0,40960,15887,15548,581308416,64140353536,62709760,2502410240,0,10
12-04 16:04:57,1649801097.339,0.439,0.376,99.185,0,0,0,0,18974,18281,582819840,64138842112,62709760,2502414336,0,0
12-04 16:04:58,1649801098.339,0.626,0.375,98.936,0.063,0,0,57344,15875,17038,580538368,64141107200,62717952,2502410240,0,4
12-04 16:04:59,1649801099.339,0,0,100,0,0,0,0,14585,14800,580538368,64141107200,62717952,2502410240,0,0
12-04 16:05:00,1649801100.339,0.063,0,99.937,0,0,0,0,16016,15368,580530176,64141115392,62717952,2502410240,0,0
12-04 16:05:01,1649801101.339,0.063,0,99.937,0,0,0,647168,15715,15340,580530176,64141115392,62717952,2502410240,0,134
12-04 16:05:02,1649801102.339,0.125,0.063,99.812,0,0,0,0,15640,15520,580845568,64140800000,62717952,2502410240,0,1
12-04 16:05:03,1649801103.339,0,0,100,0,0,0,90112,16405,15160,580845568,64140800000,62726144,2502402048,0,4
12-04 16:05:04,1649801104.339,0.063,0,99.937,0,0,0,0,16060,15534,580837376,64140800000,62726144,2502410240,0,0
12-04 16:05:05,1649801105.339,0,0,100,0,0,0,0,15416,15160,580837376,64140800000,62726144,2502410240,0,0
12-04 16:05:06,1649801106.339,0.062,0.062,99.875,0,0,0,0,16035,15326,580837376,64140800000,62726144,2502410240,0,0
12-04 16:05:07,1649801107.339,0.063,0,99.937,0,0,0,491520,16277,15160,580837376,64140800000,62726144,2502410240,0,100
12-04 16:05:08,1649801108.340,1.562,0.688,97.750,0,0,0,0,20588,20575,581214208,64140423168,62726144,2502410240,0,0
12-04 16:05:09,1649801109.339,0,0.063,99.875,0.063,0,0,57344,15374,15418,581206016,64140423168,62734336,2502410240,0,4
12-04 16:05:10,1649801110.340,0.063,0,99.937,0,0,0,0,16653,15602,581197824,64140431360,62734336,2502410240,0,0
12-04 16:05:11,1649801111.339,0.063,0,99.937,0,0,0,0,15855,15548,581197824,64140431360,62734336,2502410240,0,0
12-04 16:05:12,1649801112.339,0.062,0.062,99.875,0,0,0,663552,16874,15534,581099520,64140529664,62734336,2502410240,0,134
12-04 16:05:13,1649801113.339,0.062,0.062,99.875,0,0,0,0,15295,15354,581099520,64140529664,62734336,2502410240,0,0
12-04 16:05:14,1649801114.339,0,0,100,0,0,0,49152,15355,15368,581091328,64140529664,62742528,2502410240,0,4
12-04 16:05:15,1649801115.339,0.063,0,99.937,0,0,0,0,16079,15864,581091328,64140529664,62742528,2502410240,0,0
12-04 16:05:16,1649801116.339,0.125,0.062,99.813,0,0,0,0,15821,15340,581091328,64140529664,62742528,2502410240,0,0
12-04 16:05:17,1649801117.339,0.063,0.063,99.875,0,0,0,40960,16607,15520,581091328,64140529664,62742528,2502410240,0,10
12-04 16:05:18,1649801118.339,1.627,0.375,97.997,0,0,0,0,20567,20367,582287360,64139329536,62742528,2502422528,0,0
12-04 16:05:19,1649801119.339,0.063,0,99.937,0,0,0,90112,15460,15580,581382144,64140226560,62750720,2502414336,0,6
12-04 16:05:20,1649801120.339,0.062,0.125,99.813,0,0,0,0,16110,15576,581361664,64140242944,62750720,2502418432,0,0
12-04 16:05:21,1649801121.339,0,0,100,0,0,0,0,15823,15192,581361664,64140242944,62750720,2502418432,0,0
12-04 16:05:22,1649801122.339,0.062,0.125,99.813,0,0,0,688128,15675,15340,581361664,64140242944,62750720,2502418432,0,136
12-04 16:05:23,1649801123.339,0.188,0,99.812,0,0,0,0,15820,15640,581328896,64140275712,62750720,2502418432,0,0
12-04 16:05:24,1649801124.339,0.062,0.062,99.813,0.062,0,0,65536,16254,15548,581316608,64140275712,62758912,2502422528,0,8
12-04 16:05:25,1649801125.339,0.063,0.063,99.875,0,0,0,0,15588,15354,581316608,64140275712,62758912,2502422528,0,0
12-04 16:05:26,1649801126.339,0.125,0,99.875,0,0,0,0,15543,15160,581316608,64140275712,62758912,2502422528,0,0
12-04 16:05:27,1649801127.339,0,0.063,99.937,0,0,0,0,15236,15220,581308416,64140283904,62758912,2502422528,0,0
12-04 16:05:28,1649801128.339,0.125,0.062,99.813,0,0,0,49152,15459,15174,581308416,64140283904,62758912,2502422528,0,10
12-04 16:05:29,1649801129.339,1.627,0.563,97.810,0,0,0,0,19935,20495,581128192,64140464128,62758912,2502422528,0,0
12-04 16:05:30,1649801130.339,0,0.125,99.875,0,0,0,57344,16541,15534,581120000,64140464128,62767104,2502422528,0,4
12-04 16:05:31,1649801131.339,0.063,0.063,99.875,0,0,0,0,15640,15520,581120000,64140464128,62767104,2502422528,0,0
12-04 16:05:32,1649801132.339,0.062,0.062,99.875,0,0,0,0,17528,15562,581120000,64140464128,62767104,2502422528,0,0
12-04 16:05:33,1649801133.339,0.187,0.062,99.750,0,0,0,745472,16242,15562,581054464,64140529664,62767104,2502422528,0,140
12-04 16:05:34,1649801134.339,0.125,0.062,99.813,0,0,0,0,16007,15548,581054464,64140529664,62767104,2502422528,0,0
12-04 16:05:35,1649801135.339,0.125,0.062,99.813,0,0,0,24576,16179,15562,581038080,64140537856,62775296,2502422528,0,4
12-04 16:05:36,1649801136.339,0.125,0.062,99.812,0,0,0,0,15894,15534,581038080,64140537856,62775296,2502422528,0,0
12-04 16:05:37,1649801137.339,0.062,0.062,99.875,0,0,0,0,16035,15340,581038080,64140537856,62775296,2502422528,0,0
12-04 16:05:38,1649801138.339,0.062,0.062,99.875,0,0,0,16384,14937,15068,581038080,64140537856,62775296,2502422528,0,4
12-04 16:05:39,1649801139.339,1.876,0.813,97.311,0,0,0,0,20129,20597,581193728,64140382208,62775296,2502422528,0,0
12-04 16:05:40,1649801140.339,0.063,0,99.875,0.063,0,0,57344,16008,15340,581160960,64140406784,62783488,2502422528,0,4
12-04 16:05:41,1649801141.339,0.062,0.062,99.875,0,0,0,0,15130,15248,581152768,64140414976,62783488,2502422528,0,0
12-04 16:05:42,1649801142.339,0,0,100,0,0,0,0,15901,15562,581152768,64140414976,62783488,2502422528,0,0
12-04 16:05:43,1649801143.339,0,0,100,0,0,0,647168,15587,15548,581152768,64140414976,62783488,2502422528,0,132
12-04 16:05:44,1649801144.339,0.125,0,99.875,0,0,0,0,16681,15548,581152768,64140414976,62783488,2502422528,0,0
12-04 16:05:45,1649801145.339,0.063,0.063,99.875,0,0,0,24576,15835,15354,581120000,64140447744,62791680,2502414336,0,4
12-04 16:05:46,1649801146.339,0.062,0.062,99.875,0,0,0,0,16267,15594,581111808,64140447744,62791680,2502422528,0,0
12-04 16:05:47,1649801147.339,0.125,0,99.875,0,0,0,0,15355,15354,581111808,64140447744,62791680,2502422528,0,0
12-04 16:05:48,1649801148.339,0.063,0,99.937,0,0,0,0,16327,15520,581111808,64140447744,62791680,2502422528,0,0
12-04 16:05:49,1649801149.339,0.250,0.063,99.687,0,0,0,16384,18905,18496,581611520,64139948032,62791680,2502422528,0,4
12-04 16:05:50,1649801150.340,1.437,0.750,97.814,0,0,0,0,16977,17549,581627904,64139923456,62791680,2502422528,0,0
12-04 16:05:51,1649801151.339,0,0.063,99.875,0.063,0,0,57344,15880,15548,581611520,64139931648,62799872,2502422528,0,4
12-04 16:05:52,1649801152.339,0.125,0.062,99.812,0,0,0,0,16208,15548,581607424,64139931648,62799872,2502426624,0,0
12-04 16:05:53,1649801153.340,0.063,0,99.937,0,0,0,0,15640,15548,581607424,64139931648,62799872,2502426624,0,0
12-04 16:05:54,1649801154.339,0.063,0,99.937,0,0,0,663552,15427,15674,581607424,64139931648,62799872,2502426624,0,134
12-04 16:05:55,1649801155.340,0.125,0.062,99.813,0,0,0,0,15834,15562,581607424,64139931648,62799872,2502426624,0,0
12-04 16:05:56,1649801156.339,0.062,0.062,99.875,0,0,0,49152,16468,15548,581599232,64139931648,62808064,2502426624,0,6
12-04 16:05:57,1649801157.339,0.063,0,99.937,0,0,0,0,14394,13742,581877760,64139653120,62808064,2502426624,0,0
12-04 16:05:58,1649801158.339,0,0,100,0,0,0,0,5212,3384,582127616,64139399168,62808064,2502430720,0,0
12-04 16:05:59,1649801159.339,0.500,0.063,99.437,0,0,0,598016,2525,906,568422400,64153051136,62812160,2502471680,0,104
12-04 16:06:00,1649801160.339,2.564,0.813,96.623,0,0,0,0,9178,8245,572887040,64148582400,62812160,2502488064,0,0
