"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node10.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_6.dstat.csv 1",,,,"Date:","12 Apr 2022 16:04:13 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:04:13,1649801053.909,0.900,0.044,99.053,0.004,0,25527.646,1825959.961,0,0,577183744,64144228352,63283200,2502389760,1.890,4.103
12-04 16:04:14,1649801054.909,0.063,0.125,99.812,0,0,0,0,34244,33378,579530752,64141742080,63283200,2502463488,0,0
12-04 16:04:15,1649801055.910,4.209,3.455,92.337,0,0,286720,0,57659,53467,588464128,64132628480,63291392,2502602752,14,0
12-04 16:04:16,1649801056.910,2.450,2.638,94.912,0,0,0,0,299828,280026,589795328,64131297280,63291392,2502602752,0,0
12-04 16:04:17,1649801057.910,3.755,3.379,92.866,0,0,0,0,678406,669294,590725120,64130334720,63291392,2502602752,0,0
12-04 16:04:18,1649801058.910,3.592,2.962,93.384,0.063,0,0,188416,680176,676750,592064512,64128987136,63299584,2502602752,0,14
12-04 16:04:19,1649801059.910,3.762,3.323,92.915,0,0,0,0,688695,681914,592113664,64128937984,63299584,2502602752,0,0
12-04 16:04:20,1649801060.910,3.947,3.258,92.794,0,0,0,0,682320,675695,592936960,64128114688,63299584,2502602752,0,0
12-04 16:04:21,1649801061.910,4.545,3.300,92.154,0,0,0,0,707691,699921,591798272,64129253376,63299584,2502602752,0,0
12-04 16:04:22,1649801062.910,4.008,3.319,92.674,0,0,0,0,690779,688663,592535552,64128516096,63299584,2502602752,0,0
12-04 16:04:23,1649801063.910,3.844,2.899,93.258,0,0,0,0,712059,700517,592355328,64128696320,63299584,2502602752,0,0
12-04 16:04:24,1649801064.910,3.839,3.021,93.140,0,0,0,81920,704215,701724,592601088,64128442368,63307776,2502602752,0,6
12-04 16:04:25,1649801065.910,3.725,2.904,93.371,0,0,0,0,706177,695342,593928192,64127107072,63307776,2502602752,0,0
12-04 16:04:26,1649801066.910,2.806,2.934,94.260,0,0,0,0,706982,694649,593207296,64127827968,63307776,2502602752,0,0
12-04 16:04:27,1649801067.910,3.783,2.900,93.317,0,0,0,0,707830,703017,593575936,64127459328,63307776,2502602752,0,0
12-04 16:04:28,1649801068.910,3.344,3.407,93.249,0,0,0,0,715144,703346,592330752,64128704512,63307776,2502602752,0,0
