"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node1.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_1.dstat.csv 1",,,,"Date:","12 Apr 2022 16:04:16 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:04:16,1649801056.414,0.926,0.050,99.019,0.005,0,26167.661,1932866.248,0,0,589369344,64113459200,71041024,2511425536,1.890,4.751
12-04 16:04:17,1649801057.415,0.187,0.062,99.750,0,0,0,0,22458,21408,589123584,64113700864,71041024,2511429632,0,0
12-04 16:04:18,1649801058.415,0.063,0,99.937,0,0,0,0,21301,21072,589123584,64113700864,71041024,2511429632,0,0
12-04 16:04:19,1649801059.415,0.063,0,99.937,0,0,0,0,20915,21074,589123584,64113700864,71041024,2511429632,0,0
12-04 16:04:20,1649801060.415,0.063,0.063,99.875,0,0,0,16384,20965,21250,589123584,64113700864,71041024,2511429632,0,2
12-04 16:04:21,1649801061.415,0.063,0,99.937,0,0,0,0,20537,21038,589377536,64113446912,71041024,2511429632,0,0
12-04 16:04:22,1649801062.415,0.125,0,99.875,0,0,0,147456,20597,21068,589369344,64113446912,71049216,2511429632,0,10
12-04 16:04:23,1649801063.415,0,0,100,0,0,0,0,20807,21068,589369344,64113446912,71049216,2511429632,0,0
12-04 16:04:24,1649801064.415,0.063,0.063,99.875,0,0,0,0,21143,21380,589369344,64113446912,71049216,2511429632,0,0
12-04 16:04:25,1649801065.415,0,0.063,99.937,0,0,0,8192,21053,20934,589496320,64113319936,71049216,2511429632,0,2
12-04 16:04:26,1649801066.415,1.502,0.626,97.872,0,0,0,0,24555,24583,592637952,64110178304,71049216,2511433728,0,0
12-04 16:04:27,1649801067.415,0.063,0.063,99.875,0,0,0,98304,21808,22367,591925248,64110878720,71057408,2511433728,0,6
12-04 16:04:28,1649801068.415,0.063,0.063,99.875,0,0,0,0,21923,21438,591925248,64110878720,71057408,2511433728,0,0
12-04 16:04:29,1649801069.415,0.125,0.062,99.812,0,0,0,0,21593,20686,591925248,64110878720,71057408,2511433728,0,0
