"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node8.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_5.dstat.csv 1",,,,"Date:","12 Apr 2022 16:25:31 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:25:31,1649802331.096,0.883,0.070,99.044,0.003,0,23979.274,1719767.508,0,0,580042752,64138469376,64815104,2502680576,1.754,4.266
12-04 16:25:32,1649802332.097,0.125,0,99.875,0,0,0,0,17896,18016,579858432,64138649600,64815104,2502684672,0,0
12-04 16:25:33,1649802333.097,4.468,5.035,90.497,0,0,0,4980736,96892,95631,594575360,64123854848,64823296,2502701056,0,636
12-04 16:25:34,1649802334.097,3.222,3.348,93.430,0,0,0,0,455220,435049,595390464,64123039744,64823296,2502688768,0,0
12-04 16:25:35,1649802335.097,5.066,4.243,90.690,0,0,0,0,1112090,1181405,597983232,64120446976,64823296,2502688768,0,0
12-04 16:25:36,1649802336.097,5.153,4.135,90.712,0,0,0,0,1191403,1223562,598302720,64120127488,64823296,2502688768,0,0
12-04 16:25:37,1649802337.097,5.720,4.714,89.566,0,0,0,0,1199320,1255344,597725184,64120705024,64823296,2502688768,0,0
12-04 16:25:38,1649802338.097,5.549,4.729,89.723,0,0,0,0,1207413,1264956,597774336,64120655872,64823296,2502688768,0,0
12-04 16:25:39,1649802339.097,5.102,4.145,90.753,0,0,0,122880,1207310,1257300,598106112,64120315904,64831488,2502688768,0,6
12-04 16:25:40,1649802340.097,5.253,4.747,90,0,0,0,0,1210614,1277479,598556672,64119865344,64831488,2502688768,0,0
12-04 16:25:41,1649802341.097,5.503,4.491,90.006,0,0,0,0,1211297,1269333,598548480,64119873536,64831488,2502688768,0,0
12-04 16:25:42,1649802342.097,5.347,4.201,90.452,0,0,0,0,1235553,1289823,599138304,64119283712,64831488,2502688768,0,0
12-04 16:25:43,1649802343.097,4.889,4.825,90.286,0,0,0,753664,1217860,1274432,599584768,64118837248,64831488,2502688768,0,150
12-04 16:25:44,1649802344.097,5,5.063,89.937,0,0,0,0,1236951,1294748,598556672,64119865344,64831488,2502688768,0,0
12-04 16:25:45,1649802345.097,5.216,4.326,90.394,0.064,0,0,90112,1218403,1267143,599044096,64119369728,64839680,2502688768,0,4
12-04 16:25:46,1649802346.097,5.745,4.545,89.710,0,0,0,0,1209574,1259616,599478272,64118935552,64839680,2502688768,0,0
12-04 16:25:47,1649802347.097,5.664,4.783,89.553,0,0,0,0,1218571,1278134,599085056,64119328768,64839680,2502688768,0,0
12-04 16:25:48,1649802348.097,6.034,4.714,89.252,0,0,0,0,1218017,1278680,598724608,64119685120,64839680,2502692864,0,0
12-04 16:25:49,1649802349.097,5.446,4.623,89.930,0,0,0,0,1225057,1277213,599318528,64119091200,64839680,2502692864,0,0
12-04 16:25:50,1649802350.097,4.974,4.464,90.561,0,0,0,0,1236995,1292868,599052288,64119357440,64839680,2502692864,0,0
12-04 16:25:51,1649802351.097,4.978,4.403,90.619,0,0,0,98304,1218792,1280974,599760896,64118640640,64847872,2502692864,0,8
12-04 16:25:52,1649802352.097,6.925,4.554,88.522,0,0,0,0,1211638,1257567,598917120,64119484416,64847872,2502692864,0,0
12-04 16:25:53,1649802353.097,4.713,4.841,90.446,0,0,0,0,1212681,1271742,599662592,64118738944,64847872,2502692864,0,0
12-04 16:25:54,1649802354.097,5.230,4.273,90.497,0,0,0,0,1227107,1271408,599322624,64119078912,64847872,2502692864,0,0
12-04 16:25:55,1649802355.096,4.679,4.487,90.833,0,0,0,0,1222519,1284414,598626304,64119775232,64847872,2502692864,0,0
12-04 16:25:56,1649802356.096,5.169,4.340,90.491,0,0,0,0,1234266,1291999,599142400,64119259136,64847872,2502692864,0,0
12-04 16:25:57,1649802357.097,5.045,4.151,90.741,0.064,0,0,114688,1227053,1280863,598556672,64119836672,64856064,2502692864,0,6
12-04 16:25:58,1649802358.097,5.367,4.026,90.607,0,0,0,0,1224136,1280652,598216704,64120176640,64856064,2502692864,0,0
12-04 16:25:59,1649802359.097,5.383,4.750,89.867,0,0,0,286720,1224831,1289307,599298048,64119095296,64856064,2502692864,0,62
12-04 16:26:00,1649802360.097,4.908,4.653,90.440,0,0,0,0,1226085,1282101,598777856,64119615488,64856064,2502692864,0,0
12-04 16:26:01,1649802361.097,5.749,4.548,89.703,0,0,0,0,1223850,1281233,599105536,64119283712,64856064,2502696960,0,0
12-04 16:26:02,1649802362.097,5.327,4.692,89.981,0,0,0,0,1224783,1284781,598503424,64119885824,64856064,2502696960,0,0
12-04 16:26:03,1649802363.097,5.337,4.638,90.025,0,0,0,98304,1231783,1283963,599465984,64118915072,64864256,2502696960,0,6
12-04 16:26:04,1649802364.097,5.010,5.010,89.981,0,0,0,0,1221055,1277938,598999040,64119382016,64864256,2502696960,0,0
12-04 16:26:05,1649802365.097,5.260,4.753,89.987,0,0,0,32768,1222482,1281630,598679552,64119701504,64864256,2502696960,0,8
12-04 16:26:06,1649802366.097,4.630,3.987,91.383,0,0,0,0,1215703,1268560,599171072,64119209984,64864256,2502696960,0,0
12-04 16:26:07,1649802367.097,5.159,4.459,90.382,0,0,0,0,1207871,1258945,599236608,64119144448,64864256,2502696960,0,0
12-04 16:26:08,1649802368.097,5.390,4.629,89.981,0,0,0,90112,1230704,1285417,598921216,64119451648,64872448,2502696960,0,4
12-04 16:26:09,1649802369.097,5.531,4.196,90.273,0,0,0,0,1216419,1270816,598798336,64119574528,64872448,2502696960,0,0
12-04 16:26:10,1649802370.097,5.092,4.519,90.388,0,0,0,0,1227941,1280332,599547904,64118824960,64872448,2502696960,0,0
12-04 16:26:11,1649802371.097,5.594,4.196,90.210,0,0,0,24576,1225759,1279233,599547904,64118824960,64872448,2502696960,0,6
12-04 16:26:12,1649802372.097,4.795,4.412,90.793,0,0,0,0,1227532,1288309,599793664,64118579200,64872448,2502696960,0,0
12-04 16:26:13,1649802373.097,5.153,4.580,90.204,0.064,0,0,114688,1237412,1291114,599089152,64119271424,64880640,2502701056,0,8
12-04 16:26:14,1649802374.097,5.076,4.822,90.102,0,0,0,0,1225020,1287399,599756800,64118603776,64880640,2502701056,0,0
12-04 16:26:15,1649802375.097,6.281,4.585,89.133,0,0,0,0,1234484,1291415,599052288,64119308288,64880640,2502701056,0,0
12-04 16:26:16,1649802376.097,5.573,4.370,90.057,0,0,0,0,1208774,1254680,599736320,64118624256,64880640,2502701056,0,0
12-04 16:26:17,1649802377.097,5.594,4.196,90.210,0,0,0,40960,1222312,1288163,599293952,64119066624,64880640,2502701056,0,10
12-04 16:26:18,1649802378.097,5.563,4.678,89.760,0,0,0,81920,1212775,1267288,599908352,64118444032,64888832,2502701056,0,4
12-04 16:26:19,1649802379.097,5.216,4.517,90.267,0,0,0,0,1233667,1290201,599298048,64119054336,64888832,2502701056,0,0
12-04 16:26:20,1649802380.097,5.446,4.497,90.057,0,0,0,0,1220080,1276573,599642112,64118710272,64888832,2502701056,0,0
12-04 16:26:21,1649802381.097,5.489,4.921,89.590,0,0,0,0,1213388,1262456,599515136,64118837248,64888832,2502701056,0,0
12-04 16:26:22,1649802382.097,5.615,4.795,89.590,0,0,0,0,1226814,1286962,598659072,64119693312,64888832,2502701056,0,0
12-04 16:26:23,1649802383.097,6.148,4.329,89.523,0,0,0,122880,1080988,1148680,599797760,64118546432,64897024,2502701056,0,12
12-04 16:26:24,1649802384.097,5.576,4.386,90.038,0,0,0,0,928573,995807,598753280,64119590912,64897024,2502701056,0,0
12-04 16:26:25,1649802385.097,4.511,4.130,91.360,0,0,0,0,899675,967839,599134208,64119209984,64897024,2502701056,0,0
12-04 16:26:26,1649802386.097,6.106,4.299,89.595,0,0,0,0,896368,954870,598642688,64119701504,64897024,2502701056,0,0
12-04 16:26:27,1649802387.097,4.589,3.697,91.714,0,0,0,0,882227,942341,598413312,64119930880,64897024,2502701056,0,0
12-04 16:26:28,1649802388.097,5.178,5.115,89.644,0.062,0,0,163840,904709,970099,599085056,64119250944,64905216,2502701056,0,20
12-04 16:26:29,1649802389.097,5.458,4.329,90.213,0,0,0,0,907132,962758,599187456,64119148544,64905216,2502701056,0,0
12-04 16:26:30,1649802390.097,5.784,4.913,89.303,0,0,0,0,901871,959365,599388160,64118947840,64905216,2502701056,0,0
