"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node17.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output client_9.dstat.csv 1",,,,"Date:","12 Apr 2022 16:25:33 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:25:33,1649802333.657,0.851,0.040,99.106,0.003,0,23958.932,1698253.598,0,0,576233472,64145178624,63688704,2502463488,1.752,3.821
12-04 16:25:34,1649802334.657,0.125,0.062,99.813,0,0,0,2899968,30128,30696,575508480,64145833984,63688704,2502533120,0,448
12-04 16:25:35,1649802335.657,0,0,100,0,0,0,0,31164,32988,575635456,64145707008,63688704,2502533120,0,0
12-04 16:25:36,1649802336.657,0.063,0,99.937,0,0,0,0,31098,31972,575762432,64145580032,63688704,2502533120,0,0
12-04 16:25:37,1649802337.657,0.063,0,99.937,0,0,0,0,31752,33344,575889408,64145453056,63688704,2502533120,0,0
12-04 16:25:38,1649802338.657,0.063,0.063,99.875,0,0,0,147456,30699,31592,576008192,64145326080,63696896,2502533120,0,10
12-04 16:25:39,1649802339.657,0.125,0,99.875,0,0,0,0,32418,33172,576008192,64145326080,63696896,2502533120,0,0
12-04 16:25:40,1649802340.657,0,0.063,99.937,0,0,0,0,31278,31972,576008192,64145326080,63696896,2502533120,0,0
12-04 16:25:41,1649802341.657,0.125,0.125,99.750,0,0,0,0,32292,32952,576008192,64145326080,63696896,2502533120,0,0
12-04 16:25:42,1649802342.657,0.063,0,99.937,0,0,0,0,30204,31812,576135168,64145199104,63696896,2502533120,0,0
12-04 16:25:43,1649802343.657,2.060,0.687,97.191,0.062,0,0,40960,35343,37427,578256896,64143036416,63705088,2502533120,0,4
12-04 16:25:44,1649802344.657,0.125,0.063,99.812,0,0,0,0,31758,32448,577843200,64143450112,63705088,2502533120,0,0
12-04 16:25:45,1649802345.657,0,0,100,0,0,0,0,30492,31960,577970176,64143323136,63705088,2502533120,0,0
12-04 16:25:46,1649802346.657,0.125,0.063,99.812,0,0,0,0,31638,32768,577970176,64143323136,63705088,2502533120,0,0
12-04 16:25:47,1649802347.657,0.125,0.062,99.812,0,0,0,0,30051,30832,577966080,64143323136,63705088,2502537216,0,0
12-04 16:25:48,1649802348.657,0,0.125,99.875,0,0,0,81920,30363,31028,577949696,64143331328,63713280,2502537216,0,6
12-04 16:25:49,1649802349.657,0,0,100,0,0,0,0,31158,32474,577949696,64143331328,63713280,2502537216,0,0
12-04 16:25:50,1649802350.657,0.063,0.063,99.875,0,0,0,0,31403,31678,577949696,64143331328,63713280,2502537216,0,0
12-04 16:25:51,1649802351.657,0.188,0,99.812,0,0,0,0,30717,31592,577949696,64143331328,63713280,2502537216,0,0
12-04 16:25:52,1649802352.657,0,0.125,99.875,0,0,0,0,30624,31482,577949696,64143331328,63713280,2502537216,0,0
12-04 16:25:53,1649802353.657,0.250,0.063,99.687,0,0,0,0,32181,33891,578736128,64142544896,63713280,2502537216,0,0
12-04 16:25:54,1649802354.657,1.255,0.377,98.368,0,0,0,49152,34290,35484,579440640,64141828096,63721472,2502541312,0,4
12-04 16:25:55,1649802355.657,0.063,0.063,99.875,0,0,0,442368,30438,31972,579440640,64141828096,63721472,2502541312,0,56
12-04 16:25:56,1649802356.657,0.125,0.063,99.812,0,0,0,0,31419,32254,579440640,64141828096,63721472,2502541312,0,0
12-04 16:25:57,1649802357.657,0,0.063,99.937,0,0,0,0,32157,32560,579440640,64141828096,63721472,2502541312,0,0
12-04 16:25:58,1649802358.657,0.125,0,99.875,0,0,0,0,30258,31396,579440640,64141828096,63721472,2502541312,0,0
12-04 16:25:59,1649802359.657,0.187,0.125,99.625,0.062,0,0,90112,31164,32216,579559424,64141701120,63729664,2502541312,0,6
12-04 16:26:00,1649802360.657,0.063,0,99.937,0,0,0,0,30630,31212,579559424,64141701120,63729664,2502541312,0,0
12-04 16:26:01,1649802361.657,0,0.063,99.937,0,0,0,0,29976,31236,579559424,64141701120,63729664,2502541312,0,0
12-04 16:26:02,1649802362.657,0.063,0,99.937,0,0,0,0,31410,31984,579559424,64141701120,63729664,2502541312,0,0
12-04 16:26:03,1649802363.657,0.125,0.063,99.812,0,0,0,0,31410,31640,579555328,64141701120,63729664,2502545408,0,0
12-04 16:26:04,1649802364.657,1.316,0.627,98.058,0,0,0,49152,34050,34989,580698112,64140541952,63737856,2502545408,0,6
12-04 16:26:05,1649802365.657,0,0.063,99.937,0,0,0,40960,29844,31200,580694016,64140541952,63737856,2502549504,0,8
12-04 16:26:06,1649802366.657,0,0,100,0,0,0,0,29754,30856,580694016,64140541952,63737856,2502549504,0,0
12-04 16:26:07,1649802367.657,0.125,0.063,99.812,0,0,0,0,31173,31960,580685824,64140550144,63737856,2502549504,0,0
12-04 16:26:08,1649802368.657,0.125,0,99.875,0,0,0,0,31500,32560,580685824,64140550144,63737856,2502549504,0,0
12-04 16:26:09,1649802369.657,0,0.063,99.875,0.063,0,0,81920,30576,31616,580677632,64140550144,63746048,2502549504,0,6
12-04 16:26:10,1649802370.657,0.063,0,99.937,0,0,0,0,30432,31972,580677632,64140550144,63746048,2502549504,0,0
12-04 16:26:11,1649802371.657,0,0,100,0,0,0,0,31311,32768,580677632,64140550144,63746048,2502549504,0,0
12-04 16:26:12,1649802372.657,0.125,0.063,99.812,0,0,0,0,30305,31260,580677632,64140550144,63746048,2502549504,0,0
12-04 16:26:13,1649802373.657,0,0,100,0,0,0,0,29976,31212,580677632,64140550144,63746048,2502549504,0,0
12-04 16:26:14,1649802374.657,1.129,0.439,98.432,0,0,0,24576,35005,35894,585019392,64136200192,63754240,2502553600,0,4
12-04 16:26:15,1649802375.657,0.313,0.250,99.437,0,0,0,1236992,31580,33667,580583424,64140619776,63754240,2502549504,0,244
12-04 16:26:16,1649802376.657,0.125,0.063,99.812,0,0,0,0,30498,31580,580583424,64140619776,63754240,2502549504,0,0
