"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node2.ltseng-123454.hyflowtm-pg0.utah.cloudlab.us",,,,"User:","root"
"Cmdline:","dstat -t -T -cdnm --io --output server_2.dstat.csv 1",,,,"Date:","12 Apr 2022 16:25:31 MDT"
"system","epoch","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"io/total",
"time","epoch","usr","sys","idl","wai","stl","read","writ","recv","send","used","free","buff","cach","read","writ"
12-04 16:25:31,1649802331.134,1.228,0.373,98.394,0.005,0,24528.040,1852350.162,0,0,586231808,64110219264,73797632,2511708160,1.773,5.470
12-04 16:25:32,1649802332.135,0,0.125,99.875,0,0,0,0,25928,21600,587259904,64109178880,73797632,2511712256,0,0
12-04 16:25:33,1649802333.135,5.444,4.631,89.925,0,0,0,5267456,92002,91984,601387008,64094998528,73805824,2511720448,0,772
12-04 16:25:34,1649802334.135,3.220,3.662,93.119,0,0,0,0,534253,558554,601812992,64094572544,73805824,2511716352,0,0
12-04 16:25:35,1649802335.135,4.188,4.569,91.244,0,0,0,0,1069797,1019601,604749824,64091635712,73805824,2511716352,0,0
12-04 16:25:36,1649802336.135,3.775,4.607,91.619,0,0,0,0,1122081,1097723,603951104,64092434432,73805824,2511716352,0,0
12-04 16:25:37,1649802337.135,4.586,4.204,91.210,0,0,0,0,1123502,1080321,604942336,64091443200,73805824,2511716352,0,0
12-04 16:25:38,1649802338.135,5.063,4.494,90.380,0.063,0,0,106496,1128649,1091011,604663808,64091721728,73809920,2511712256,0,6
12-04 16:25:39,1649802339.135,5.330,3.997,90.673,0,0,0,0,1139383,1094478,605528064,64090853376,73809920,2511716352,0,0
12-04 16:25:40,1649802340.135,4.704,4.323,90.973,0,0,0,0,1135907,1089277,605859840,64090521600,73809920,2511716352,0,0
12-04 16:25:41,1649802341.135,4.464,4.273,91.263,0,0,0,0,1138242,1092249,605777920,64090603520,73809920,2511716352,0,0
12-04 16:25:42,1649802342.135,5.510,3.927,90.564,0,0,0,0,1160688,1129806,604942336,64091439104,73809920,2511716352,0,0
12-04 16:25:43,1649802343.135,4.601,4.281,91.118,0,0,0,0,1152547,1111242,605724672,64090656768,73809920,2511716352,0,0
12-04 16:25:44,1649802344.135,5.313,4.238,90.449,0,0,0,90112,1159077,1124757,605360128,64091017216,73814016,2511716352,0,6
12-04 16:25:45,1649802345.135,5.727,4.405,89.868,0,0,0,0,1153921,1116891,606998528,64089378816,73814016,2511716352,0,0
12-04 16:25:46,1649802346.135,5.273,3.875,90.851,0,0,0,0,1136905,1100643,605872128,64090505216,73814016,2511716352,0,0
12-04 16:25:47,1649802347.135,4.100,4.420,91.480,0,0,0,0,1151600,1111403,605499392,64090877952,73814016,2511716352,0,0
12-04 16:25:48,1649802348.135,5.089,3.944,90.967,0,0,0,0,1150332,1122082,605212672,64091160576,73814016,2511720448,0,0
12-04 16:25:49,1649802349.135,5.060,4.681,90.259,0,0,0,0,1161484,1130003,607277056,64089096192,73814016,2511720448,0,0
12-04 16:25:50,1649802350.135,5.110,4.795,90.095,0,0,0,106496,1160157,1113430,604983296,64091381760,73822208,2511720448,0,8
12-04 16:25:51,1649802351.135,5.143,4.127,90.730,0,0,0,0,1150713,1119782,606453760,64089911296,73822208,2511720448,0,0
12-04 16:25:52,1649802352.135,4.175,4.110,91.715,0,0,0,0,1144359,1111251,604569600,64091795456,73822208,2511720448,0,0
12-04 16:25:53,1649802353.135,4.750,4.750,90.500,0,0,0,0,1146135,1118066,606851072,64089513984,73822208,2511720448,0,0
12-04 16:25:54,1649802354.135,4.765,4.384,90.851,0,0,0,0,1139794,1091919,604934144,64091430912,73822208,2511720448,0,0
12-04 16:25:55,1649802355.135,4.825,4.571,90.540,0.063,0,0,106496,1146743,1110303,604622848,64091742208,73830400,2511712256,0,6
12-04 16:25:56,1649802356.135,5.653,4.711,89.636,0,0,0,0,1165762,1128852,604151808,64092205056,73830400,2511720448,0,0
12-04 16:25:57,1649802357.135,5.503,4.175,90.323,0,0,0,0,1158089,1117093,605757440,64090599424,73830400,2511720448,0,0
12-04 16:25:58,1649802358.135,4.822,4.505,90.673,0,0,0,0,1144390,1107990,605384704,64090972160,73830400,2511720448,0,0
12-04 16:25:59,1649802359.135,5.016,4.254,90.730,0,0,0,0,1149551,1114681,605999104,64090357760,73830400,2511720448,0,0
12-04 16:26:00,1649802360.135,5.256,4.243,90.500,0,0,0,0,1151984,1111968,606146560,64090210304,73830400,2511720448,0,0
12-04 16:26:01,1649802361.135,4.484,4.100,91.416,0,0,0,90112,1152230,1126457,606003200,64090341376,73838592,2511724544,0,6
12-04 16:26:02,1649802362.135,4.522,4.522,90.955,0,0,0,0,1157905,1122154,605618176,64090726400,73838592,2511724544,0,0
12-04 16:26:03,1649802363.135,5.605,4.408,89.987,0,0,0,0,1166905,1131062,606269440,64090075136,73838592,2511724544,0,0
12-04 16:26:04,1649802364.135,4.952,4.381,90.667,0,0,0,745472,1147458,1113081,605474816,64090869760,73838592,2511724544,0,160
12-04 16:26:05,1649802365.135,4.987,4.672,90.341,0,0,0,0,1145276,1104247,605945856,64090398720,73838592,2511724544,0,0
12-04 16:26:06,1649802366.135,5.370,4.359,90.272,0,0,0,122880,1148462,1115071,606175232,64090165248,73842688,2511724544,0,8
12-04 16:26:07,1649802367.135,5.253,4.367,90.380,0,0,0,0,1141760,1092769,605687808,64090652672,73842688,2511724544,0,0
12-04 16:26:08,1649802368.135,4.537,4.026,91.438,0,0,0,0,1145487,1116852,605040640,64091299840,73842688,2511724544,0,0
12-04 16:26:09,1649802369.134,4.810,4.873,90.316,0,0,0,40960,1145460,1111696,605990912,64090349568,73842688,2511724544,0,8
12-04 16:26:10,1649802370.135,4.962,3.944,91.094,0,0,0,0,1151271,1124392,605544448,64090796032,73842688,2511724544,0,0
12-04 16:26:11,1649802371.135,4.689,4.816,90.494,0,0,0,0,1159766,1126282,605990912,64090349568,73842688,2511724544,0,0
12-04 16:26:12,1649802372.135,4.934,4.491,90.512,0.063,0,0,90112,1158724,1116454,605421568,64090918912,73842688,2511724544,0,6
12-04 16:26:13,1649802373.135,4.287,4.415,91.299,0,0,0,0,1161805,1128218,605614080,64090726400,73842688,2511724544,0,0
12-04 16:26:14,1649802374.135,4.415,4.095,91.491,0,0,0,0,1148170,1110185,605835264,64090501120,73842688,2511728640,0,0
12-04 16:26:15,1649802375.135,4.665,4.089,91.246,0,0,0,0,1157295,1122492,605093888,64091242496,73842688,2511728640,0,0
12-04 16:26:16,1649802376.135,4.687,4.877,90.437,0,0,0,0,1154221,1121552,604917760,64091418624,73842688,2511728640,0,0
12-04 16:26:17,1649802377.135,4.580,4.644,90.776,0,0,0,0,1147569,1118069,605442048,64090894336,73842688,2511728640,0,0
12-04 16:26:18,1649802378.135,5.196,4.309,90.494,0,0,0,98304,1141742,1099160,605274112,64091058176,73846784,2511728640,0,8
12-04 16:26:19,1649802379.135,5.320,4.180,90.500,0,0,0,8192,1162631,1120593,605642752,64090689536,73846784,2511728640,0,2
12-04 16:26:20,1649802380.135,5.482,4.411,90.107,0,0,0,0,1149201,1117199,604741632,64091590656,73846784,2511728640,0,0
12-04 16:26:21,1649802381.135,5.206,4.127,90.667,0,0,0,0,1150298,1114756,605884416,64090447872,73846784,2511728640,0,0
12-04 16:26:22,1649802382.135,4.959,4.132,90.909,0,0,0,0,1140617,1071312,605356032,64090976256,73846784,2511728640,0,0
12-04 16:26:23,1649802383.135,4.877,3.483,91.577,0.063,0,0,90112,860988,587100,607506432,64088825856,73850880,2511724544,0,6
12-04 16:26:24,1649802384.135,3.497,3.878,92.626,0,0,0,0,703569,379938,604905472,64091422720,73850880,2511728640,0,0
12-04 16:26:25,1649802385.135,3.483,4.243,92.274,0,0,0,0,685330,371098,604868608,64091459584,73850880,2511728640,0,0
12-04 16:26:26,1649802386.135,3.608,3.987,92.405,0,0,0,0,682518,370493,605278208,64091049984,73850880,2511728640,0,0
12-04 16:26:27,1649802387.135,4.175,3.542,92.283,0,0,0,0,672787,364341,605888512,64090439680,73850880,2511728640,0,0
12-04 16:26:28,1649802388.135,4.169,3.790,92.040,0,0,0,90112,695701,376809,605777920,64090542080,73859072,2511728640,0,6
12-04 16:26:29,1649802389.135,4.043,3.790,92.167,0,0,0,0,689002,370231,604315648,64092004352,73859072,2511728640,0,0
12-04 16:26:30,1649802390.135,3.314,3.888,92.798,0,0,0,0,688576,376552,605405184,64090914816,73859072,2511728640,0,0
12-04 16:26:31,1649802391.135,3.734,3.987,92.278,0,0,0,0,693659,376164,605200384,64091119616,73859072,2511728640,0,0
12-04 16:26:32,1649802392.135,4.167,3.788,92.045,0,0,0,0,691314,372898,604692480,64091627520,73859072,2511728640,0,0
12-04 16:26:33,1649802393.135,3.914,4.104,91.982,0,0,0,114688,684219,371811,604790784,64091529216,73867264,2511720448,0,6
12-04 16:26:34,1649802394.135,3.800,3.737,92.464,0,0,0,0,686748,370955,605569024,64090742784,73867264,2511728640,0,0
12-04 16:26:35,1649802395.135,3.614,3.868,92.517,0,0,0,8192,691146,374442,606007296,64090304512,73867264,2511728640,0,2
12-04 16:26:36,1649802396.135,3.690,3.562,92.748,0,0,0,0,680242,368062,605138944,64091168768,73867264,2511732736,0,0
12-04 16:26:37,1649802397.135,3.922,3.479,92.600,0,0,0,0,610873,334463,606040064,64090267648,73867264,2511732736,0,0
12-04 16:26:38,1649802398.135,3.304,3.621,93.011,0.064,0,0,106496,580782,319407,606068736,64090234880,73867264,2511736832,0,10
12-04 16:26:39,1649802399.135,2.922,3.875,93.202,0,0,0,0,580188,319824,605536256,64090767360,73867264,2511736832,0,0
12-04 16:26:40,1649802400.135,3.490,3.490,93.020,0,0,0,24576,573786,316394,605958144,64090345472,73867264,2511736832,0,6
12-04 16:26:41,1649802401.135,3.411,3.790,92.798,0,0,0,0,497941,279516,604884992,64091418624,73867264,2511736832,0,0
12-04 16:26:42,1649802402.135,3.960,3.583,92.458,0,0,0,0,481582,271520,604459008,64091844608,73867264,2511736832,0,0
12-04 16:26:43,1649802403.135,3.655,3.403,92.943,0,0,0,106496,431853,246673,606322688,64089980928,73871360,2511732736,0,8
12-04 16:26:44,1649802404.135,3.580,3.518,92.902,0,0,0,0,387456,223200,604667904,64091631616,73871360,2511736832,0,0
12-04 16:26:45,1649802405.135,2.732,3.367,93.901,0,0,0,57344,379768,219735,606158848,64090140672,73871360,2511736832,0,12
